Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
1752.3310350130896,1752.3310350130896,2002.313537359911,2002.313537359911,2002.313537359911
1769.5709156839719,1769.5709156839719,2205.4254287654576,2205.4254287654576,2408.5373201710045
1749.2585882634928,1749.2585882634928,2269.0409580398923,2269.0409580398923,2408.5373201710045
1760.468261260997,1760.468261260997,2293.3990926733077,2293.3990926733077,2408.5373201710045
1745.2729924657667,1745.2729924657667,2320.9837848612515,2320.9837848612515,2431.322553613027
1750.6542594740924,1750.6542594740924,2342.0022374646865,2342.0022374646865,2447.0945004818627
1741.050300001948,1741.050300001948,2360.270451244572,2360.270451244572,2469.879733923886
1742.1190770217831,1742.1190770217831,2372.0001182208816,2372.0001182208816,2469.879733923886
1750.403533195428,1750.403533195428,2380.495657036705,2380.495657036705,2469.879733923886
1749.9731254180483,1749.9731254180483,2267.012827533639,2267.012827533639,2469.879733923886
1750.1860878447435,1750.1860878447435,2310.050275867094,2282.074208730077,2469.879733923886
1741.6509572045861,1741.6509572045861,2316.184517242382,2297.7246691628943,2469.879733923886
1750.637023842661,1750.637023842661,2309.3303520931704,2300.032799619337,2469.879733923886
1751.9253439724596,1751.9253439724596,2321.9494991724055,2313.7922401726632,2492.664967365908
1749.7490646938663,1749.7490646938663,2319.7299516239727,2320.1478960363984,2492.664967365908
1738.0350866168938,1738.0350866168938,2319.866498332115,2328.1674005068294,2492.664967365908
1752.0337029912648,1752.0337029912648,2317.8610684041982,2335.323755456117,2492.664967365908
1745.0861000593368,1745.0861000593368,2317.510404075539,2341.728054806803,2492.664967365908
1752.680019268867,1752.680019268867,2308.3963106987303,2342.548632648297,2492.664967365908
1762.976478292933,1762.976478292933,2430.9540945986564,2348.983461066148,2492.664967365908
1746.0485426696846,1746.0485426696846,2371.2475701512526,2324.537714168732,2492.664967365908
1765.803665210887,1765.803665210887,2367.1001635872763,2329.2589848103407,2492.664967365908
1753.8136410258076,1753.8136410258076,2383.5936238142026,2336.3635927475393,2492.664967365908
1755.1903768814175,1755.1903768814175,2381.4516471781435,2341.98365975828,2492.664967365908
1740.9869775955353,1740.9869775955353,2385.5990537421194,2346.328359118687,2492.664967365908
1755.1255756762712,1755.1255756762712,2385.4625070339766,2350.2039799403474,2492.664967365908
1744.9626303501718,1744.9626303501718,2381.8209066234076,2352.5449225551133,2492.664967365908
1745.2672285513754,1745.2672285513754,2379.8154766954904,2355.330705481334,2492.664967365908
1744.6466594017575,1744.6466594017575,2382.8543044927806,2356.447140180878,2492.664967365908
1742.214224310078,1742.214224310078,2374.286397948542,2357.417773360279,2492.664967365908
1744.6248337528937,1744.6248337528937,2438.0627580475484,2361.1586960651243,2492.664967365908
1747.6366345856632,1747.6366345856632,2442.560828940184,2364.665811100917,2492.664967365908
1754.9498983729457,1754.9498983729457,2440.4188523041244,2367.8954895828683,2492.664967365908
1761.4147434202598,1761.4147434202598,2438.2768756680653,2370.305193849393,2492.664967365908
1750.3263610069546,1750.3263610069546,2440.204734683608,2373.1501807086643,2492.664967365908
1749.8955857757473,1749.8955857757473,2440.906063340927,2375.3990031071753,2492.664967365908
1746.146810021538,1746.146810021538,2444.9758989925294,2377.5262675381987,2492.664967365908
1760.1286112813866,1760.1286112813866,2447.331993249106,2379.541570683379,2492.664967365908
1753.1278957598158,1753.1278957598158,2440.9246584575317,2378.1080423030967,2492.664967365908
1752.7676143938768,1752.7676143938768,2443.0666350935912,2378.8299887936073,2492.664967365908
1752.9958028794222,1752.9958028794222,2438.432017492813,2380.0058476328536,2492.664967365908
1759.4069423963817,1759.4069423963817,2440.3598765083557,2382.688207626498,2492.664967365908
1735.2770141394506,1735.2770141394506,2436.2900408567534,2383.8011991814465,2492.664967365908
1752.1816170351074,1752.1816170351074,2430.3699171019825,2383.9562673158907,2492.664967365908
1768.6862329787912,1768.6862329787912,2421.665463849601,2383.931354739984,2492.664967365908
1747.70305624785,1747.70305624785,2420.9641351922824,2385.3044666039377,2492.664967365908
1752.6389830720916,1752.6389830720916,2420.6134708636228,2386.693757607438,2492.664967365908
