Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-246.414759089659,-246.414759089659,-322.1092181465172,-322.1092181465172,-322.1092181465172
-243.1243429749707,-243.1243429749707,-271.1923695505928,-271.1923695505928,-220.27552095466837
-245.76559776854614,-245.76559776854614,-264.40906954289966,-264.40906954289966,-220.27552095466837
-243.85586461433238,-243.85586461433238,-256.2229576812668,-256.2229576812668,-220.27552095466837
-248.4129231555411,-248.4129231555411,-248.00855837522894,-248.00855837522894,-215.15096115107767
-245.60874385254442,-245.60874385254442,-238.89693091585977,-238.89693091585977,-193.3387936190137
-242.81456831638042,-242.81456831638042,-236.3946163665602,-236.3946163665602,-193.3387936190137
-249.13010515192272,-249.13010515192272,-245.83506248331787,-245.83506248331787,-193.3387936190137
-249.62724999250867,-249.62724999250867,-246.8401866348437,-246.8401866348437,-193.3387936190137
-248.14110200172183,-248.14110200172183,-253.12104208754604,-253.12104208754604,-193.3387936190137
-242.16462214061448,-242.16462214061448,-244.9573483348649,-251.97115468137872,-193.3387936190137
-242.16211146908998,-242.16211146908998,-254.39991870665867,-257.198660513981,-193.3387936190137
-243.4685577929434,-243.4685577929434,-262.19590123846035,-262.7066323856386,-193.3387936190137
-241.7980560083874,-241.7980560083874,-264.66845696642747,-262.2554571706673,-193.3387936190137
-253.3112267063748,-253.3112267063748,-268.103860357601,-261.405426363477,-193.3387936190137
-252.82070252613772,-252.82070252613772,-271.6023141535262,-259.3377954394013,-193.3387936190137
-244.46960829731466,-244.46960829731466,-281.98067024471646,-263.20994217724035,-193.3387936190137
-242.57994911505352,-242.57994911505352,-274.9352233557453,-262.0018185235553,-193.3387936190137
-247.61947370978055,-247.61947370978055,-268.3719164995301,-258.17267603731017,-189.24811128489716
-251.55464450691844,-251.55464450691844,-257.86956810689037,-255.49530509721816,-189.24811128489716
-249.42887651808064,-249.42887651808064,-255.87971138370713,-253.8323721586779,-189.24811128489716
-245.62990434266464,-245.62990434266464,-248.0349092205435,-253.03331901696393,-189.24811128489716
-237.93336205663215,-237.93336205663215,-243.4913303877854,-254.35215325613717,-189.24811128489716
-242.77958885823293,-242.77958885823293,-245.57972093494982,-255.30723373911837,-189.24811128489716
-245.3775728309902,-245.3775728309902,-234.9511128680402,-250.8237009653023,-143.21891439371686
-249.54490815353668,-249.54490815353668,-247.4194851431352,-254.75382994083748,-143.21891439371686
-166.38667555782064,-166.38667555782064,-231.77929891296745,-251.56896319047266,-143.21891439371686
-181.25384422113441,-181.25384422113441,-222.7830833496459,-247.9951273900163,-143.21891439371686
-194.8049187703395,-194.8049187703395,-222.31396659027786,-245.80760381419563,-143.21891439371686
-180.65864225583468,-180.65864225583468,-220.87373914302142,-243.95478311248598,-143.21891439371686
-176.26908932828925,-176.26908932828925,-219.9334048187331,-242.89722140385706,-143.21891439371686
-175.31938077977594,-175.31938077977594,-209.93594301802463,-239.56538901729544,-136.27858503388603
-174.08715005612325,-174.08715005612325,-196.15789461107204,-236.7175294242993,-136.27858503388603
-178.3891684003821,-178.3891684003821,-188.82093519386328,-235.75244004933745,-136.27858503388603
-182.0556086907176,-182.0556086907176,-188.4273396852355,-232.99616917099752,-136.27858503388603
-178.30854194115625,-178.30854194115625,-173.94896856239546,-232.30803511349248,-136.27858503388603
-182.3506409655986,-182.3506409655986,-174.64980160682748,-230.78000060029828,-136.27858503388603
-165.97660787690486,-165.97660787690486,-178.36990933963594,-229.67270158728465,-136.27858503388603
-178.62165110072598,-178.62165110072598,-180.87261195770662,-229.15760590227538,-136.27858503388603
-178.66174302138907,-178.66174302138907,-174.9745991125173,-226.7097371124938,-131.24285431101296
-169.7931861690608,-169.7931861690608,-170.04526092332753,-225.12845055494742,-131.24285431101296
-173.05214427257982,-173.05214427257982,-166.2416229870463,-222.10734948628374,-98.24220567107366
-171.19059282234593,-171.19059282234593,-167.90444823277235,-220.71448728673488,-98.24220567107366
-167.26791416461373,-167.26791416461373,-167.12385157384733,-220.15503357763512,-98.24220567107366
-165.21665692706404,-165.21665692706404,-181.07144645716204,-221.45734190125626,-98.24220567107366
-164.88756031152724,-164.88756031152724,-171.8159863718429,-219.15758973487297,-98.24220567107366
-162.4915187542485,-162.4915187542485,-179.61758845008993,-219.89438099387093,-98.24220567107366
-164.87200364375002,-164.87200364375002,-172.95742985554816,-217.8570199765062,-98.24220567107366
-164.29798525154234,-164.29798525154234,-170.9654072198878,-217.28164698750237,-98.24220567107366
-162.48995384415593,-162.48995384415593,-170.38208318687018,-215.44420632736907,-98.24220567107366
-159.13496200451107,-159.13496200451107,-184.64791863172712,-215.09272881847195,-98.24220567107366
-156.33450468343466,-156.33450468343466,-189.25443918827938,-213.5733666241105,-98.24220567107366
-156.09437452254826,-156.09437452254826,-188.5439537101351,-211.65870563604503,-98.24220567107366
-158.4949826532959,-158.4949826532959,-190.34423360643046,-211.30743965510365,-98.24220567107366
-158.83792830990922,-158.83792830990922,-176.43690404538665,-209.79813268268504,-98.24220567107366
-159.0137721190277,-159.0137721190277,-180.53438292161658,-209.0642274305033,-98.24220567107366
-167.5077093912066,-167.5077093912066,-174.8933920200796,-208.58415024693616,-98.24220567107366
-147.50122514187453,-147.50122514187453,-169.02489018303467,-203.614107216722,-63.41603378991321
-162.88453457002527,-162.88453457002527,-168.68301655852395,-202.24138376518528,-63.41603378991321
-155.9397221977448,-155.9397221977448,-174.21892204234464,-199.6637823183288,-63.41603378991321
-161.54201838675547,-161.54201838675547,-157.4961708898606,-197.6004933294711,-63.41603378991321
-151.9908355466391,-151.9908355466391,-158.06514980608551,-194.30641284399587,-63.41603378991321
-162.65324940329333,-162.65324940329333,-159.0591017179937,-191.03134573195177,-63.41603378991321
-157.4032046203692,-157.4032046203692,-155.56366706921835,-189.48648167566185,-63.41603378991321
-159.0229466043597,-159.0229466043597,-153.96762789865141,-186.9708861908951,-63.41603378991321
-158.65809850897165,-158.65809850897165,-147.28000862199224,-184.19976632419647,-63.41603378991321
-158.5124778258014,-158.5124778258014,-144.0549804676125,-180.99901229151538,-63.41603378991321
-159.24122225975074,-159.24122225975074,-156.63846047638472,-179.9547546408499,-63.41603378991321
-161.02331567232662,-161.02331567232662,-150.06659497111946,-178.58031945950313,-63.41603378991321
-163.61314747917083,-163.61314747917083,-143.46528976765265,-176.78292665048124,-63.41603378991321
-163.14704440816757,-163.14704440816757,-143.90660891079855,-175.20587283488942,-63.41603378991321
-156.2286877689239,-156.2286877689239,-140.5652625013343,-172.81248350015406,-63.41603378991321
-153.50104239579764,-153.50104239579764,-142.0082071762095,-170.73472108963654,-63.41603378991321
-156.49442544296537,-156.49442544296537,-136.64544923793255,-167.69962733625843,-63.41603378991321
-158.87377179740037,-158.87377179740037,-143.13879425975955,-168.608422469239,-63.41603378991321
-231.02974306797114,-231.02974306797114,-147.83845421199868,-164.28356013796918,-63.41603378991321
-225.8737415122776,-225.8737415122776,-156.39022806844227,-165.92119812261032,-63.41603378991321
-214.46569808643773,-214.46569808643773,-151.39332137631945,-165.6768022461846,-63.41603378991321
-213.9235180614882,-213.9235180614882,-160.01154318615616,-166.11983477867878,-63.41603378991321
-222.23819289012764,-222.23819289012764,-172.64609798605002,-167.13739841908696,-63.41603378991321
-209.75506411699692,-209.75506411699692,-175.3857252874039,-166.29633692862356,-63.41603378991321
-211.10225999602352,-211.10225999602352,-184.7640155665734,-167.77809800986378,-63.41603378991321
-207.94714098121264,-207.94714098121264,-189.54897291075758,-169.41293674957367,-63.41603378991321
-205.8601257213503,-205.8601257213503,-197.4783505278324,-169.43111040305223,-63.41603378991321
-198.63471540524426,-198.63471540524426,-200.03811801832393,-170.93057813585673,-63.41603378991321
-192.43920151781566,-192.43920151781566,-201.40013344669828,-169.77379311482974,-63.41603378991321
-200.8853059945154,-200.8853059945154,-194.05488521606765,-169.8022148444584,-63.41603378991321
-193.48844770999057,-193.48844770999057,-200.42976800381211,-170.08877397901983,-63.41603378991321
-180.69820171684788,-180.69820171684788,-195.66904159098763,-169.07912070533496,-63.41603378991321
-186.6187578443606,-186.6187578443606,-187.99477831495432,-169.74143425957433,-63.41603378991321
-190.9876122871109,-190.9876122871109,-194.87530392922355,-171.26234552980276,-63.41603378991321
-181.08468271176625,-181.08468271176625,-198.90366757819427,-174.31050692809342,-63.41603378991321
-174.9401189833003,-174.9401189833003,-191.05749528686448,-174.0435461603921,-63.41603378991321
-183.91357389310136,-183.91357389310136,-184.80206872425165,-172.96675383313308,-63.41603378991321
-173.97557909139766,-173.97557909139766,-191.24673399425802,-172.96563564327593,-63.41603378991321
-181.73305777570408,-181.73305777570408,-198.56912119062378,-175.12442007858587,-63.41603378991321
-176.700577013875,-176.700577013875,-192.42453973318544,-172.36360510107752,-63.41603378991321
-173.3536021864419,-173.3536021864419,-191.95068185965323,-173.88742437984084,-63.41603378991321
-172.6752187541853,-172.6752187541853,-190.4004813537328,-172.966135532104,-63.41603378991321
-165.75785042813808,-165.75785042813808,-193.96975388890365,-174.45896839998105,-63.41603378991321
-168.98435996204168,-168.98435996204168,-191.0627319492704,-172.5453081933114,-63.41603378991321
-173.03702212803125,-173.03702212803125,-189.60583460228463,-174.3807860108944,-63.41603378991321
-166.95449357649835,-166.95449357649835,-197.30464384840175,-175.7956841880454,-63.41603378991321
-171.1342291016495,-171.1342291016495,-199.4026883569594,-174.77844478323885,-63.41603378991321
-172.43562181964683,-172.43562181964683,-184.48157908527,-174.57457065125257,-63.41603378991321
-171.11486356915805,-171.11486356915805,-183.30233024372484,-175.67800954300762,-63.41603378991321
-170.29803093570285,-170.29803093570285,-183.3921863388026,-174.0633639648221,-63.41603378991321
-171.4615171574056,-171.4615171574056,-178.483170298109,-175.77908040285573,-63.41603378991321
-156.58517207000895,-156.58517207000895,-176.50102973664093,-174.52973816772737,-63.41603378991321
-160.0298753777218,-160.0298753777218,-171.68328390399705,-173.95184077231153,-63.41603378991321
-163.1531666174094,-163.1531666174094,-164.89500523622934,-174.02507506258516,-63.41603378991321
-158.71637620523498,-158.71637620523498,-159.0060508873135,-174.56896622714004,-63.41603378991321
-165.1325164575594,-165.1325164575594,-156.61943118971323,-175.30775008238928,-63.41603378991321
-166.40483216077445,-166.40483216077445,-158.0380494705069,-175.27332126349657,-63.41603378991321
-162.8893911571373,-162.8893911571373,-169.15587469837573,-177.61222001119745,-63.41603378991321
-165.1598604237339,-165.1598604237339,-159.92741270893052,-178.20749036039516,-63.41603378991321
-164.72268183639542,-164.72268183639542,-164.65615436739168,-178.1835987447779,-63.41603378991321
-159.39482123515845,-159.39482123515845,-168.7885850857414,-178.20910532472698,-63.41603378991321
-160.49091151694367,-160.49091151694367,-173.81066018510683,-179.27855121052485,-63.41603378991321
-167.66391360143123,-167.66391360143123,-171.62075622664017,-179.58293406410903,-63.41603378991321
-154.19991222899506,-154.19991222899506,-168.58249981185764,-178.96025324279697,-63.41603378991321
-164.38767982351666,-164.38767982351666,-172.64105061144772,-180.98412384916273,-63.41603378991321
-165.48562996434427,-165.48562996434427,-167.0946327369589,-180.3250351945392,-63.41603378991321
-163.97453764604282,-163.97453764604282,-170.07020950133466,-181.958273316177,-63.41603378991321
-160.89129787968702,-160.89129787968702,-160.9400249901022,-181.17246615726594,-63.41603378991321
-158.3848665384755,-158.3848665384755,-164.49362750201013,-181.53852501839748,-63.41603378991321
-155.0322613533136,-155.0322613533136,-161.12095514221238,-179.12974415953195,-63.41603378991321
-159.77934988414566,-159.77934988414566,-164.12561471648058,-180.75556399275928,-63.41603378991321
-157.6983808502216,-157.6983808502216,-159.60484786695844,-179.1972121466853,-63.41603378991321
-153.21592544475104,-153.21592544475104,-162.54967003127564,-177.56364847315416,-63.41603378991321
-166.76213934615288,-166.76213934615288,-168.51245645709005,-177.58559947673422,-63.41603378991321
-160.50228789688705,-160.50228789688705,-164.21223064404325,-176.8737668646567,-63.41603378991321
-159.62877961709054,-159.62877961709054,-166.16922179959596,-175.64908497230684,-63.41603378991321
-156.50551988890078,-156.50551988890078,-156.35925242360025,-173.7344536953306,-63.41603378991321
-159.6078039008563,-159.6078039008563,-157.08108914661346,-172.58106038292385,-63.41603378991321
-158.48879734605111,-158.48879734605111,-155.02947296876548,-172.26439292281094,-63.41603378991321
-153.24712261262536,-153.24712261262536,-158.87449378569607,-172.09366587345758,-63.41603378991321
-162.21798353411398,-162.21798353411398,-152.07073759117287,-171.08375791023147,-63.41603378991321
-159.80929032061832,-159.80929032061832,-152.4316777579566,-170.54973938007913,-63.41603378991321
-157.50372732576173,-157.50372732576173,-161.4144086894006,-172.24757454804345,-63.41603378991321
-160.33251500680845,-160.33251500680845,-158.20586374634453,-170.2517114401584,-63.41603378991321
-155.91101087332717,-155.91101087332717,-161.62994600967255,-169.41902255095235,-63.41603378991321
-160.94018554891503,-160.94018554891503,-158.79231965665204,-169.1960498462644,-63.41603378991321
-155.09601084595315,-155.09601084595315,-163.4409929043907,-169.46223853135842,-63.41603378991321
-158.92901233684407,-158.92901233684407,-164.23941584247763,-167.17959675256782,-63.41603378991321
-154.77399236445078,-154.77399236445078,-164.2098265737387,-165.39253399943394,-63.41603378991321
-157.3117595102675,-157.3117595102675,-160.59472673372414,-165.7277032735654,-63.41603378991321
-160.6712669949192,-160.6712669949192,-159.17046357712238,-164.52771425372524,-63.41603378991321
-156.5132637900401,-156.5132637900401,-160.2822072407314,-164.52608455747884,-63.41603378991321
-157.0819454001281,-157.0819454001281,-152.7310707516972,-163.99983792060215,-63.41603378991321
-158.53292598105116,-158.53292598105116,-151.6392597520447,-162.36701700071325,-63.41603378991321
-161.22822923868216,-161.22822923868216,-148.9687739947423,-161.29161042944384,-63.41603378991321
-163.3971534191649,-163.3971534191649,-146.11692886949234,-158.9585068504825,-63.41603378991321
-158.39068747533102,-158.39068747533102,-146.50958714706883,-158.88361828938025,-63.41603378991321
-157.96607645571822,-157.96607645571822,-147.04142760366972,-159.69156645624776,-63.41603378991321
-157.7586470417171,-157.7586470417171,-149.20012638413664,-158.57209322751626,-63.41603378991321
-163.8675552459232,-163.8675552459232,-151.69571054194466,-159.38840811419377,-63.41603378991321
-160.21836885521572,-160.21836885521572,-153.48969631438808,-159.52901945698105,-63.41603378991321
-154.7847759621119,-154.7847759621119,-154.0619166991771,-160.0382619499861,-63.41603378991321
-157.41765245410355,-157.41765245410355,-159.0885894390047,-161.48089902760364,-63.41603378991321
-158.65354289209742,-158.65354289209742,-164.83349576722406,-162.35471510691218,-63.41603378991321
-159.21379148197087,-159.21379148197087,-158.8397923450214,-161.25835872098543,-63.41603378991321
-159.10879474868705,-159.10879474868705,-166.94247373029668,-161.02311535859917,-63.41603378991321
-157.71079814539758,-157.71079814539758,-163.9627176851605,-160.06855193231095,-63.41603378991321
-156.35540308639975,-156.35540308639975,-160.32796734540725,-157.92598498565405,-63.41603378991321
-159.66316759040188,-159.66316759040188,-171.15500578586304,-160.81761184290278,-63.41603378991321
-159.29709475319908,-159.29709475319908,-168.0317266613369,-160.06352257298283,-63.41603378991321
-157.61078913810778,-157.61078913810778,-166.45540836871828,-159.06238411357646,-63.41603378991321
-159.80029570528745,-159.80029570528745,-167.8793151717973,-158.8519929473242,-63.41603378991321
-158.7178041291671,-158.7178041291671,-165.16085948136958,-160.18891967854952,-63.41603378991321
-165.04153913103073,-165.04153913103073,-165.5642014049707,-161.75105542553482,-63.41603378991321
-153.51210438184228,-153.51210438184228,-167.35142656028557,-160.200433910753,-63.41603378991321
-159.41616603908287,-159.41616603908287,-159.17365924653691,-159.43892066051478,-63.41603378991321
-160.19970510963586,-160.19970510963586,-158.0094044588521,-157.65639092381446,-63.41603378991321
-155.2610331447528,-155.2610331447528,-158.3055106081532,-157.3990821092643,-63.41603378991321
-157.51056003024303,-157.51056003024303,-147.0338503728068,-157.32565641706216,-63.41603378991321
-158.85048301793927,-158.85048301793927,-143.40788832325762,-156.5209092091919,-63.41603378991321
-157.48780765444857,-157.48780765444857,-143.14316085302846,-154.865893340886,-63.41603378991321
-159.22083077101698,-159.22083077101698,-140.21683785266282,-154.97439094446506,-63.41603378991321
-157.95781870979093,-157.95781870979093,-130.60165707784665,-153.79931708786376,-63.41603378991321
-156.2070423674926,-156.2070423674926,-127.08107711677705,-153.4647795574722,-63.41603378991321
-160.51452450095064,-160.51452450095064,-129.05937018226118,-153.16986181839658,-63.41603378991321
-156.842674720925,-156.842674720925,-138.6392816663382,-153.93293263386323,-63.41603378991321
-163.3255411369664,-163.3255411369664,-141.1821442774107,-154.62096929457655,-63.41603378991321
-156.39872041053738,-156.39872041053738,-143.85107406893783,-154.75307909372913,-63.41603378991321
-157.65011383097084,-157.65011383097084,-147.66586891450325,-155.8529356062097,-63.41603378991321
-156.14122615106476,-156.14122615106476,-152.13596739141246,-155.17320393033518,-63.41603378991321
-155.67223877477625,-155.67223877477625,-155.88383993742434,-155.6285138101363,-63.41603378991321
-156.01238137837936,-156.01238137837936,-152.9019099035396,-155.06843737358165,-63.41603378991321
-158.19941843719846,-158.19941843719846,-155.67604958608382,-152.65164526720037,-63.41603378991321
-158.9818672786616,-158.9818672786616,-152.75149949073494,-152.3739067063503,-63.41603378991321
-160.55396248248763,-160.55396248248763,-151.61663769427946,-151.16720015531797,-63.41603378991321
-155.19090183900505,-155.19090183900505,-147.30666075483404,-151.63580085349963,-63.41603378991321
-156.94071442326907,-156.94071442326907,-149.38229220857986,-151.80922915541439,-63.41603378991321
-156.4550353307404,-156.4550353307404,-151.30405606143842,-152.1660071375213,-63.41603378991321
-155.71142342566404,-155.71142342566404,-148.84693127390614,-152.78035654624315,-63.41603378991321
-157.56089868237342,-157.56089868237342,-151.6320469611923,-153.38066797582877,-63.41603378991321
-158.8966889485085,-158.8966889485085,-147.18643310975887,-153.2317077166636,-63.41603378991321
-158.52527686749457,-158.52527686749457,-149.7044668676139,-152.95288929895815,-63.41603378991321
-156.75718253166326,-156.75718253166326,-154.28780260708976,-152.9629916382789,-63.41603378991321
-160.39907784600092,-160.39907784600092,-159.22534646232162,-153.8911240484057,-63.41603378991321
-155.88363779417242,-155.88363779417242,-160.08296398158322,-153.3900381526862,-63.41603378991321
-160.17570437957463,-160.17570437957463,-161.5877623738153,-154.7299675543642,-63.41603378991321
-158.01068302639143,-158.01068302639143,-158.50513279020402,-154.20833828404142,-63.41603378991321
-153.8736482344035,-153.8736482344035,-152.92621992526261,-153.34296560183986,-63.41603378991321
-155.92960549993938,-155.92960549993938,-152.3068041721636,-153.40169210384857,-63.41603378991321
-152.18525467056895,-152.18525467056895,-151.05543022812253,-153.25261191306438,-63.41603378991321
-157.73440094396352,-157.73440094396352,-148.42516847675597,-152.2188021491372,-63.41603378991321
-156.80016095569425,-156.80016095569425,-152.9174457420233,-152.72399510752737,-63.41603378991321
