Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-190.11840953665526,-190.11840953665526,-191.28022763177285,-191.28022763177285,-191.28022763177285
-192.2563901463692,-192.2563901463692,-191.03825686198627,-191.03825686198627,-190.7962860921997
-193.20815256200478,-193.20815256200478,-194.97135904990776,-194.97135904990776,-190.7962860921997
-190.05562368932857,-190.05562368932857,-194.45204908299374,-194.45204908299374,-190.7962860921997
-192.247762358376,-192.247762358376,-201.87564567195105,-201.87564567195105,-190.7962860921997
-193.18546699613242,-193.18546699613242,-202.28153361595324,-202.28153361595324,-190.7962860921997
-192.0500106539004,-192.0500106539004,-204.1558018626802,-204.1558018626802,-190.7962860921997
-190.38774584025748,-190.38774584025748,-204.33080266927965,-204.33080266927965,-190.7962860921997
-192.654365293429,-192.654365293429,-210.66934441565496,-210.66934441565496,-190.7962860921997
-192.29780192558678,-192.29780192558678,-208.16321913856487,-208.16321913856487,-185.60809164475384
-193.98141202127488,-193.98141202127488,-209.09093301856234,-207.47177798339965,-185.60809164475384
-188.9946165130959,-188.9946165130959,-206.84515170979685,-204.21066923516173,-168.33847300454477
-193.13495769726424,-193.13495769726424,-205.20097137167318,-202.84029160511193,-168.33847300454477
-187.19721828577062,-187.19721828577062,-209.71219969514823,-205.35215666310407,-168.33847300454477
-192.1119200600681,-192.1119200600681,-206.67369744515275,-205.07434685408552,-168.33847300454477
-187.2912043504943,-187.2912043504943,-206.35809752943678,-204.82938606188043,-168.33847300454477
-192.037548704,-192.037548704,-204.10736831335777,-204.1273115395493,-168.33847300454477
-191.31163503364954,-191.31163503364954,-200.38563478226467,-202.13904273204903,-168.33847300454477
-196.7824387525416,-196.7824387525416,-194.4943317891194,-202.15617987537303,-168.33847300454477
-192.27610440096893,-192.27610440096893,-193.88964791866402,-201.02643352861438,-168.33847300454477
-190.38549220038004,-190.38549220038004,-195.24130066280145,-201.6477411640671,-168.33847300454477
-191.35770373444524,-191.35770373444524,-201.58263645227228,-203.01610887930283,-168.33847300454477
-189.60198238480743,-189.60198238480743,-202.09944975938612,-202.5181864547963,-168.33847300454477
-192.23211741429648,-192.23211741429648,-197.3413594840179,-202.0143245051515,-168.33847300454477
-190.74713961567025,-190.74713961567025,-198.76299966553944,-202.54980797866713,-168.33847300454477
-191.61139725423493,-191.61139725423493,-201.94064757879525,-203.71833279915538,-168.33847300454477
-184.09387031407073,-184.09387031407073,-198.70540558647372,-202.11919822359542,-160.54169925903636
-176.2780083614581,-176.2780083614581,-198.02716145893123,-200.67051370593558,-160.54169925903636
-184.70066276545117,-184.70066276545117,-195.5633282646823,-199.88278276823834,-160.54169925903636
-180.70658239637643,-180.70658239637643,-195.19933678937804,-199.08406794886895,-160.54169925903636
-183.59481401285183,-183.59481401285183,-191.1024000840056,-198.24601823501504,-160.54169925903636
-183.7608025234708,-183.7608025234708,-186.18831948072605,-197.7574246922476,-160.54169925903636
-174.80856933935559,-174.80856933935559,-188.31826721873153,-198.21518062568578,-160.54169925903636
-183.3120026935934,-183.3120026935934,-184.64455167787702,-196.90556779124722,-153.68834425477428
-189.053250385452,-189.053250385452,-182.11379166051418,-196.71094617348055,-153.68834425477428
-185.22655638557245,-185.22655638557245,-180.5190190194009,-197.2740789714458,-153.68834425477428
-188.6127681099112,-188.6127681099112,-184.39818503315965,-197.3297351991533,-153.68834425477428
-189.52176003150464,-189.52176003150464,-188.50769589326677,-197.46977217628586,-153.68834425477428
-195.7490727270911,-195.7490727270911,-189.85160289634214,-197.31068536518802,-153.68834425477428
-193.26867914022517,-193.26867914022517,-193.86837206834744,-197.78014397873858,-153.68834425477428
-191.1939020901425,-191.1939020901425,-196.22932107532307,-197.75414087899262,-153.68834425477428
-191.3035791723076,-191.3035791723076,-199.19370348863532,-198.0993958342447,-153.68834425477428
-185.88828151899995,-185.88828151899995,-192.16536155793202,-196.8082459587663,-142.57995118867453
-188.12130014701285,-188.12130014701285,-196.50847468809977,-196.8153193587137,-142.57995118867453
-185.47920345216383,-185.47920345216383,-195.29098077156027,-196.39539830638714,-142.57995118867453
-166.97766733547112,-166.97766733547112,-191.81108520024893,-196.08647162988126,-142.57995118867453
-148.23340291997224,-148.23340291997224,-187.87969289860663,-195.31908790116464,-142.57995118867453
-143.65713458970185,-143.65713458970185,-180.16477618040142,-193.86456467714325,-125.501973148139
-143.54774868155715,-143.54774868155715,-175.06722679552786,-192.77120402444103,-125.501973148139
-142.92776364828657,-142.92776364828657,-166.5536628318637,-191.5348477493636,-125.501973148139
-142.8024906855181,-142.8024906855181,-161.13099331803613,-190.5589896317457,-125.501973148139
-145.46020434826457,-145.46020434826457,-151.97154848140767,-189.1562719225676,-120.66040063329496
-147.49918383794486,-147.49918383794486,-152.30115752889392,-188.01704148732333,-120.66040063329496
-144.01853654670077,-144.01853654670077,-146.6944238719345,-186.98020188341548,-120.66040063329496
-148.44223084504068,-148.44223084504068,-141.34600459044884,-184.83749482664314,-120.66040063329496
-145.60919033762625,-145.60919033762625,-136.42725348247978,-183.41122056207234,-120.66040063329496
-148.46881594330648,-148.46881594330648,-133.4761652042114,-181.7133634071618,-120.66040063329496
-146.78848407421202,-146.78848407421202,-136.0471378137907,-180.62648122573094,-120.66040063329496
-144.91231416563897,-144.91231416563897,-134.47445116993086,-177.89018818312056,-120.66040063329496
-145.80902704023464,-145.80902704023464,-133.7051324588116,-176.64323041341297,-120.66040063329496
-148.2077573564413,-148.2077573564413,-134.30272946715448,-175.60134892146417,-120.66040063329496
-147.5117658778369,-147.5117658778369,-134.91080793995098,-174.76940316859844,-120.66040063329496
-144.91231416563897,-144.91231416563897,-132.93323160837494,-173.56349353466368,-120.66040063329496
-148.4820017490836,-148.4820017490836,-128.71408924595625,-170.7805797935771,-98.86071536267055
-145.9602182124358,-145.9602182124358,-129.56558479397412,-169.4158722964074,-98.86071536267055
