Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-420.0754574985045,-420.0754574985045,-396.00901122782216,-396.00901122782216,-396.00901122782216
-400.76668112359636,-400.76668112359636,-414.45243841311895,-414.45243841311895,-396.00901122782216
-417.4932819138402,-417.4932819138402,-407.3520879155397,-407.3520879155397,-393.15138692038124
-413.15118945854886,-413.15118945854886,-397.6858659344998,-397.6858659344998,-368.6871999913801
-409.9054030396466,-409.9054030396466,-394.84555124842115,-394.84555124842115,-368.6871999913801
-407.3655593909527,-407.3655593909527,-390.7037647765603,-390.7037647765603,-368.6871999913801
-404.6901831866118,-404.6901831866118,-395.3701388896,-395.3701388896,-368.6871999913801
-416.00208984592507,-416.00208984592507,-399.3000964851026,-399.3000964851026,-368.6871999913801
-414.9644858417467,-414.9644858417467,-396.03884408424494,-396.03884408424494,-368.6871999913801
Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-420.0754574985045,-420.0754574985045,-396.00901122782216,-396.00901122782216,-396.00901122782216
-401.70283099872375,-401.70283099872375,-389.00061225518857,-389.00061225518857,-325.6565257936814
-400.76668112359636,-400.76668112359636,-414.45243841311895,-414.45243841311895,-396.00901122782216
-421.9117069751548,-421.9117069751548,-399.04582369681384,-398.76974983599644,-325.6565257936814
-417.4932819138402,-417.4932819138402,-407.3520879155397,-407.3520879155397,-393.15138692038124
-413.0109796530892,-413.0109796530892,-397.50836295258586,-400.33237552934133,-325.6565257936814
-413.15118945854886,-413.15118945854886,-397.6858659344998,-397.6858659344998,-368.6871999913801
-410.77922797313136,-410.77922797313136,-407.07623965004655,-407.13989694208345,-325.6565257936814
-409.9054030396466,-409.9054030396466,-394.84555124842115,-394.84555124842115,-368.6871999913801
-407.3655593909527,-407.3655593909527,-390.7037647765603,-390.7037647765603,-368.6871999913801
-404.6901831866118,-404.6901831866118,-395.3701388896,-395.3701388896,-368.6871999913801
-416.00208984592507,-416.00208984592507,-399.3000964851026,-399.3000964851026,-368.6871999913801
-414.9644858417467,-414.9644858417467,-396.03884408424494,-396.03884408424494,-368.6871999913801
-401.70283099872375,-401.70283099872375,-389.00061225518857,-389.00061225518857,-325.6565257936814
-421.9117069751548,-421.9117069751548,-399.04582369681384,-398.76974983599644,-325.6565257936814
-413.0109796530892,-413.0109796530892,-397.50836295258586,-400.33237552934133,-325.6565257936814
-410.77922797313136,-410.77922797313136,-407.07623965004655,-407.13989694208345,-325.6565257936814
-415.4279154480201,-415.4279154480201,-411.2774422801228,-407.39413475280196,-325.6565257936814
-402.2359254252582,-402.2359254252582,-423.548980089182,-413.981170475595,-325.6565257936814
-417.48165941044965,-417.48165941044965,-434.10644012115733,-417.8304368669335,-325.6565257936814
-418.8102507292865,-418.8102507292865,-424.36066228046457,-412.4233879430498,-325.6565257936814
-402.98825461646925,-402.98825461646925,-423.8206335011897,-412.9226170495955,-325.6565257936814
-406.77270728488855,-406.77270728488855,-434.8670432894581,-416.47473840277826,-325.6565257936814
-406.56617442103675,-406.56617442103675,-430.6418840478136,-409.8212481515012,-283.40493337723655
-422.76836526402724,-422.76836526402724,-424.38648321579933,-410.9681943025693,-283.40493337723655
-417.1323821275812,-417.1323821275812,-428.6042206117565,-413.1832142031665,-283.40493337723655
-417.3345436696387,-417.3345436696387,-423.52553342017217,-414.2640867151656,-283.40493337723655
-420.11774615410184,-420.11774615410184,-423.79730692159166,-414.22878982313097,-283.40493337723655
-417.9103855591968,-417.9103855591968,-416.41271068362477,-414.9537865588069,-283.40493337723655
-432.73611285425335,-432.73611285425335,-404.770478566787,-412.80737598226176,-283.40493337723655
-442.9761482122457,-442.9761482122457,-415.8054791667804,-413.6760143222092,-283.40493337723655
-443.7202421222825,-443.7202421222825,-412.21102960167116,-412.66847867533676,-283.40493337723655
-443.381283994817,-443.381283994817,-401.14861711026987,-411.1898689915684,-283.40493337723655
-442.88206689785113,-442.88206689785113,-417.7226262590607,-412.4550408540209,-283.40493337723655
-443.5886225536106,-443.5886225536106,-422.5691372963239,-414.71043397797393,-283.40493337723655
-443.8797103383177,-443.8797103383177,-421.4187806607264,-415.7568287211539,-283.40493337723655
-439.07815539406226,-439.07815539406226,-422.69987234807434,-416.8203853918045,-283.40493337723655
-386.4447440530457,-386.4447440530457,-421.9463691687056,-416.49866610124116,-283.40493337723655
-282.8204832206569,-282.8204832206569,-418.25889583287517,-415.898103494255,-283.40493337723655
-259.6580988329069,-259.6580988329069,-411.94679757099385,-412.5683264235762,-283.40493337723655
-255.18223797067628,-255.18223797067628,-395.27533502627,-408.7028577557392,-269.5459857136061
-256.42376422472,-256.42376422472,-381.77071611042436,-404.5374885266756,-250.41882705132318
-255.72709516202994,-255.72709516202994,-372.2393524617623,-401.2025570608489,-250.41882705132318
-254.06159209694448,-254.06159209694448,-354.4619534045129,-397.9567689916439,-250.41882705132318
-256.67604955866364,-256.67604955866364,-330.25551561945815,-394.1116734027262,-240.30784984601678
-256.12473776105224,-256.12473776105224,-311.7993490331388,-391.005047843055,-240.30784984601678
-248.4380874317129,-248.4380874317129,-292.5303401492473,-387.91572370748884,-240.30784984601678
-221.44450017261718,-221.44450017261718,-273.28278372412404,-383.94960192462355,-213.40636526141657
-191.9473016047841,-191.9473016047841,-257.48075749228946,-380.6942488271515,-213.40636526141657
-191.86300035319965,-191.86300035319965,-246.68842238229823,-376.50747771895055,-188.1027778499075
-193.73903029608158,-193.73903029608158,-241.35272946264686,-373.0964474806132,-188.1027778499075
-196.63704170165602,-196.63704170165602,-237.3193124456367,-369.7003685097925,-188.1027778499075
-195.34052546382708,-195.34052546382708,-231.722074269217,-366.6147034299036,-188.1027778499075
-196.0455602370176,-196.0455602370176,-224.1150535282683,-363.1884258989688,-188.1027778499075
