epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,-647.3171115788689,-647.3171115788689,-647.3171115788689,0.0,1,2025-08-05T11:03:49.943291
1,-365.3732663296598,-365.3732663296598,-365.3732663296598,0.0,1,2025-08-05T11:03:54.902463
2,-432.2906220305402,-432.2906220305402,-432.2906220305402,0.0,1,2025-08-05T11:03:59.785404
3,-427.7822776215653,-427.7822776215653,-427.7822776215653,0.0,1,2025-08-05T11:04:04.813066
4,-881.2626506291051,-881.2626506291051,-881.2626506291051,0.0,1,2025-08-05T11:04:09.729734
5,-400.5854029212624,-400.5854029212624,-400.5854029212624,0.0,1,2025-08-05T11:04:14.728223
6,-381.4926517216551,-381.4926517216551,-381.4926517216551,0.0,1,2025-08-05T11:04:19.774487
7,-363.153747520372,-363.153747520372,-363.153747520372,0.0,1,2025-08-05T11:04:24.791944
8,-383.08454100377463,-383.08454100377463,-383.08454100377463,0.0,1,2025-08-05T11:04:29.766367
9,-363.153747520372,-363.153747520372,-363.153747520372,0.0,1,2025-08-05T11:04:34.069095
10,-888.6846329010687,-888.6846329010687,-888.6846329010687,0.0,1,2025-08-05T11:04:37.995262
11,-881.2626506291051,-881.2626506291051,-881.2626506291051,0.0,1,2025-08-05T11:04:42.982037
12,-135.73819541970624,-135.73819541970624,-135.73819541970624,0.0,1,2025-08-05T11:04:47.975357
13,-135.73819541970624,-135.73819541970624,-135.73819541970624,0.0,1,2025-08-05T11:04:53.046795
14,-357.6857759331913,-357.6857759331913,-357.6857759331913,0.0,1,2025-08-05T11:04:57.986407
15,-432.6535581960849,-432.6535581960849,-432.6535581960849,0.0,1,2025-08-05T11:05:02.787294
16,-429.22965021297966,-429.22965021297966,-429.22965021297966,0.0,1,2025-08-05T11:05:07.851733
17,-390.1006470588635,-390.1006470588635,-390.1006470588635,0.0,1,2025-08-05T11:05:12.853619
18,-888.6846329010687,-888.6846329010687,-888.6846329010687,0.0,1,2025-08-05T11:05:17.903150
19,-401.8357233542063,-401.8357233542063,-401.8357233542063,0.0,1,2025-08-05T11:05:22.958878
20,-888.6846329010687,-888.6846329010687,-888.6846329010687,0.0,1,2025-08-05T11:05:28.358414
21,-390.1006470588635,-390.1006470588635,-390.1006470588635,0.0,1,2025-08-05T11:05:33.377288
22,-383.08454100377463,-383.08454100377463,-383.08454100377463,0.0,1,2025-08-05T11:05:37.270969
23,-390.1006470588635,-390.1006470588635,-390.1006470588635,0.0,1,2025-08-05T11:05:40.450465
24,-134.21485027466179,-134.21485027466179,-134.21485027466179,0.0,1,2025-08-05T11:05:45.539513
