epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,-494.1610899697419,-494.1610899697419,-494.1610899697419,0.0,1,2025-08-24T22:32:50.214238
1,-399.5015998395564,-399.5015998395564,-399.5015998395564,0.0,1,2025-08-24T22:33:08.031473
2,-658.556619488393,-658.556619488393,-658.556619488393,0.0,1,2025-08-24T22:33:25.695431
3,-89.30574116484044,-89.30574116484044,-89.30574116484044,0.0,1,2025-08-24T22:33:43.595668
4,-354.8971707433873,-354.8971707433873,-354.8971707433873,0.0,1,2025-08-24T22:34:01.586028
5,-392.03996375815836,-392.03996375815836,-392.03996375815836,0.0,1,2025-08-24T22:34:19.257245
6,-520.7041084670552,-520.7041084670552,-520.7041084670552,0.0,1,2025-08-24T22:34:37.145048
7,-389.9971174031392,-389.9971174031392,-389.9971174031392,0.0,1,2025-08-24T22:34:54.901229
8,-172.25681326880002,-172.25681326880002,-172.25681326880002,0.0,1,2025-08-24T22:35:12.638532
9,-264.64485957969384,-264.64485957969384,-264.64485957969384,0.0,1,2025-08-24T22:35:30.589529
10,-588.0726833431618,-588.0726833431618,-588.0726833431618,0.0,1,2025-08-24T22:35:48.489305
11,-82.70689682671957,-82.70689682671957,-82.70689682671957,0.0,1,2025-08-24T22:36:06.417122
12,-287.90849073132256,-287.90849073132256,-287.90849073132256,0.0,1,2025-08-24T22:36:24.246169
13,-340.10854486557616,-340.10854486557616,-340.10854486557616,0.0,1,2025-08-24T22:36:41.967384
14,-303.00266149002005,-303.00266149002005,-303.00266149002005,0.0,1,2025-08-24T22:36:59.862305
15,-604.4943489483351,-604.4943489483351,-604.4943489483351,0.0,1,2025-08-24T22:37:17.153822
16,-549.7125795249154,-549.7125795249154,-549.7125795249154,0.0,1,2025-08-24T22:37:34.863015
17,-347.749641070176,-347.749641070176,-347.749641070176,0.0,1,2025-08-24T22:37:52.847029
18,-319.36498413290485,-319.36498413290485,-319.36498413290485,0.0,1,2025-08-24T22:38:10.409465
19,-351.9522463814416,-351.9522463814416,-351.9522463814416,0.0,1,2025-08-24T22:38:28.188195
20,-288.37593703122684,-288.37593703122684,-288.37593703122684,0.0,1,2025-08-24T22:38:46.067078
21,-131.29025488268476,-131.29025488268476,-131.29025488268476,0.0,1,2025-08-24T22:39:03.956377
22,-460.34303224410866,-460.34303224410866,-460.34303224410866,0.0,1,2025-08-24T22:39:21.591597
23,-423.693108482059,-423.693108482059,-423.693108482059,0.0,1,2025-08-24T22:39:39.118897
24,-454.68473364256874,-454.68473364256874,-454.68473364256874,0.0,1,2025-08-24T22:39:56.971411
