Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-464.7465400075544,-464.7465400075544,-524.6332150990881,-524.6332150990881,-524.6332150990881
-454.3150285355264,-454.3150285355264,-396.28676013763504,-396.28676013763504,-267.9403051761819
-445.6296374562831,-445.6296374562831,-432.3772752786734,-432.3772752786734,-267.9403051761819
-466.6684881045647,-466.6684881045647,-446.6304157706438,-446.6304157706438,-267.9403051761819
-429.0846455594742,-429.0846455594742,-464.25705351222604,-464.25705351222604,-267.9403051761819
-458.6144365737895,-458.6144365737895,-422.2700165269678,-422.2700165269678,-212.3348316006768
-457.2251000415368,-457.2251000415368,-474.1015923911097,-474.1015923911097,-212.3348316006768
-447.3891491142324,-447.3891491142324,-468.23059179853647,-468.23059179853647,-212.3348316006768
-439.06889007656775,-439.06889007656775,-474.1401214310459,-474.1401214310459,-212.3348316006768
-443.8388413068982,-443.8388413068982,-493.34598190245003,-493.34598190245003,-212.3348316006768
-449.02435360541074,-449.02435360541074,-501.3102332427893,-503.43050432063467,-212.3348316006768
-406.87957510324077,-406.87957510324077,-532.1051172350533,-509.4687243854837,-212.3348316006768
-454.8720992398313,-454.8720992398313,-543.6961457836954,-518.007175667152,-212.3348316006768
-466.9734877232472,-466.9734877232472,-548.9377324722058,-519.7070705574739,-212.3348316006768
-460.72425493304354,-460.72425493304354,-559.3739126762587,-527.6682929549146,-212.3348316006768
-430.067139347746,-430.067139347746,-589.2325047023409,-526.621571636576,-212.3348316006768
-430.4728325918274,-430.4728325918274,-543.1877264187439,-514.7404947603063,-212.3348316006768
-427.65632780473396,-427.65632780473396,-523.0404064346441,-498.68048881859625,-212.3348316006768
-423.9988758990132,-423.9988758990132,-529.7476460556404,-503.4072396545166,-212.3348316006768
-461.04622640128554,-461.04622640128554,-504.3719392537364,-498.8589605780932,-212.3348316006768
-470.7383388652224,-470.7383388652224,-515.405101613944,-509.1326935079249,-212.3348316006768
-463.23195446356715,-463.23195446356715,-509.7444511404542,-509.59405472865217,-212.3348316006768
-446.90217350233206,-446.90217350233206,-481.78220684657845,-502.25718922342435,-212.3348316006768
-442.4716242249226,-442.4716242249226,-486.6566140912567,-505.93604702988335,-212.3348316006768
-458.4374534549429,-458.4374534549429,-477.8664401651804,-507.7475518390209,-212.3348316006768
-348.09991339273677,-348.09991339273677,-450.49265602110347,-497.34121947677886,-212.3348316006768
-323.68626232332497,-323.68626232332497,-451.1850458315495,-491.20143960150745,-212.3348316006768
-304.1561575614585,-304.1561575614585,-450.6851573545729,-481.5392990100164,-212.3348316006768
-314.79513928195195,-314.79513928195195,-414.7522163843205,-472.83654197513863,-212.3348316006768
-317.216202837557,-317.216202837557,-422.15889102468356,-473.29227072695664,-212.3348316006768
-312.36056183844573,-312.36056183844573,-395.68739327419917,-472.53743536801335,-212.3348316006768
-315.63392583920717,-315.63392583920717,-360.2997104651573,-462.93957214630996,-165.40581227350532
-333.3764157339785,-333.3764157339785,-377.7853292144332,-464.5384437661543,-165.40581227350532
-315.8503403487,-315.8503403487,-369.9168844116001,-465.9304109656824,-165.40581227350532
-312.5912674579539,-312.5912674579539,-372.4107188942975,-469.0798852833857,-165.40581227350532
-307.2837359393063,-307.2837359393063,-390.74719935236493,-467.73176944221956,-165.40581227350532
-312.5272503038423,-312.5272503038423,-388.7205865808757,-463.50391175809364,-165.40581227350532
-312.6518109038601,-312.6518109038601,-392.4490805291238,-458.09450467293954,-165.40581227350532
-324.2304654362135,-324.2304654362135,-392.61782883404646,-452.2676411697305,-165.40581227350532
-305.2118030058449,-305.2118030058449,-387.0497390100244,-451.7316377977237,-165.40581227350532
-312.5025570928637,-312.5025570928637,-380.863284225304,-450.177886308816,-165.40581227350532
-320.36020790588094,-320.36020790588094,-406.86494168384553,-449.588469655247,-165.40581227350532
-298.5011349125907,-298.5011349125907,-393.7690339945192,-448.080441493681,-165.40581227350532
-286.83093788848896,-286.83093788848896,-394.7904002090161,-449.76222670280373,-165.40581227350532
-283.6876375825496,-283.6876375825496,-375.0921940270549,-448.19373167086775,-165.40581227350532
-312.28932882470167,-312.28932882470167,-361.43555845371174,-444.62389748819606,-165.40581227350532
-314.5615053624842,-314.5615053624842,-377.05438983353406,-445.1103964549958,-165.40581227350532
-287.0557819057193,-287.0557819057193,-419.6001557112425,-450.0748486392525,-165.40581227350532
-310.565293348822,-310.565293348822,-432.48227798615426,-448.2298119485924,-165.40581227350532
-308.92695445270635,-308.92695445270635,-455.6534140259311,-452.51599304336503,-165.40581227350532
-289.46856008131834,-289.46856008131834,-450.08425603936047,-448.67005367911935,-165.40581227350532
-322.1340474544532,-322.1340474544532,-430.57288605607465,-447.9174213161169,-165.40581227350532
-295.97584177676885,-295.97584177676885,-450.00662685713877,-449.40786853927295,-165.40581227350532
-296.5907021493306,-296.5907021493306,-417.6195448110481,-443.58423519902533,-165.40581227350532
-314.36768173066605,-314.36768173066605,-399.08416519528026,-436.7654861916144,-165.40581227350532
-318.1177581796104,-318.1177581796104,-392.8795305378543,-436.95748981347504,-165.40581227350532
-286.92378319418884,-286.92378319418884,-378.09533062423804,-427.64861585778834,-165.40581227350532
-288.0039095154401,-288.0039095154401,-339.9098621842451,-425.1369324427658,-165.40581227350532
-290.87359267502194,-290.87359267502194,-335.0798434361782,-420.935962539268,-165.40581227350532
-310.7237463911933,-310.7237463911933,-286.95396328682057,-411.2375893202392,-165.40581227350532
-309.99705018672137,-309.99705018672137,-279.20252576549615,-404.24851218366086,-165.40581227350532
-304.400101226673,-304.400101226673,-297.26070598671765,-400.94853906644994,-165.40581227350532
-304.03988153437297,-304.03988153437297,-263.1868932482599,-393.306018032186,-165.40581227350532
-303.03340165203076,-303.03340165203076,-281.73433908633905,-390.1435565218521,-165.40581227350532
-325.5397038029379,-325.5397038029379,-287.5984216871051,-382.4103879937837,-165.40581227350532
-300.5610847788955,-300.5610847788955,-308.61618442833316,-380.83422575867354,-165.40581227350532
-298.76744801215716,-298.76744801215716,-324.4394273516723,-383.8989560443739,-165.40581227350532
-286.29963471916307,-286.29963471916307,-315.3908028673529,-383.60701172930743,-165.40581227350532
-314.66282005086066,-314.66282005086066,-316.1771502391258,-378.2218633759651,-165.40581227350532
-288.60931959162474,-288.60931959162474,-327.1653966024543,-375.7962807899828,-165.40581227350532
-296.64208622048034,-296.64208622048034,-340.01327784676084,-369.1701474302242,-165.40581227350532
-304.95550147899075,-304.95550147899075,-311.57035563474784,-361.3137199653086,-126.46126711814597
-305.7897906194917,-305.7897906194917,-342.9164841005843,-365.5328734829871,-126.46126711814597
-291.3404813184446,-291.3404813184446,-332.1216744676315,-359.236568597127,-126.46126711814597
-307.00803416988725,-307.00803416988725,-337.5986758668547,-354.35683513411846,-126.46126711814597
-267.60971263165817,-267.60971263165817,-315.71058994955615,-353.8778125443641,-126.46126711814597
-295.3613598909124,-295.3613598909124,-282.96371874510123,-350.2546906270843,-126.46126711814597
-294.23540419575374,-294.23540419575374,-277.477385036755,-348.9654572657439,-126.46126711814597
-310.19261368862857,-310.19261368862857,-282.1393494379539,-351.6992899866917,-126.46126711814597
-304.0512709885291,-304.0512709885291,-274.41752221367,-346.24800702778003,-126.46126711814597
-290.73474662336014,-290.73474662336014,-260.4561842391215,-342.12390562320866,-126.46126711814597
-299.2560385334707,-299.2560385334707,-293.6723621108173,-347.9882502944406,-126.46126711814597
-279.41107743892326,-279.41107743892326,-265.6576639094008,-343.1073404219806,-126.46126711814597
-317.0112779795416,-317.0112779795416,-276.9332685253882,-340.6398454198846,-126.46126711814597
-290.1782692899815,-290.1782692899815,-281.8322944333872,-336.2411502419364,-126.46126711814597
-312.8272750665567,-312.8272750665567,-291.77911968869364,-334.0841966116298,-126.46126711814597
-312.0090791658034,-312.0090791658034,-307.01842856600734,-333.91425902411066,-126.46126711814597
-286.19899304591405,-286.19899304591405,-315.2812054258413,-333.5318822450874,-126.46126711814597
-284.9978366934163,-284.9978366934163,-293.6365633966192,-331.90303689920626,-126.46126711814597
-313.59009713112465,-313.59009713112465,-304.2429384601333,-329.68664691780185,-126.46126711814597
-309.47977729790756,-309.47977729790756,-320.4341236820427,-330.0380735145564,-126.46126711814597
-304.63442320365795,-304.63442320365795,-288.7322112307372,-324.36170420381893,-126.46126711814597
-279.2903301070024,-279.2903301070024,-300.8861077089228,-324.5307551648613,-126.46126711814597
-306.82572341438737,-306.82572341438737,-292.2312220534137,-320.1280097887641,-126.46126711814597
-302.2996842218903,-302.2996842218903,-288.5997560507655,-318.9426626466785,-126.46126711814597
-299.62451344330043,-299.62451344330043,-275.98856951937734,-316.99479882476294,-126.46126711814597
-300.9392433816931,-300.9392433816931,-257.82297246327073,-310.06797555005795,-121.14818519253028
-294.086820493193,-294.086820493193,-246.26519609148167,-298.8648903211352,-121.14818519253028
-296.74150713504076,-296.74150713504076,-256.5857921137025,-296.7237397247159,-121.14818519253028
-295.9064261584517,-295.9064261584517,-255.39265773155034,-289.6344956589257,-121.14818519253028
-291.8461373796297,-291.8461373796297,-245.93477965884767,-289.2081782384538,-121.14818519253028
-294.36895816599264,-294.36895816599264,-262.4094128198796,-290.72900955657997,-121.14818519253028
-323.1135907100946,-323.1135907100946,-253.12992623587016,-285.1554150406076,-121.14818519253028
-277.22064078190283,-277.22064078190283,-247.78078195204938,-286.16025721696434,-121.14818519253028
-280.0671043233544,-280.0671043233544,-245.0944166660724,-288.144712940837,-121.14818519253028
-280.91813050835094,-280.91813050835094,-260.7159952832449,-290.5620917738411,-121.14818519253028
-311.58186924694087,-311.58186924694087,-284.15899113114256,-291.28070765143883,-121.14818519253028
-290.6894053369186,-290.6894053369186,-313.6296872355063,-293.60885533138736,-121.14818519253028
-301.34271406398346,-301.34271406398346,-309.79322549651675,-291.66641613678365,-121.14818519253028
-307.9208958206734,-307.9208958206734,-304.4609864640115,-293.13590029436386,-121.14818519253028
-299.32028181192186,-299.32028181192186,-314.9816572359867,-296.3640045325519,-121.14818519253028
-331.02673965524104,-331.02673965524104,-317.5910023447819,-294.79506882819277,-121.14818519253028
-288.67209944291363,-288.67209944291363,-320.3318409605482,-296.58440458306524,-121.14818519253028
-309.81637923863434,-309.81637923863434,-318.5333596966673,-293.52006133903,-121.14818519253028
-302.2231507163755,-302.2231507163755,-336.01778239572906,-297.82858508256174,-121.14818519253028
-315.7425479690938,-315.7425479690938,-331.3268270343994,-295.10422029505435,-121.14818519253028
-301.50814282400836,-301.50814282400836,-336.8532822244324,-293.7634786259909,-121.14818519253028
-290.6736107195853,-290.6736107195853,-327.1736505183011,-295.9654248615771,-121.14818519253028
-292.79769506320906,-292.79769506320906,-323.1442683152835,-293.0598397520152,-121.14818519253028
-285.8416498242968,-285.8416498242968,-324.2791106935527,-292.5586431125836,-121.14818519253028
-310.14626806010955,-310.14626806010955,-307.2454524983082,-289.8104394628614,-121.14818519253028
-289.61485706296236,-289.61485706296236,-313.88441911134595,-295.25788152351237,-121.14818519253028
-303.7108282485812,-303.7108282485812,-303.5276096337389,-288.7066296896962,-121.14818519253028
-310.15981784075234,-310.15981784075234,-317.7210500368488,-290.6399364528735,-121.14818519253028
-294.4768676177596,-294.4768676177596,-293.7087234522798,-289.05059459964673,-121.14818519253028
-303.1312209595113,-303.1312209595113,-296.6227688753605,-291.28665608021515,-121.14818519253028
-291.945554731954,-291.945554731954,-285.98444719046483,-294.36762431506355,-121.14818519253028
-302.5845133330682,-302.5845133330682,-294.31621342290634,-299.33319053880734,-121.14818519253028
-306.6755577532878,-306.6755577532878,-308.6176060363814,-298.3554910717006,-121.14818519253028
-296.8842730485414,-296.8842730485414,-316.92905351276414,-301.0609493724024,-121.14818519253028
-312.85953976288414,-312.85953976288414,-342.04993690979813,-306.1291899969967,-121.14818519253028
-289.70258368414545,-289.70258368414545,-330.1455642366433,-302.5525219486776,-121.14818519253028
-307.45879376218744,-307.45879376218744,-351.1690224007432,-305.8089013879646,-121.14818519253028
-287.98085186095085,-287.98085186095085,-346.2745233712077,-304.5081874220374,-121.14818519253028
-309.7943105162056,-309.7943105162056,-363.3949813598917,-305.3631319849477,-121.14818519253028
-296.4573295573719,-296.4573295573719,-360.0257877441496,-304.93598969130636,-121.14818519253028
-298.8820961174913,-298.8820961174913,-353.0676460503664,-303.57746781193543,-121.14818519253028
