epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,-393.9824796810637,-393.9824796810637,-393.9824796810637,0.0,1,2025-08-24T22:32:46.052500
1,-480.7556448371984,-480.7556448371984,-480.7556448371984,0.0,1,2025-08-24T22:32:53.795733
2,-498.99488758351004,-498.99488758351004,-498.99488758351004,0.0,1,2025-08-24T22:33:03.769676
3,-412.2555575487387,-412.2555575487387,-412.2555575487387,0.0,1,2025-08-24T22:33:13.780029
4,-283.1512728145923,-283.1512728145923,-283.1512728145923,0.0,1,2025-08-24T22:33:23.291875
5,-253.41532754845682,-253.41532754845682,-253.41532754845682,0.0,1,2025-08-24T22:33:32.131412
6,-271.20697849575964,-271.20697849575964,-271.20697849575964,0.0,1,2025-08-24T22:33:42.106699
7,-326.1082830939589,-326.1082830939589,-326.1082830939589,0.0,1,2025-08-24T22:33:52.055329
8,-294.8080458665629,-294.8080458665629,-294.8080458665629,0.0,1,2025-08-24T22:34:01.936595
9,-495.3045492025345,-495.3045492025345,-495.3045492025345,0.0,1,2025-08-24T22:34:11.136564
10,-460.84878451637843,-460.84878451637843,-460.84878451637843,0.0,1,2025-08-24T22:34:21.139103
11,-475.4680824451539,-475.4680824451539,-475.4680824451539,0.0,1,2025-08-24T22:34:31.081164
12,-262.28364870521233,-262.28364870521233,-262.28364870521233,0.0,1,2025-08-24T22:34:40.619597
13,-443.5584124791636,-443.5584124791636,-443.5584124791636,0.0,1,2025-08-24T22:34:50.582204
14,-293.530415713524,-293.530415713524,-293.530415713524,0.0,1,2025-08-24T22:34:59.320008
15,-435.05342670038203,-435.05342670038203,-435.05342670038203,0.0,1,2025-08-24T22:35:09.281117
16,-178.09243966608904,-178.09243966608904,-178.09243966608904,0.0,1,2025-08-24T22:35:19.266068
17,-465.4960943603063,-465.4960943603063,-465.4960943603063,0.0,1,2025-08-24T22:35:29.249780
18,-245.08590866503002,-245.08590866503002,-245.08590866503002,0.0,1,2025-08-24T22:35:38.852527
19,-304.2765536612164,-304.2765536612164,-304.2765536612164,0.0,1,2025-08-24T22:35:48.080482
20,-672.490118350011,-672.490118350011,-672.490118350011,0.0,1,2025-08-24T22:35:58.290858
21,-277.19183219474803,-277.19183219474803,-277.19183219474803,0.0,1,2025-08-24T22:36:08.227204
22,-254.7458757673362,-254.7458757673362,-254.7458757673362,0.0,1,2025-08-24T22:36:18.214561
23,-639.3953131924393,-639.3953131924393,-639.3953131924393,0.0,1,2025-08-24T22:36:26.919868
24,-408.02472023704985,-408.02472023704985,-408.02472023704985,0.0,1,2025-08-24T22:36:36.869454
