epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,-613.738611968535,-613.738611968535,-613.738611968535,0.0,1,2025-08-09T15:44:21.062411
1,-476.0214024789999,-476.0214024789999,-476.0214024789999,0.0,1,2025-08-09T15:44:22.071554
2,-638.4332491008968,-638.4332491008968,-638.4332491008968,0.0,1,2025-08-09T15:44:23.089527
3,-341.6444850361282,-341.6444850361282,-341.6444850361282,0.0,1,2025-08-09T15:44:24.118195
4,-474.62801649764026,-474.62801649764026,-474.62801649764026,0.0,1,2025-08-09T15:44:25.110958
5,-347.8148591420342,-347.8148591420342,-347.8148591420342,0.0,1,2025-08-09T15:44:26.144510
6,-505.2440365786597,-505.2440365786597,-505.2440365786597,0.0,1,2025-08-09T15:44:27.167215
7,-555.7683781352854,-555.7683781352854,-555.7683781352854,0.0,1,2025-08-09T15:44:28.169823
8,-553.7363673342369,-553.7363673342369,-553.7363673342369,0.0,1,2025-08-09T15:44:29.198589
9,-321.930937198525,-321.930937198525,-321.930937198525,0.0,1,2025-08-09T15:44:30.190807
10,-561.1681924499744,-561.1681924499744,-561.1681924499744,0.0,1,2025-08-09T15:44:31.517158
11,-284.9168036120761,-284.9168036120761,-284.9168036120761,0.0,1,2025-08-09T15:44:32.548721
12,-489.4496682847438,-489.4496682847438,-489.4496682847438,0.0,1,2025-08-09T15:44:33.553675
13,-345.1269064485299,-345.1269064485299,-345.1269064485299,0.0,1,2025-08-09T15:44:34.568346
14,-291.0364217972518,-291.0364217972518,-291.0364217972518,0.0,1,2025-08-09T15:44:35.598056
15,-649.3531479751001,-649.3531479751001,-649.3531479751001,0.0,1,2025-08-09T15:44:36.591361
16,-523.4537653676737,-523.4537653676737,-523.4537653676737,0.0,1,2025-08-09T15:44:37.468552
17,-324.6022313009861,-324.6022313009861,-324.6022313009861,0.0,1,2025-08-09T15:44:38.226479
18,-551.8226422645037,-551.8226422645037,-551.8226422645037,0.0,1,2025-08-09T15:44:38.986215
19,-573.7740360443813,-573.7740360443813,-573.7740360443813,0.0,1,2025-08-09T15:44:39.779579
20,-660.9133992971175,-660.9133992971175,-660.9133992971175,0.0,1,2025-08-09T15:44:41.131402
21,-555.7683781352854,-555.7683781352854,-555.7683781352854,0.0,1,2025-08-09T15:44:42.131314
22,-206.56769519279624,-206.56769519279624,-206.56769519279624,0.0,1,2025-08-09T15:44:43.161505
23,-345.860958235677,-345.860958235677,-345.860958235677,0.0,1,2025-08-09T15:44:44.157078
24,-558.4030636941235,-558.4030636941235,-558.4030636941235,0.0,1,2025-08-09T15:44:45.182684
