Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-475.45955670205365,-475.45955670205365,-647.3122765021293,-647.3122765021293,-647.3122765021293
-498.7915963493474,-498.7915963493474,-605.8432575872721,-605.8432575872721,-564.3742386724149
-493.10447314873693,-493.10447314873693,-681.163556744087,-681.163556744087,-564.3742386724149
-524.4618571309761,-524.4618571309761,-563.7378001729898,-563.7378001729898,-211.4605304596979
-513.8032147324246,-513.8032147324246,-563.2058392549636,-563.2058392549636,-211.4605304596979
-477.758597482091,-477.758597482091,-563.1042141516988,-563.1042141516988,-211.4605304596979
-464.2048995454686,-464.2048995454686,-598.9560035216826,-598.9560035216826,-211.4605304596979
-482.4555191531406,-482.4555191531406,-616.6258916948235,-616.6258916948235,-211.4605304596979
-501.6217109375099,-501.6217109375099,-639.9134352466847,-639.9134352466847,-211.4605304596979
-478.7133265687689,-478.7133265687689,-632.9005692869475,-632.9005692869475,-211.4605304596979
-512.2669177789874,-512.2669177789874,-626.3812702348071,-628.2840889863818,-211.4605304596979
-494.508631294246,-494.508631294246,-626.3891623046895,-622.9648448517866,-211.4605304596979
-528.0172910081712,-528.0172910081712,-600.4684594559109,-619.0904049839514,-211.4605304596979
-488.1088815282313,-488.1088815282313,-640.3043512222912,-618.4281937796337,-211.4605304596979
-495.7235866655472,-495.7235866655472,-655.2809137730358,-624.5892222670117,-211.4605304596979
-525.6474415109743,-525.6474415109743,-655.9903362445132,-621.1580404597076,-211.4605304596979
-502.70448504793706,-502.70448504793706,-631.7168250210112,-618.2270749918758,-211.4605304596979
-511.988928034942,-511.988928034942,-614.7326992668287,-615.5741181237152,-211.4605304596979
-531.9131795234194,-531.9131795234194,-573.7332104819446,-605.0817380020845,-211.4605304596979
-525.1298939323166,-525.1298939323166,-590.8100285562808,-611.8552989216141,-211.4605304596979
-499.5371982172465,-499.5371982172465,-587.0809314736711,-608.6635377898529,-211.4605304596979
-503.2818628612424,-503.2818628612424,-588.6619065599912,-607.3726001736977,-211.4605304596979
-494.40325943048,-494.40325943048,-589.5268228008367,-606.2366735999885,-211.4605304596979
-483.44605606244016,-483.44605606244016,-586.651316029918,-605.1878280505854,-211.4605304596979
-500.520026649509,-500.520026649509,-573.4429662514166,-604.1307198607736,-211.4605304596979
-532.1876077312475,-532.1876077312475,-574.654515794843,-603.2720694347597,-211.4605304596979
-531.741464286146,-531.741464286146,-577.4663911741536,-603.1305254297565,-211.4605304596979
-517.3916470360575,-517.3916470360575,-593.405642204009,-607.6568052952488,-211.4605304596979
-508.57213802471836,-508.57213802471836,-645.2592268202812,-618.936044491118,-211.4605304596979
-499.0311285693009,-499.0311285693009,-627.7729965654186,-617.1611981362156,-211.4605304596979
-499.5264321854374,-499.5264321854374,-628.7560614334182,-615.1449970297127,-211.4605304596979
-526.6087514949887,-526.6087514949887,-618.8128327620424,-610.9476728575554,-211.4605304596979
-512.6648111282018,-512.6648111282018,-606.5593199217751,-606.3344452126511,-211.4605304596979
-511.45136970453734,-511.45136970453734,-576.9285994995855,-596.8762902414677,-211.4605304596979
-511.7766989545161,-511.7766989545161,-578.0475189067753,-596.6783767310596,-211.4605304596979
-495.9378486292914,-495.9378486292914,-548.6884264998357,-588.1099463972807,-211.4605304596979
-494.3394654344656,-494.3394654344656,-544.9265387572581,-587.399718220973,-211.4605304596979
