epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,-578.9224009815148,-578.9224009815148,-578.9224009815148,0.0,1,2025-08-05T11:03:01.951612
1,-511.07807724993665,-511.07807724993665,-511.07807724993665,0.0,1,2025-08-05T11:03:07.748667
2,-364.7279804237383,-364.7279804237383,-364.7279804237383,0.0,1,2025-08-05T11:03:13.534671
3,-176.96237320655328,-176.96237320655328,-176.96237320655328,0.0,1,2025-08-05T11:03:19.369873
4,-537.7265993885173,-537.7265993885173,-537.7265993885173,0.0,1,2025-08-05T11:03:25.182868
5,-192.16866148025449,-192.16866148025449,-192.16866148025449,0.0,1,2025-08-05T11:03:31.063212
6,-198.43272602205815,-198.43272602205815,-198.43272602205815,0.0,1,2025-08-05T11:03:36.953814
7,-639.875859983194,-639.875859983194,-639.875859983194,0.0,1,2025-08-05T11:03:42.863386
8,-493.39461008786867,-493.39461008786867,-493.39461008786867,0.0,1,2025-08-05T11:03:48.792394
9,-222.56462529464173,-222.56462529464173,-222.56462529464173,0.0,1,2025-08-05T11:03:54.733633
10,-744.360646856115,-744.360646856115,-744.360646856115,0.0,1,2025-08-05T11:04:01.018071
11,-536.0601602338153,-536.0601602338153,-536.0601602338153,0.0,1,2025-08-05T11:04:06.999686
12,-224.51923835386668,-224.51923835386668,-224.51923835386668,0.0,1,2025-08-05T11:04:12.998655
13,-345.8219748566941,-345.8219748566941,-345.8219748566941,0.0,1,2025-08-05T11:04:18.949973
14,-222.23505940719207,-222.23505940719207,-222.23505940719207,0.0,1,2025-08-05T11:04:24.943263
15,-278.67912429284485,-278.67912429284485,-278.67912429284485,0.0,1,2025-08-05T11:04:30.908182
16,-368.9480673004447,-368.9480673004447,-368.9480673004447,0.0,1,2025-08-05T11:04:36.970753
17,-119.35148401971585,-119.35148401971585,-119.35148401971585,0.0,1,2025-08-05T11:04:43.209932
18,-477.89481915269573,-477.89481915269573,-477.89481915269573,0.0,1,2025-08-05T11:04:49.225955
19,-522.3701225634799,-522.3701225634799,-522.3701225634799,0.0,1,2025-08-05T11:04:55.195377
20,-718.5010810556835,-718.5010810556835,-718.5010810556835,0.0,1,2025-08-05T11:05:01.499342
21,-213.44577347055565,-213.44577347055565,-213.44577347055565,0.0,1,2025-08-05T11:05:07.496249
22,-428.2070742453336,-428.2070742453336,-428.2070742453336,0.0,1,2025-08-05T11:05:13.528402
23,-172.44870717941967,-172.44870717941967,-172.44870717941967,0.0,1,2025-08-05T11:05:19.530990
24,-673.4075817660541,-673.4075817660541,-673.4075817660541,0.0,1,2025-08-05T11:05:25.507711
