Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-483.47795561100565,-483.47795561100565,-578.9224009815148,-578.9224009815148,-578.9224009815148
-476.0731655916874,-476.0731655916874,-545.0002391157257,-545.0002391157257,-511.07807724993665
-494.51798528532703,-494.51798528532703,-484.9094862183965,-484.9094862183965,-364.7279804237383
-473.9028761462938,-473.9028761462938,-407.92270796543573,-407.92270796543573,-176.96237320655328
-490.9856421766483,-490.9856421766483,-433.883486250052,-433.883486250052,-176.96237320655328
-481.69186984679845,-481.69186984679845,-393.59768212175237,-393.59768212175237,-176.96237320655328
-466.6255198393052,-466.6255198393052,-365.71697410751034,-365.71697410751034,-176.96237320655328
-500.9334260499508,-500.9334260499508,-399.9868348419709,-399.9868348419709,-176.96237320655328
-495.04735499469047,-495.04735499469047,-410.36547653595954,-410.36547653595954,-176.96237320655328
-502.22395502146486,-502.22395502146486,-391.5853914118278,-391.5853914118278,-176.96237320655328
-486.97540991280863,-486.97540991280863,-408.1292159992878,-423.65586917949025,-176.96237320655328
-502.0094754624242,-502.0094754624242,-410.6274242976757,-433.02289343401736,-176.96237320655328
-485.82797524920716,-485.82797524920716,-396.6065500906884,-416.9841507355443,-176.96237320655328
-468.408532435641,-468.408532435641,-413.49251025570254,-411.90113817276927,-176.96237320655328
-458.7169810535194,-458.7169810535194,-381.94335625757,-399.2567329217308,-176.96237320655328
-496.31548633406504,-496.31548633406504,-390.59440253882906,-391.7206323824254,-176.96237320655328
-450.0562027004057,-450.0562027004057,-407.6459366666677,-390.38106973054414,-176.96237320655328
-501.53556868534474,-501.53556868534474,-355.5934990703199,-375.323870524387,-119.35148401971585
-514.4663320829357,-514.4663320829357,-354.04351997680254,-380.7223415048243,-119.35148401971585
-498.0483773411824,-498.0483773411824,-384.02406970368645,-387.8047305577571,-119.35148401971585
-484.1431678146926,-484.1431678146926,-381.43811312364335,-403.5521758195631,-119.35148401971585
-506.1058646291941,-506.1058646291941,-349.1766744473172,-394.91097571279005,-119.35148401971585
-432.193796547662,-432.193796547662,-369.54545803646397,-396.35863217072676,-119.35148401971585
-485.0282107847093,-485.0282107847093,-352.2081312687365,-387.0290519627556,-119.35148401971585
-461.73089425336684,-461.73089425336684,-397.3253835046228,-398.4841931548875,-119.35148401971585
-421.61612703657227,-421.61612703657227,-388.12391412457197,-390.33727920632793,-119.35148401971585
-351.8683508426101,-351.8683508426101,-371.3699991305506,-383.33993247128734,-119.35148401971585
-357.0605889785609,-357.0605889785609,-391.6955862161831,-381.1709118428857,-119.35148401971585
-329.5855591539639,-329.5855591539639,-363.0160131994492,-374.61671105469503,-119.35148401971585
-346.37044453414717,-346.37044453414717,-351.7593348540096,-375.78959865650796,-119.35148401971585
-353.7238273546721,-353.7238273546721,-292.93834306718503,-367.87029428653796,-119.35148401971585
-324.457843115775,-324.457843115775,-311.5296788196534,-368.85432043368485,-119.35148401971585
-344.7035648597734,-344.7035648597734,-316.3118751715425,-372.1020391406709,-119.35148401971585
-340.2455025014701,-340.2455025014701,-326.90777319329237,-369.3463229129135,-119.35148401971585
-320.2250997780758,-320.2250997780758,-288.96385501670056,-367.1926679725484,-119.35148401971585
-329.91254148822287,-329.91254148822287,-321.19378083589373,-371.13075188120735,-119.35148401971585
-342.1400573431472,-342.1400573431472,-331.1216676475325,-369.22688792432655,-119.35148401971585
-343.03854038172796,-343.03854038172796,-315.902702738243,-363.9950673416639,-119.35148401971585
-314.0406772375276,-314.0406772375276,-329.31649722203724,-363.0012716104238,-119.35148401971585
-326.88805207021113,-326.88805207021113,-326.3488521021794,-363.42941201792576,-119.35148401971585
-340.9526023542843,-340.9526023542843,-347.3497942071347,-362.8652942671713,-119.35148401971585
-344.0417448529447,-344.0417448529447,-342.8533061384557,-362.66360274434453,-119.35148401971585
-324.2944915721012,-324.2944915721012,-316.6966109202634,-359.2170558335994,-119.35148401971585
-336.6313486574683,-336.6313486574683,-334.65404372830733,-361.4617140073211,-119.35148401971585
-341.59135602998373,-341.59135602998373,-356.33951382472435,-364.7808559396986,-119.35148401971585
-328.2621940711018,-328.2621940711018,-324.84767557504705,-361.06921355378114,-119.35148401971585
-311.0233777418971,-311.0233777418971,-331.7448501403982,-361.2519862681716,-119.35148401971585
-330.9060005481027,-330.9060005481027,-346.8115658425539,-360.41517119601593,-119.35148401971585
-337.51309787520404,-337.51309787520404,-352.8753395161427,-360.93475485648884,-119.35148401971585
-312.86198794222446,-312.86198794222446,-349.3056767082192,-360.6046649559845,-119.35148401971585
-313.87213629285634,-313.87213629285634,-363.7953626523677,-358.73016580992373,-119.35148401971585
-335.86525275853165,-335.86525275853165,-367.44551472989224,-356.32651968659883,-119.35148401971585
-331.8648697216016,-331.8648697216016,-386.5459429254664,-357.141287428885,-119.35148401971585
-286.78841932074386,-286.78841932074386,-367.27765866505035,-358.90802342221787,-119.35148401971585
-339.19161563773673,-339.19161563773673,-352.7009748566649,-355.45461669205656,-119.35148401971585
-305.45011672754043,-305.45011672754043,-388.64089227814213,-362.6801330704968,-119.35148401971585
