epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,520.7736828859332,520.7736828859332,520.7736828859332,0.0,1,2025-08-28T22:38:04.470885
1,466.3345779569808,466.3345779569808,466.3345779569808,0.0,1,2025-08-28T22:38:13.014627
2,419.8896181629778,419.8896181629778,419.8896181629778,0.0,1,2025-08-28T22:38:21.492340
3,444.6311950101086,444.6311950101086,444.6311950101086,0.0,1,2025-08-28T22:38:30.012784
4,427.3773196828822,427.3773196828822,427.3773196828822,0.0,1,2025-08-28T22:38:38.563290
5,408.7478189354287,408.7478189354287,408.7478189354287,0.0,1,2025-08-28T22:38:47.261865
6,452.728649276061,452.728649276061,452.728649276061,0.0,1,2025-08-28T22:38:55.880557
7,420.8182005416041,420.8182005416041,420.8182005416041,0.0,1,2025-08-28T22:39:04.533230
8,431.18964619918813,431.18964619918813,431.18964619918813,0.0,1,2025-08-28T22:39:13.157910
9,414.19511821835493,414.19511821835493,414.19511821835493,0.0,1,2025-08-28T22:39:21.978316
10,485.5817827544131,485.5817827544131,485.5817827544131,0.0,1,2025-08-28T22:39:31.060379
11,521.0905174423406,521.0905174423406,521.0905174423406,0.0,1,2025-08-28T22:39:39.710377
12,500.87749416160915,500.87749416160915,500.87749416160915,0.0,1,2025-08-28T22:39:48.192782
13,456.8087666033897,456.8087666033897,456.8087666033897,0.0,1,2025-08-28T22:39:56.937556
14,481.56495417473303,481.56495417473303,481.56495417473303,0.0,1,2025-08-28T22:40:05.538671
15,487.9135976436901,487.9135976436901,487.9135976436901,0.0,1,2025-08-28T22:40:14.234399
16,479.9574181534546,479.9574181534546,479.9574181534546,0.0,1,2025-08-28T22:40:22.675505
17,483.0103228274106,483.0103228274106,483.0103228274106,0.0,1,2025-08-28T22:40:31.308841
18,455.0077752421378,455.0077752421378,455.0077752421378,0.0,1,2025-08-28T22:40:39.958351
19,438.1304229663175,438.1304229663175,438.1304229663175,0.0,1,2025-08-28T22:40:48.537995
20,454.6188484152474,454.6188484152474,454.6188484152474,0.0,1,2025-08-28T22:40:57.491405
21,415.6747421547359,415.6747421547359,415.6747421547359,0.0,1,2025-08-28T22:41:06.066825
22,466.6245343946165,466.6245343946165,466.6245343946165,0.0,1,2025-08-28T22:41:14.674301
23,407.4051064926365,407.4051064926365,407.4051064926365,0.0,1,2025-08-28T22:41:23.253373
24,503.5571520743672,503.5571520743672,503.5571520743672,0.0,1,2025-08-28T22:41:31.951458
