epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,482.9266005573094,482.9266005573094,482.9266005573094,0.0,1,2025-08-28T22:38:04.493005
1,387.9647115080469,387.9647115080469,387.9647115080469,0.0,1,2025-08-28T22:38:23.544304
2,392.9048659410034,392.9048659410034,392.9048659410034,0.0,1,2025-08-28T22:38:43.038012
3,409.05921708764487,409.05921708764487,409.05921708764487,0.0,1,2025-08-28T22:39:02.628646
4,475.4797347155245,475.4797347155245,475.4797347155245,0.0,1,2025-08-28T22:39:22.114011
5,381.1608656540875,381.1608656540875,381.1608656540875,0.0,1,2025-08-28T22:39:41.575413
6,410.23166444432366,410.23166444432366,410.23166444432366,0.0,1,2025-08-28T22:40:00.569584
7,456.41940678635484,456.41940678635484,456.41940678635484,0.0,1,2025-08-28T22:40:19.107997
8,410.23166444432366,410.23166444432366,410.23166444432366,0.0,1,2025-08-28T22:40:38.367034
9,410.23166444432366,410.23166444432366,410.23166444432366,0.0,1,2025-08-28T22:40:57.688725
10,415.2881733694942,415.2881733694942,415.2881733694942,0.0,1,2025-08-28T22:41:16.949847
11,398.80336666885916,398.80336666885916,398.80336666885916,0.0,1,2025-08-28T22:41:36.489131
12,410.23166444432366,410.23166444432366,410.23166444432366,0.0,1,2025-08-28T22:41:55.812218
13,392.9048659410034,392.9048659410034,392.9048659410034,0.0,1,2025-08-28T22:42:14.765535
14,353.25082636137597,353.25082636137597,353.25082636137597,0.0,1,2025-08-28T22:42:33.722983
15,447.92489087529066,447.92489087529066,447.92489087529066,0.0,1,2025-08-28T22:42:52.377340
16,380.7952876511563,380.7952876511563,380.7952876511563,0.0,1,2025-08-28T22:43:11.892032
17,387.00666448575606,387.00666448575606,387.00666448575606,0.0,1,2025-08-28T22:43:30.597393
18,380.7952876511563,380.7952876511563,380.7952876511563,0.0,1,2025-08-28T22:43:49.235296
19,392.9048659410034,392.9048659410034,392.9048659410034,0.0,1,2025-08-28T22:44:08.024169
20,453.783444545838,453.783444545838,453.783444545838,0.0,1,2025-08-28T22:44:27.083583
21,387.00666448575606,387.00666448575606,387.00666448575606,0.0,1,2025-08-28T22:44:46.608820
22,431.07364702347115,431.07364702347115,431.07364702347115,0.0,1,2025-08-28T22:45:05.928279
23,454.32894117154575,454.32894117154575,454.32894117154575,0.0,1,2025-08-28T22:45:24.781047
24,461.402983363043,461.402983363043,461.402983363043,0.0,1,2025-08-28T22:45:43.816199
