epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,69485.72353152305,69485.72353152305,69485.72353152305,0.0,1,2025-08-24T23:45:10.733422
1,49635.061913591584,49635.061913591584,49635.061913591584,0.0,1,2025-08-24T23:45:34.822417
2,49635.491529603954,49635.491529603954,49635.491529603954,0.0,1,2025-08-24T23:45:56.303319
3,59570.729047114604,59570.729047114604,59570.729047114604,0.0,1,2025-08-24T23:46:17.487092
4,69499.03436535438,69499.03436535438,69499.03436535438,0.0,1,2025-08-24T23:46:38.761624
5,69494.30758632954,69494.30758632954,69494.30758632954,0.0,1,2025-08-24T23:46:59.591649
6,69469.56207656061,69469.56207656061,69469.56207656061,0.0,1,2025-08-24T23:47:21.136826
7,29789.912792243078,29789.912792243078,29789.912792243078,0.0,1,2025-08-24T23:47:42.431189
8,49635.061913591584,49635.061913591584,49635.061913591584,0.0,1,2025-08-24T23:48:04.139036
9,41699.0348282916,41699.0348282916,41699.0348282916,0.0,1,2025-08-24T23:48:25.716368
10,59569.501545723775,59569.501545723775,59569.501545723775,0.0,1,2025-08-24T23:48:46.522744
11,39713.47207345738,39713.47207345738,39713.47207345738,0.0,1,2025-08-24T23:49:07.228372
12,69487.81020730974,69487.81020730974,69487.81020730974,0.0,1,2025-08-24T23:49:28.597994
13,72456.59146923915,72456.59146923915,72456.59146923915,0.0,1,2025-08-24T23:49:50.224985
14,49639.65452863567,49639.65452863567,49639.65452863567,0.0,1,2025-08-24T23:50:11.591657
15,69499.92204411112,69499.92204411112,69499.92204411112,0.0,1,2025-08-24T23:50:32.751991
16,69499.30027908445,69499.30027908445,69499.30027908445,0.0,1,2025-08-24T23:50:53.685182
17,59579.44729136196,59579.44729136196,59579.44729136196,0.0,1,2025-08-24T23:51:15.264022
18,69499.92204411112,69499.92204411112,69499.92204411112,0.0,1,2025-08-24T23:51:36.405314
19,49651.72543706093,49651.72543706093,49651.72543706093,0.0,1,2025-08-24T23:51:57.997279
20,59579.44729136196,59579.44729136196,59579.44729136196,0.0,1,2025-08-24T23:52:18.647788
21,49636.086725143374,49636.086725143374,49636.086725143374,0.0,1,2025-08-24T23:52:39.229675
22,59579.44729136196,59579.44729136196,59579.44729136196,0.0,1,2025-08-24T23:53:00.657333
23,59575.42624531081,59575.42624531081,59575.42624531081,0.0,1,2025-08-24T23:53:22.217120
24,69487.40978552113,69487.40978552113,69487.40978552113,0.0,1,2025-08-24T23:53:43.783332
