Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-538.1436660934384,-538.1436660934384,-590.2427685941694,-590.2427685941694,-590.2427685941694
-523.1847778721334,-523.1847778721334,-528.6159314006503,-528.6159314006503,-466.98909420713113
-526.6034827830624,-526.6034827830624,-508.0736523361439,-508.0736523361439,-466.98909420713113
-499.3719051282221,-499.3719051282221,-523.7928971636197,-523.7928971636197,-466.98909420713113
-531.136927281199,-531.136927281199,-571.6948885170412,-571.6948885170412,-466.98909420713113
Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
58676.27712484176,58676.27712484176,69485.72353152305,69485.72353152305,69485.72353152305
56343.89886514301,56343.89886514301,59560.39272255731,59560.39272255731,69485.72353152305
57168.13708483111,57168.13708483111,56252.092324906196,56252.092324906196,69485.72353152305
57138.727324697415,57138.727324697415,57081.7515054583,57081.7515054583,69485.72353152305
57476.582634171566,57476.582634171566,59565.20807743751,59565.20807743751,69499.03436535438
58885.888606714194,58885.888606714194,61220.05799558618,61220.05799558618,69499.03436535438
57285.98893841742,57285.98893841742,62398.55857858253,62398.55857858253,69499.03436535438
58676.57891419883,58676.57891419883,58322.4778552901,58322.4778552901,69499.03436535438
57029.082655603066,57029.082655603066,57357.2094173236,57357.2094173236,69499.03436535438
57307.219585907624,57307.219585907624,55791.3919584204,55791.3919584204,69499.03436535438
55599.1504662974,55599.1504662974,54799.76975984047,56134.856466357065,69499.03436535438
56036.614562026756,56036.614562026756,53807.61077582706,54766.40776694877,69499.03436535438
57535.81397058323,57535.81397058323,55792.84264359763,55898.82333928423,69499.03436535438
58428.76317015523,58428.76317015523,57081.42888581008,57081.52106285243,72456.59146923915
57008.809451894675,57008.809451894675,55095.49090213822,56585.396627237984,72456.59146923915
57178.189798937514,57178.189798937514,55096.05234791637,57392.55446579255,72456.59146923915
56660.47772391003,56660.47772391003,55099.026168168755,58104.71598422149,72456.59146923915
57009.3489677803,57009.3489677803,58077.979618080644,58186.645501284846,72456.59146923915
54985.2106428749,54985.2106428749,60064.465631132596,58782.08110880202,72456.59146923915
56659.7501997366,56659.7501997366,60859.73469200953,58325.56332521497,72456.59146923915
58119.65223130884,58119.65223130884,60860.72926657335,58385.27208550768,72456.59146923915
56660.528477096006,56660.528477096006,61852.99073174194,57987.58184185476,72456.59146923915
58031.39402832366,58031.39402832366,60862.15444014718,58056.79338313768,72456.59146923915
57066.99470756219,57066.99470756219,59574.03791775434,58120.06975239489,72456.59146923915
58230.41730617798,58230.41730617798,61558.81344344288,58574.76335371994,72456.59146923915
44545.150104031854,44545.150104031854,59870.83752894473,58345.740259312624,72456.59146923915
49158.64718460854,49158.64718460854,58779.440355550905,58354.61389952869,72456.59146923915
50777.193827603434,50777.193827603434,56593.13397598098,57617.534242247755,72456.59146923915
47193.375350469134,47193.375350469134,55697.10604618282,57718.296604450574,72456.59146923915
50249.0904290769,50249.0904290769,55595.64887103371,57415.59184048789,72456.59146923915
48383.75827181438,48383.75827181438,50730.13063105244,55915.87161632858,72456.59146923915
51947.77251264023,51947.77251264023,49838.03249235555,55440.84767013625,72456.59146923915
47045.563052258476,47045.563052258476,48149.38954914943,55054.54979708063,72456.59146923915
51400.599648147145,51400.599648147145,46162.09616733918,54603.01869796674,72456.59146923915
47668.679015035596,47668.679015035596,46559.66378068721,55141.87776142487,73463.08591900143
49189.29498318033,49189.29498318033,47254.84913847148,55264.937170190075,73463.08591900143
47620.010569723025,47620.010569723025,47650.58714494713,55461.63369558772,73463.08591900143
47550.94998297871,47550.94998297871,47749.93810745854,55020.798417303224,73463.08591900143
49723.31471174582,49723.31471174582,46858.1099941586,54933.63337104237,73463.08591900143
50240.2132890528,50240.2132890528,45071.89431300011,54329.66745861594,73463.08591900143
48165.464978607706,48165.464978607706,49241.62177122485,54288.00580044962,73463.08591900143
45269.20040564115,45269.20040564115,52811.62181954474,54814.84151523352,76415.10582137347
44722.53872005087,44722.53872005087,54001.61939935641,54809.68226272616,76415.10582137347
45822.558723426264,45822.558723426264,56483.169469046275,55030.325691393904,76415.10582137347
51769.6341629953,51769.6341629953,55190.816473993065,55152.75303088447,76415.10582137347
48553.92062904267,48553.92062904267,54398.18002848958,55076.51170460302,76415.10582137347
57158.88810564044,57158.88810564044,53701.54179823557,55087.14605785323,76415.10582137347
58765.92583719861,58765.92583719861,54794.2554548932,54973.601966801136,76415.10582137347
58608.29082014411,58608.29082014411,55588.93180770761,55067.36774587202,76415.10582137347
54893.555898642,54893.555898642,57375.5290654971,54938.83977999218,76415.10582137347
58943.330216205875,58943.330216205875,57275.58401740043,54581.567089218304,76415.10582137347
59262.3630818757,59262.3630818757,55590.7471646606,54780.20059682598,76415.10582137347
55687.52463279907,55687.52463279907,55889.70794609629,54939.14279566938,76415.10582137347
52444.94925543158,52444.94925543158,55395.85722384312,54939.31793275859,76415.10582137347
55907.10367515985,55907.10367515985,55297.38620178109,54740.43416040848,76415.10582137347
59460.308941231415,59460.308941231415,56089.24676922396,54541.83316260921,76415.10582137347
59559.877489898296,59559.877489898296,56487.04335041812,54343.52776346409,76415.10582137347
59034.62951068799,59034.62951068799,57478.93021370389,54938.847474023445,76415.10582137347
59071.91773558763,59071.91773558763,57479.116039741864,55137.545903784696,76415.10582137347
59301.075056599875,59301.075056599875,58570.51118597161,55494.663625502406,76415.10582137347
59163.68958983079,59163.68958983079,59364.13907361844,55494.440951973906,76415.10582137347
59272.19277710942,59272.19277710942,59361.431196875186,55890.964681035606,76415.10582137347
59262.03618062989,59262.03618062989,59560.24092637839,55692.62245222554,76415.10582137347
59262.03618062989,59262.03618062989,59560.09091007542,55435.05033761166,76415.10582137347
59271.85454526993,59271.85454526993,59562.553840477645,55633.84674807638,76415.10582137347
