epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,76429.45376532775,76429.45376532775,76429.45376532775,0.0,1,2025-08-24T23:45:10.970629
1,49639.31218486716,49639.31218486716,49639.31218486716,0.0,1,2025-08-24T23:45:33.303995
2,70485.3780298716,70485.3780298716,70485.3780298716,0.0,1,2025-08-24T23:45:54.291357
3,66518.20431840174,66518.20431840174,66518.20431840174,0.0,1,2025-08-24T23:46:15.004361
4,69487.80282734775,69487.80282734775,69487.80282734775,0.0,1,2025-08-24T23:46:36.087774
5,64511.188295538646,64511.188295538646,64511.188295538646,0.0,1,2025-08-24T23:46:56.875124
6,76429.06059787126,76429.06059787126,76429.06059787126,0.0,1,2025-08-24T23:47:17.808217
7,70472.8714292851,70472.8714292851,70472.8714292851,0.0,1,2025-08-24T23:47:38.733557
8,59558.62584482413,59558.62584482413,59558.62584482413,0.0,1,2025-08-24T23:47:59.683653
9,68484.09733098686,68484.09733098686,68484.09733098686,0.0,1,2025-08-24T23:48:20.622476
10,62540.421363014946,62540.421363014946,62540.421363014946,0.0,1,2025-08-24T23:48:41.568500
11,50623.90685573558,50623.90685573558,50623.90685573558,0.0,1,2025-08-24T23:49:01.860922
12,58565.24155966147,58565.24155966147,58565.24155966147,0.0,1,2025-08-24T23:49:22.826187
13,52614.137627804,52614.137627804,52614.137627804,0.0,1,2025-08-24T23:49:43.560742
14,60552.58054935098,60552.58054935098,60552.58054935098,0.0,1,2025-08-24T23:50:04.433004
15,57566.17375096126,57566.17375096126,57566.17375096126,0.0,1,2025-08-24T23:50:25.415650
16,75440.32895203093,75440.32895203093,75440.32895203093,0.0,1,2025-08-24T23:50:46.127898
17,55589.545845087065,55589.545845087065,55589.545845087065,0.0,1,2025-08-24T23:51:07.117152
18,78431.76761999089,78431.76761999089,78431.76761999089,0.0,1,2025-08-24T23:51:28.059922
19,43699.198849768254,43699.198849768254,43699.198849768254,0.0,1,2025-08-24T23:51:48.776025
20,60552.012422583095,60552.012422583095,60552.012422583095,0.0,1,2025-08-24T23:52:09.749351
21,77427.56047012322,77427.56047012322,77427.56047012322,0.0,1,2025-08-24T23:52:30.166788
22,64513.44175417094,64513.44175417094,64513.44175417094,0.0,1,2025-08-24T23:52:50.708229
23,72462.1198274062,72462.1198274062,72462.1198274062,0.0,1,2025-08-24T23:53:11.904634
24,69469.36485172558,69469.36485172558,69469.36485172558,0.0,1,2025-08-24T23:53:32.865030
