Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
47193.14186332677,47193.14186332677,53604.04778929811,53604.04778929811,53604.04778929811
47967.11244434441,47967.11244434441,51618.96343587099,51618.96343587099,53604.04778929811
46479.495005653116,46479.495005653116,50961.441045392276,50961.441045392276,53604.04778929811
47650.2782536369,47650.2782536369,49641.0033271344,49641.0033271344,53604.04778929811
47153.91881458519,47153.91881458519,50038.10025708764,50038.10025708764,53604.04778929811
47550.72946824578,47550.72946824578,50300.49110914974,50300.49110914974,53604.04778929811
47372.05261715906,47372.05261715906,49922.22286649228,49922.22286649228,53604.04778929811
47064.99556416529,47064.99556416529,48894.424114023845,48894.424114023845,53604.04778929811
47937.87890701576,47937.87890701576,48315.74358438539,48315.74358438539,53604.04778929811
47690.18082705034,47690.18082705034,49241.42991491437,49241.42991491437,57572.6068896752
47035.77240684364,47035.77240684364,49936.228233357906,50269.66637480701,60552.03097373346
46420.764425807174,46420.764425807174,49540.166904012396,49886.6329926555,60552.03097373346
47720.04307297393,47720.04307297393,49041.02206950872,49484.195679328004,60552.03097373346
46737.36716969598,46737.36716969598,48542.82113814761,48856.58747785812,60552.03097373346
46282.53966490578,46282.53966490578,48441.65756076393,48973.805126205174,60552.03097373346
47116.37313039244,47116.37313039244,48243.51111402572,49014.87861219723,60552.03097373346
47412.177960327834,47412.177960327834,47846.123163102784,48700.987746851395,60552.03097373346
48573.14697374424,48573.14697374424,49136.10443482066,49028.690958910964,60552.03097373346
48236.59628174259,48236.59628174259,48242.72679023639,48277.313692728014,60552.03097373346
46927.43317940798,46927.43317940798,47746.01095990819,48493.72043741128,60552.03097373346
46539.43704618117,46539.43704618117,44669.88500977562,47603.103820030155,60552.03097373346
47303.56439922839,47303.56439922839,43776.838071996885,47109.45348326521,60552.03097373346
47383.00665875186,47383.00665875186,42883.84741937468,46614.47904456569,60552.03097373346
46977.141422303925,46977.141422303925,42488.4245017447,46203.186237810856,60552.03097373346
47671.03278255784,47671.03278255784,41397.23152235236,45943.17568466404,60552.03097373346
47551.82865793827,47551.82865793827,41596.033398407344,46161.476606893426,60552.03097373346
47640.66315190061,47640.66315190061,42191.58104919391,46290.09637734862,60552.03097373346
47580.22291755919,47580.22291755919,41297.036591043834,46267.38582752984,60552.03097373346
47948.79519631052,47948.79519631052,43182.24493307969,46520.393430780314,60552.03097373346
47492.77134889171,47492.77134889171,42288.8158259888,46425.41890027045,60552.03097373346
46429.09532222675,46429.09532222675,44274.77652639312,46529.44985434079,60552.03097373346
45776.59534465499,45776.59534465499,45364.79816474453,46564.2486962275,60552.03097373346
