epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,67504.52779293411,67504.52779293411,67504.52779293411,0.0,1,2025-08-24T23:45:10.733333
1,64524.64659814184,64524.64659814184,64524.64659814184,0.0,1,2025-08-24T23:45:21.920900
2,52601.20992161668,52601.20992161668,52601.20992161668,0.0,1,2025-08-24T23:45:33.060599
3,73456.08725759941,73456.08725759941,73456.08725759941,0.0,1,2025-08-24T23:45:43.920191
4,65520.69677384336,65520.69677384336,65520.69677384336,0.0,1,2025-08-24T23:45:54.750000
5,48642.55661377153,48642.55661377153,48642.55661377153,0.0,1,2025-08-24T23:46:05.450778
6,67503.66441511844,67503.66441511844,67503.66441511844,0.0,1,2025-08-24T23:46:16.103242
7,65506.41457695291,65506.41457695291,65506.41457695291,0.0,1,2025-08-24T23:46:26.862553
8,58556.93237043396,58556.93237043396,58556.93237043396,0.0,1,2025-08-24T23:46:37.539981
9,70490.21474654734,70490.21474654734,70490.21474654734,0.0,1,2025-08-24T23:46:48.054695
10,73475.15995333501,73475.15995333501,73475.15995333501,0.0,1,2025-08-24T23:46:59.001052
11,62543.75914329334,62543.75914329334,62543.75914329334,0.0,1,2025-08-24T23:47:10.032982
12,62535.07265147772,62535.07265147772,62535.07265147772,0.0,1,2025-08-24T23:47:20.773603
13,62529.69917554543,62529.69917554543,62529.69917554543,0.0,1,2025-08-24T23:47:31.447796
14,65490.19376348583,65490.19376348583,65490.19376348583,0.0,1,2025-08-24T23:47:42.420949
15,58544.97917853426,58544.97917853426,58544.97917853426,0.0,1,2025-08-24T23:47:53.095534
16,48632.744002619984,48632.744002619984,48632.744002619984,0.0,1,2025-08-24T23:48:03.776625
17,70465.26911059649,70465.26911059649,70465.26911059649,0.0,1,2025-08-24T23:48:14.462397
18,54599.916244955195,54599.916244955195,54599.916244955195,0.0,1,2025-08-24T23:48:25.288915
19,60552.520391917744,60552.520391917744,60552.520391917744,0.0,1,2025-08-24T23:48:36.013292
20,52614.406249045605,52614.406249045605,52614.406249045605,0.0,1,2025-08-24T23:48:46.634617
21,69478.64413329845,69478.64413329845,69478.64413329845,0.0,1,2025-08-24T23:48:56.832123
22,64513.95525226422,64513.95525226422,64513.95525226422,0.0,1,2025-08-24T23:49:07.398628
23,68473.56185838812,68473.56185838812,68473.56185838812,0.0,1,2025-08-24T23:49:18.078472
24,64542.83157768544,64542.83157768544,64542.83157768544,0.0,1,2025-08-24T23:49:28.629166
