Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-400.59753827529704,-400.59753827529704,-393.9824796810637,-393.9824796810637,-393.9824796810637
-426.70336951119776,-426.70336951119776,-437.36906225913106,-437.36906225913106,-393.9824796810637
-429.02879224801035,-429.02879224801035,-457.91100403392403,-457.91100403392403,-393.9824796810637
-408.42888652467917,-408.42888652467917,-446.4971424126277,-446.4971424126277,-393.9824796810637
-411.4352650405661,-411.4352650405661,-413.8279684930206,-413.8279684930206,-283.1512728145923
-441.85783474254947,-441.85783474254947,-387.0925283355933,-387.0925283355933,-253.41532754845682
-429.2503677317868,-429.2503677317868,-370.53744978704566,-370.53744978704566,-253.41532754845682
-434.92908930451114,-434.92908930451114,-364.9838039504098,-364.9838039504098,-253.41532754845682
-421.12011469740304,-421.12011469740304,-357.18649749664905,-357.18649749664905,-253.41532754845682
Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
56800.51112799675,56800.51112799675,48646.62826956159,48646.62826956159,48646.62826956159
58022.901888046974,58022.901888046974,47158.29236978601,47158.29236978601,48646.62826956159
57554.88029646525,57554.88029646525,45670.799493921484,45670.799493921484,48646.62826956159
56620.7362315367,56620.7362315367,47903.38792130179,47903.38792130179,54601.15320344273
57386.44107493062,57386.44107493062,49438.99587096636,49438.99587096636,55581.42766962464
57078.10610120227,57078.10610120227,51460.27142672263,51460.27142672263,61566.64920550397
56354.111254067066,56354.111254067066,53610.8766971915,53610.8766971915,66514.50832000475
56930.811289484736,56930.811289484736,53857.196567675535,53857.196567675535,66514.50832000475
57424.783296182686,57424.783296182686,54159.39803324928,54159.39803324928,66514.50832000475
56940.65279726162,56940.65279726162,53905.80267782575,53905.80267782575,66514.50832000475
56643.29369391467,56643.29369391467,54400.606629202746,53877.51768741719,66514.50832000475
56622.21868894359,56622.21868894359,55192.99335468603,53853.876523869345,66514.50832000475
57515.19548672135,57515.19548672135,56084.591437556686,53681.408681333174,66514.50832000475
56642.43378271485,56642.43378271485,55192.11264201754,53109.61986467019,66514.50832000475
56762.44277497643,56762.44277497643,54498.954148708144,52812.30138946088,66514.50832000475
56533.87961846907,56533.87961846907,53701.67861576974,52861.15091987707,66514.50832000475
56573.14226919475,56573.14226919475,51716.03072346111,52496.26141852658,66514.50832000475
56006.15626841939,56006.15626841939,50527.56185057967,52007.399502622284,66514.50832000475
56602.87159167782,56602.87159167782,51323.0128733476,52666.56373856419,66514.50832000475
56274.37978014503,56274.37978014503,51125.841681216945,52515.822179521354,66514.50832000475
56095.90522749878,56095.90522749878,51820.75404665006,52898.106429909036,66514.50832000475
56988.38356284171,56988.38356284171,51923.72314396268,52976.534078457225,66514.50832000475
56455.010783358644,56455.010783358644,52223.68170024621,53047.61434173014,66514.50832000475
59092.528722191375,59092.528722191375,52818.335610628244,52988.251425486036,66514.50832000475
56999.12970884974,56999.12970884974,53413.53745097764,53052.795814067584,66514.50832000475
37268.51379563625,37268.51379563625,52920.83573927889,52884.106619647,66514.50832000475
34846.3217016255,34846.3217016255,52226.55469228605,52396.37003843748,66514.50832000475
34350.02335829535,34350.02335829535,50338.15543555237,51411.24090724016,66514.50832000475
31491.760157006545,31491.760157006545,47359.64015232847,50836.590088138066,66514.50832000475
33437.880381286486,33437.880381286486,45869.14694082097,50300.26376662122,66514.50832000475
31948.153430787075,31948.153430787075,43290.94262917248,49799.02133289723,66514.50832000475
32465.772936882404,32465.772936882404,42195.298209752604,49607.39786948703,66514.50832000475
33586.82320802053,33586.82320802053,40010.889149920695,49097.09155633335,66514.50832000475
31899.37519084735,31899.37519084735,38720.173007294965,48791.75777307691,66514.50832000475
32643.590055110726,32643.590055110726,36636.69480227935,48362.48123927095,66514.50832000475
32386.328870493304,32386.328870493304,34549.4950213707,47791.15895345915,66514.50832000475
31503.73611559366,31503.73611559366,33952.92333835197,47411.65471409006,66514.50832000475
32446.930153999838,32446.930153999838,34349.51794150374,46921.31381099374,66514.50832000475
32416.113745399347,32416.113745399347,33555.977281908876,46405.66372756649,66514.50832000475
34559.69253563954,34559.69253563954,34648.560909840126,46387.338052425956,66514.50832000475
34131.55667203144,34131.55667203144,35144.884150399324,46224.841532288,66514.50832000475
35590.29522527818,35590.29522527818,33756.93091061321,45833.477164993266,66514.50832000475
34440.714332924814,34440.714332924814,33658.54281950923,45506.7313849789,66514.50832000475
32970.512828332015,32970.512828332015,32863.56682875475,45171.714376640055,66514.50832000475
36256.56954440741,36256.56954440741,33160.69615525329,44984.306776155914,66514.50832000475
36733.03405160755,36733.03405160755,33558.22848044716,44697.04363323915,66514.50832000475
36704.35213884629,36704.35213884629,33360.76285347345,44422.1032543844,66514.50832000475
39153.89547985945,39153.89547985945,35048.600907255066,44447.83195604818,66514.50832000475
40504.30087910482,40504.30087910482,36834.60462428279,44452.38635954941,66514.50832000475
40652.71184098007,40652.71184098007,36733.596378524184,44456.5897176456,66514.50832000475
42270.61247449395,42270.61247449395,36334.722442982704,44198.381979681464,66514.50832000475
43371.78068310637,43371.78068310637,37328.0777795893,44079.40467972076,66514.50832000475
44127.45188630067,44127.45188630067,38119.628206580426,44019.46666276265,66514.50832000475
44851.484792111274,44851.484792111274,39907.07494330794,43900.25260640068,66514.50832000475
46151.98730754245,46151.98730754245,41594.55472364078,43860.88745617184,66514.50832000475
45237.65188254977,45237.65188254977,43779.74515485882,43701.99660234506,66514.50832000475
46251.155891690796,46251.155891690796,44573.32249333565,43165.91882018165,66514.50832000475
47730.36328738094,47730.36328738094,45467.67038813464,43146.30130460509,66514.50832000475
46845.73214348831,46845.73214348831,45767.33612275065,42968.114210923675,66514.50832000475
48205.983822386705,48205.983822386705,45371.50697085295,42749.73057625104,66514.50832000475
47687.64275300287,47687.64275300287,46662.1312602174,42650.686905884395,66514.50832000475
47965.7598749959,47965.7598749959,47156.80313920129,42472.16663662381,66514.50832000475
48840.2484307588,48840.2484307588,47555.05299708569,42313.55897466845,66514.50832000475
48511.66223678754,48511.66223678754,47356.949810830185,42333.22004016322,66514.50832000475
49654.91897287712,49654.91897287712,46760.62075205811,42313.22077684184,66514.50832000475
49694.92881673223,49694.92881673223,45965.602810682285,42154.78144132756,66514.50832000475
50410.22505266426,50410.22505266426,46364.23791420388,42095.5602583302,66514.50832000475
50041.6415721494,50041.6415721494,46264.39093447648,42293.66712138446,66514.50832000475
