Average Episodic Reward,Average Episodic N-Reward
2970.483486048474,2970.483486048474
3288.471226642792,3288.471226642792
2851.033215822143,2851.033215822143
2969.6179831021727,2969.6179831021727
3157.8077091116447,3157.8077091116447
3040.8778231849633,3040.8778231849633
3187.7391585712985,3187.7391585712985
3088.094561854389,3088.094561854389
3068.9178048316335,3068.9178048316335
2999.608429309494,2999.608429309494
3127.9740639249567,3127.9740639249567
3107.902550314327,3107.902550314327
2920.2452943238236,2920.2452943238236
3010.9746093954564,3010.9746093954564
3000.0942770164747,3000.0942770164747
3079.685405594917,3079.685405594917
3128.5235309839377,3128.5235309839377
3238.9757095512905,3238.9757095512905
2910.7277701501525,2910.7277701501525
3039.014557685822,3039.014557685822
3029.5304439212196,3029.5304439212196
2941.443822065716,2941.443822065716
3089.62743503006,3089.62743503006
2849.3658137538123,2849.3658137538123
3100.420201976081,3100.420201976081
15882.998292779599,15882.998292779599
16123.398832902769,16123.398832902769
15583.679274898253,15583.679274898253
16775.710910560236,16775.710910560236
16339.779777347516,16339.779777347516
16192.325764774012,16192.325764774012
16024.65916686688,16024.65916686688
15834.288910293295,15834.288910293295
16410.371635634325,16410.371635634325
16094.620582966854,16094.620582966854
15884.253245590788,15884.253245590788
16203.22415267742,16203.22415267742
16089.185327580564,16089.185327580564
15854.772719578335,15854.772719578335
16119.382549626149,16119.382549626149
16776.98565977728,16776.98565977728
16082.616289877024,16082.616289877024
16824.786385340492,16824.786385340492
16320.832398491308,16320.832398491308
16537.994192561735,16537.994192561735
16359.513270797217,16359.513270797217
16796.143544223625,16796.143544223625
16371.224580864191,16371.224580864191
16768.006519146857,16768.006519146857
16675.673381507007,16675.673381507007
17343.07631697839,17343.07631697839
17768.525326304898,17768.525326304898
17838.95668031713,17838.95668031713
18939.059767095692,18939.059767095692
18564.476736564407,18564.476736564407
18680.43804513316,18680.43804513316
19029.71911291306,19029.71911291306
19545.541709008412,19545.541709008412
19634.775684037493,19634.775684037493
19970.36665065646,19970.36665065646
20604.96880080202,20604.96880080202
21846.016307960268,21846.016307960268
22233.6797922534,22233.6797922534
22251.941543977486,22251.941543977486
22043.33306955051,22043.33306955051
22678.598684536082,22678.598684536082
22968.002945104985,22968.002945104985
22490.97864271714,22490.97864271714
23316.85139827377,23316.85139827377
23948.240516877944,23948.240516877944
24020.043251257433,24020.043251257433
24289.236783684166,24289.236783684166
23931.077341894066,23931.077341894066
24484.018185488112,24484.018185488112
24060.803907893398,24060.803907893398
25022.1030521476,25022.1030521476
24325.396809513903,24325.396809513903
23692.348541843567,23692.348541843567
24378.424496748434,24378.424496748434
24260.21246971554,24260.21246971554
24157.806820836504,24157.806820836504
23780.755029374268,23780.755029374268
24754.593682840252,24754.593682840252
24286.30789862167,24286.30789862167
24637.291557586126,24637.291557586126
24508.780452709278,24508.780452709278
25470.50576792476,25470.50576792476
24910.44669475757,24910.44669475757
24813.870883177566,24813.870883177566
24496.30062311023,24496.30062311023
24821.13635254736,24821.13635254736
24129.613216411723,24129.613216411723
25022.50734371406,25022.50734371406
25043.502231672595,25043.502231672595
24873.124961159338,24873.124961159338
25258.82389004199,25258.82389004199
25102.24710724385,25102.24710724385
25376.998772251965,25376.998772251965
25180.316246452647,25180.316246452647
24671.949555179075,24671.949555179075
25030.33957285206,25030.33957285206
24904.75488929204,24904.75488929204
25351.2486056518,25351.2486056518
25060.92220908864,25060.92220908864
24931.691270321364,24931.691270321364
25108.634948906885,25108.634948906885
24853.973987736274,24853.973987736274
25241.021121577076,25241.021121577076
25609.00971293116,25609.00971293116
25060.686353151108,25060.686353151108
24723.326651821644,24723.326651821644
25518.904197810687,25518.904197810687
25358.46612786868,25358.46612786868
25425.480415475005,25425.480415475005
25328.503555372678,25328.503555372678
25386.36395041079,25386.36395041079
24862.10526567975,24862.10526567975
25337.10549719438,25337.10549719438
25079.82474016526,25079.82474016526
25228.007624210237,25228.007624210237
25120.164433188987,25120.164433188987
25326.499627324218,25326.499627324218
25088.373987036226,25088.373987036226
24989.494881121776,24989.494881121776
25188.296796163297,25188.296796163297
24454.149945904715,24454.149945904715
24693.081708534664,24693.081708534664
24851.760118396684,24851.760118396684
25646.912481777035,25646.912481777035
24790.486999247074,24790.486999247074
24446.64719272925,24446.64719272925
24602.975703007305,24602.975703007305
24405.233351677856,24405.233351677856
24763.86698355092,24763.86698355092
25100.088185513145,25100.088185513145
24707.99465183076,24707.99465183076
25207.138909249505,25207.138909249505
24692.913046419053,24692.913046419053
24602.805383986826,24602.805383986826
25087.955610723802,25087.955610723802
25457.81515675096,25457.81515675096
25666.47729972815,25666.47729972815
24911.776354655456,24911.776354655456
25238.94793882941,25238.94793882941
24871.804332149724,24871.804332149724
24981.377700905978,24981.377700905978
24454.308867122174,24454.308867122174
24693.17473677956,24693.17473677956
24641.657436447273,24641.657436447273
24275.066552874472,24275.066552874472
25416.572445149362,25416.572445149362
24769.492518177372,24769.492518177372
24948.02618223643,24948.02618223643
24882.111902206194,24882.111902206194
24973.711884550965,24973.711884550965
24805.069368671695,24805.069368671695
24582.761599453133,24582.761599453133
24113.676389652697,24113.676389652697
24374.674636105356,24374.674636105356
24226.839690202596,24226.839690202596
24992.538929414248,24992.538929414248
24822.549828864536,24822.549828864536
24643.15884569961,24643.15884569961
24681.60895973698,24681.60895973698
24960.300363452676,24960.300363452676
24633.34042805885,24633.34042805885
24551.37763173253,24551.37763173253
24336.661393826987,24336.661393826987
24068.37570812232,24068.37570812232
25305.49945783629,25305.49945783629
24253.68442047951,24253.68442047951
25037.45555832889,25037.45555832889
25156.784445388996,25156.784445388996
24454.92960546627,24454.92960546627
24773.461615022523,24773.461615022523
24793.94467706592,24793.94467706592
24394.627056980677,24394.627056980677
24848.85557982256,24848.85557982256
24772.739623109694,24772.739623109694
24691.60421590145,24691.60421590145
24543.503706566495,24543.503706566495
24136.064165861066,24136.064165861066
24771.267776019224,24771.267776019224
24254.067008945298,24254.067008945298
24831.778784468897,24831.778784468897
25077.273352212324,25077.273352212324
24723.472295994306,24723.472295994306
24771.51318741783,24771.51318741783
25001.030636693147,25001.030636693147
24502.745789311593,24502.745789311593
24910.01462808161,24910.01462808161
24661.118301609647,24661.118301609647
24763.527248148013,24763.527248148013
24701.78333210569,24701.78333210569
24502.005823808096,24502.005823808096
24741.315438647976,24741.315438647976
25087.891788164517,25087.891788164517
24691.594057106213,24691.594057106213
24006.183399148602,24006.183399148602
24112.95933350753,24112.95933350753
23879.131634992096,23879.131634992096
24451.801503623974,24451.801503623974
24312.646986000036,24312.646986000036
24434.608389308316,24434.608389308316
24809.159980824235,24809.159980824235
25144.86037441185,25144.86037441185
24184.17130931512,24184.17130931512
24700.66536601207,24700.66536601207
25128.58029191411,25128.58029191411
24827.669284461794,24827.669284461794
24683.785560677778,24683.785560677778
24752.3789465595,24752.3789465595
25108.417933057914,25108.417933057914
24714.624005454905,24714.624005454905
25020.23771781083,25020.23771781083
24373.268575818165,24373.268575818165
24294.711414073314,24294.711414073314
24658.3737700545,24658.3737700545
24604.724230286287,24604.724230286287
24789.15365672923,24789.15365672923
24482.44509528497,24482.44509528497
24981.780415579284,24981.780415579284
25188.80113752231,25188.80113752231
24769.79878408866,24769.79878408866
25287.93560112118,25287.93560112118
25056.41930581869,25056.41930581869
24673.316198905846,24673.316198905846
25266.49004961751,25266.49004961751
25138.118812838788,25138.118812838788
24931.514066483873,24931.514066483873
25197.519352952222,25197.519352952222
25197.420757144708,25197.420757144708
24778.4260914443,24778.4260914443
24994.996178995912,24994.996178995912
24602.74445742898,24602.74445742898
25026.94002142016,25026.94002142016
25056.90946931184,25056.90946931184
25608.030244311372,25608.030244311372
24561.867086106926,24561.867086106926
24603.67250243223,24603.67250243223
25137.995379986125,25137.995379986125
25397.55555136505,25397.55555136505
25179.762145715235,25179.762145715235
25101.4876760208,25101.4876760208
24750.152188588705,24750.152188588705
25854.947291420496,25854.947291420496
25164.41447610089,25164.41447610089
24908.569478111178,24908.569478111178
24759.129402038652,24759.129402038652
25119.402403925167,25119.402403925167
24789.35440846087,24789.35440846087
25524.024699498197,25524.024699498197
25428.26947381905,25428.26947381905
25282.360946182554,25282.360946182554
25170.08185085649,25170.08185085649
25206.82066558681,25206.82066558681
24762.374182657673,24762.374182657673
25477.57275845052,25477.57275845052
25128.58426520837,25128.58426520837
25353.81554905192,25353.81554905192
25298.745696119266,25298.745696119266
25077.89611013782,25077.89611013782
25226.288435886196,25226.288435886196
25237.410915313583,25237.410915313583
25545.72948255658,25545.72948255658
25626.186142080103,25626.186142080103
25516.76516505592,25516.76516505592
25427.070821183872,25427.070821183872
25376.206377277827,25376.206377277827
25602.429409503366,25602.429409503366
25436.285095164785,25436.285095164785
25722.990887479606,25722.990887479606
26060.037472037344,26060.037472037344
25129.448137700972,25129.448137700972
25866.29999378856,25866.29999378856
25756.668978016976,25756.668978016976
25481.17015854082,25481.17015854082
25933.623149911222,25933.623149911222
25543.224026178013,25543.224026178013
25673.958767714295,25673.958767714295
25902.492376943548,25902.492376943548
27011.548732939864,27011.548732939864
26447.75572544419,26447.75572544419
26062.121121272085,26062.121121272085
25992.24789946623,25992.24789946623
25931.522510646788,25931.522510646788
26448.457127018937,26448.457127018937
26686.50989377855,26686.50989377855
26396.34227253572,26396.34227253572
27309.674577639467,27309.674577639467
26368.050594128574,26368.050594128574
26252.558909978863,26252.558909978863
26983.096044942653,26983.096044942653
26811.79632029634,26811.79632029634
26685.690885404663,26685.690885404663
25911.723432435872,25911.723432435872
26757.202135451636,26757.202135451636
26983.66498742168,26983.66498742168
27097.616601756337,27097.616601756337
26875.833449931888,26875.833449931888
27221.2372943517,27221.2372943517
26754.819149155603,26754.819149155603
26949.814776907464,26949.814776907464
27420.645170687443,27420.645170687443
27092.171213342357,27092.171213342357
27383.144061431205,27383.144061431205
27459.835696565704,27459.835696565704
26974.12576593198,26974.12576593198
27389.542950749692,27389.542950749692
27286.7750846234,27286.7750846234
26905.11595993131,26905.11595993131
27322.51173873811,27322.51173873811
28074.63163650927,28074.63163650927
27710.81616580184,27710.81616580184
28052.998465680914,28052.998465680914
27313.74431990503,27313.74431990503
27520.76694079314,27520.76694079314
27059.201904035584,27059.201904035584
27330.519644193115,27330.519644193115
27628.226487601853,27628.226487601853
27239.363923985118,27239.363923985118
27848.188437837685,27848.188437837685
27479.82312028514,27479.82312028514
28117.06513497395,28117.06513497395
27460.6314683107,27460.6314683107
27819.679530472124,27819.679530472124
27823.83460179124,27823.83460179124
27600.885176988613,27600.885176988613
27608.947868515985,27608.947868515985
28263.319811674468,28263.319811674468
27938.091688521454,27938.091688521454
28036.73448800763,28036.73448800763
27875.796518338546,27875.796518338546
