Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-525.6989019316779,-525.6989019316779,-599.2878218078913,-599.2878218078913,-599.2878218078913
-497.65352941536673,-497.65352941536673,-586.4387219928681,-586.4387219928681,-573.5896221778448
-543.1016216088083,-543.1016216088083,-584.0116422606444,-584.0116422606444,-573.5896221778448
-518.4588914885635,-518.4588914885635,-581.5685858076066,-581.5685858076066,-573.5896221778448
Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
56809.976418376966,56809.976418376966,69472.0283711379,69472.0283711379,69472.0283711379
56920.9827725454,56920.9827725454,64505.33364771491,64505.33364771491,69472.0283711379
57823.896664927255,57823.896664927255,62859.94573121343,62859.94573121343,69472.0283711379
58142.70979353898,58142.70979353898,64512.87298278719,64512.87298278719,69472.0283711379
56523.74210811224,56523.74210811224,63519.6038892696,63519.6038892696,69472.0283711379
56711.920217547144,56711.920217547144,63187.852992718545,63187.852992718545,69472.0283711379
58120.70790234031,58120.70790234031,62665.98784473252,62665.98784473252,69472.0283711379
56898.766496555276,56898.766496555276,63516.69620632951,63516.69620632951,69472.0283711379
56611.23174883581,56611.23174883581,63076.04853945457,63076.04853945457,69472.0283711379
55789.89635912714,55789.89635912714,63715.48823491228,63715.48823491228,69472.0283711379
55370.18477380282,55370.18477380282,60738.460603736225,61532.42130986364,69472.0283711379
57684.95288801874,57684.95288801874,60741.43736084875,61368.75340865977,69472.0283711379
58519.12849692877,58519.12849692877,60739.17312254764,61228.582186085885,69472.0283711379
56414.388193722116,56414.388193722116,59746.66040031672,61108.4354238797,69472.0283711379
57722.97790581278,57722.97790581278,59749.041559452904,61005.8956693918,69472.0283711379
55710.09946150716,55710.09946150716,59553.165619112704,60916.17338421489,69472.0283711379
54954.960041137965,54954.960041137965,58165.96218641766,60018.91392807672,69472.0283711379
57597.02726742954,57597.02726742954,57174.21834324162,59993.097393502896,69472.0283711379
55838.99495716374,55838.99495716374,57173.782865900386,59969.592921794465,69472.0283711379
55847.503932549145,55847.503932549145,56383.01864955431,60049.25344223329,69472.0283711379
55650.75172407833,55650.75172407833,57374.01277840902,59552.22677107572,69472.0283711379
56591.47979711401,56591.47979711401,56380.30314236679,59101.27601489022,69472.0283711379
58736.44645468012,58736.44645468012,56382.684301502966,59121.67006235418,69472.0283711379
57216.65427065725,57216.65427065725,57375.19702373389,59552.91942381896,69472.0283711379
58527.449659298276,58527.449659298276,57375.31600395012,59553.66380321514,69472.0283711379
67480.47451227291,67480.47451227291,57769.366154170326,59705.86291112083,69472.0283711379
72453.1403766587,72453.1403766587,60351.59519572575,60142.12921239118,71485.0530454202
73126.86312596274,73126.86312596274,63331.270916033434,61185.30222297809,89350.97350882483
70437.78578965882,70437.78578965882,64424.98813441533,61505.93609856029,89350.97350882483
70973.53738808456,70973.53738808456,65714.23772269678,61937.581535721125,89350.97350882483
70895.00974639623,70895.00974639623,66610.92875925974,61829.22741242542,89350.97350882483
71975.5973864544,71975.5973864544,68198.55007446792,61944.174158508264,89350.97350882483
72741.14588628052,72741.14588628052,70481.03717442098,62563.90252055625,89350.97350882483
75498.14704277419,75498.14704277419,70781.75905479198,62855.51931528161,89350.97350882483
76453.17689898665,76453.17689898665,72764.04518282831,63328.05848310461,89350.97350882483
73019.58485916465,73019.58485916465,73262.1496958961,63471.498129113956,89350.97350882483
69604.4879884402,69604.4879884402,73160.66644730241,63660.65278939421,89350.97350882483
69167.78206990083,69167.78206990083,71174.41378635733,63814.01579228841,89350.97350882483
67720.39347331692,67720.39347331692,70973.33814437789,63933.47508466737,89350.97350882483
60077.135998545906,60077.135998545906,69584.14291228309,63849.22187986162,89350.97350882483
59561.499217115386,59561.499217115386,69781.17577446575,63768.72701292305,89350.97350882483
59561.499217115386,59561.499217115386,69186.32391345818,63668.495528734435,89350.97350882483
59551.4724199876,59551.4724199876,66902.19167710753,63572.80697556818,89350.97350882483
59530.82803268796,59530.82803268796,65608.68452270291,63481.238680604634,89350.97350882483
59332.13372730673,59332.13372730673,63626.75600019975,63394.435709125755,89350.97350882483
58666.79099118361,58666.79099118361,62730.424394066235,63310.39514323402,89350.97350882483
55769.582042771595,55769.582042771595,61341.05693952887,63167.12175750797,89350.97350882483
50507.645408323406,50507.645408323406,59454.01722193236,62905.68275679756,89350.97350882483
58558.60542739163,58558.60542739163,57969.43179672571,62716.32339325069,89350.97350882483
59561.49947925957,59561.49947925957,57868.98166406494,62653.17383670228,89350.97350882483
59561.49947925957,59561.49947925957,57768.851598213645,62454.68590281687,89350.97350882483
59561.49947925957,59561.49947925957,57770.03697531451,62455.33029329122,89350.97350882483
56124.25904598767,56124.25904598767,57770.41369500591,62455.099994117,89350.97350882483
49634.802886966885,49634.802886966885,57176.842351831474,62137.82867067539,89350.97350882483
49634.802886966885,49634.802886966885,56183.20196591881,61939.672142469964,89350.97350882483
49634.802886966885,49634.802886966885,55194.38932313233,61701.899037275536,89350.97350882483
49634.802886966885,49634.802886966885,54499.936502306235,61503.843454256166,89350.97350882483
49634.802886966885,49634.802886966885,54403.03492997688,61107.39103950832,89350.97350882483
49634.802886966885,49634.802886966885,54003.31622697807,60908.97143367948,89350.97350882483
49634.802886966885,49634.802886966885,53009.291677453264,60511.93452521048,89350.97350882483
49535.822149936466,49535.822149936466,52016.021766955564,60710.19813546075,89350.97350882483
49050.2789448163,49050.2789448163,51023.37689191307,60511.718199504096,89350.97350882483
47618.74578963019,47618.74578963019,49436.17873200461,60194.5011160084,89350.97350882483
44035.60040171973,44035.60040171973,49038.93131848619,59996.282854309284,89350.97350882483
40056.31396000823,40056.31396000823,48045.365207407165,59598.93687206082,89350.97350882483
39710.1400938828,39710.1400938828,47051.67471545295,59201.600856543584,89350.97350882483
39710.1400938828,39710.1400938828,46059.98291993326,59082.647600959295,89350.97350882483
39710.1400938828,39710.1400938828,45065.89087218884,58685.725545297755,89350.97350882483
39710.1400938828,39710.1400938828,44073.247423291534,58288.86434515771,89350.97350882483
39710.1400938828,39710.1400938828,43081.70891534198,57851.672578368016,89350.97350882483
39710.1400938828,39710.1400938828,42091.15003904247,57653.625587587434,89350.97350882483
39710.1400938828,39710.1400938828,41097.58623089478,57455.17481720969,89350.97350882483
39710.1400938828,39710.1400938828,40700.363234499586,57058.03690260774,89350.97350882483
39710.1400938828,39710.1400938828,39708.28588034945,56462.90062563241,89350.97350882483
39710.1400938828,39710.1400938828,39707.34984053757,56065.34363937831,89350.97350882483
39710.1400938828,39710.1400938828,39707.26966025916,55589.18155776136,89350.97350882483
39710.1400938828,39710.1400938828,39706.63371426276,54953.65530466671,89350.97350882483
39710.1400938828,39710.1400938828,39706.003310284344,53960.67202414795,89350.97350882483
39710.1400938828,39710.1400938828,39706.55724424879,53345.17816712439,89350.97350882483
39710.1400938828,39710.1400938828,39707.059719338904,52650.23697769645,89350.97350882483
39710.1400938828,39710.1400938828,39707.11327768101,52272.862491271684,89350.97350882483
39710.1400938828,39710.1400938828,39706.267386857464,51756.7182796876,89350.97350882483
39710.1400938828,39710.1400938828,39704.35668578035,50902.70080487961,89350.97350882483
39710.1400938828,39710.1400938828,39703.07594844367,50247.164004362756,89350.97350882483
39710.1400938828,39710.1400938828,39703.62795426411,49453.26019366549,89350.97350882483
39710.1400938828,39710.1400938828,39703.792786347396,48877.51017585163,89350.97350882483
39710.1400938828,39710.1400938828,39702.19378064088,48261.960771334394,89350.97350882483
39710.1400938828,39710.1400938828,39701.90248873417,47666.169764623315,89350.97350882483
39710.1400938828,39710.1400938828,39702.95986449405,47091.102511147634,89350.97350882483
39710.1400938828,39710.1400938828,39702.381637253195,46673.88472269046,89350.97350882483
39710.1400938828,39710.1400938828,39701.48175064795,46256.923686508126,89350.97350882483
39710.1400938828,39710.1400938828,39702.148026049035,45859.88310220577,89350.97350882483
39710.1400938828,39710.1400938828,39704.16135269458,45463.09473999702,89350.97350882483
39710.1400938828,39710.1400938828,39705.695684588485,45066.566236739855,89350.97350882483
39710.1400938828,39710.1400938828,39706.601051712205,44669.229203967974,89350.97350882483
39710.1400938828,39710.1400938828,39708.10214276643,44273.045725591655,89350.97350882483
39710.1400938828,39710.1400938828,39707.973188259544,43935.344021080535,89350.97350882483
39710.1400938828,39710.1400938828,39709.04772002759,43717.175864242374,89350.97350882483
39710.1400938828,39710.1400938828,39707.073018200295,43438.63075544255,89350.97350882483
39710.1400938828,39710.1400938828,39707.73082584871,43041.63455504721,89350.97350882483
39710.1400938828,39710.1400938828,39708.18087704426,42644.78954227425,89350.97350882483
39710.1400938828,39710.1400938828,39708.04362273331,42247.48443168953,89350.97350882483
39710.1400938828,39710.1400938828,39707.2544019709,41850.46288139001,89350.97350882483
39710.1400938828,39710.1400938828,39705.22389666932,41572.24254570743,89350.97350882483
39710.1400938828,39710.1400938828,39705.016973465594,41373.592205477325,89350.97350882483
39710.1400938828,39710.1400938828,39703.828803853256,41174.933621735836,89350.97350882483
39710.1400938828,39710.1400938828,39705.385411836025,40976.43380298649,89350.97350882483
39710.1400938828,39710.1400938828,39705.079797096056,40777.5848376662,89350.97350882483
39710.1400938828,39710.1400938828,39705.62037438655,40579.09158492424,89350.97350882483
39710.1400938828,39710.1400938828,39705.31281705599,40380.83878296776,89350.97350882483
39710.1400938828,39710.1400938828,39705.67920026257,40182.72102893566,89350.97350882483
39710.1400938828,39710.1400938828,39706.80774858249,39984.17060302341,89350.97350882483
39710.1400938828,39710.1400938828,39706.701028591735,39904.56734070743,89350.97350882483
39710.1400938828,39710.1400938828,39708.50268048026,39706.15681810623,89350.97350882483
39710.1400938828,39710.1400938828,39707.500500680224,39706.019264131945,89350.97350882483
39710.1400938828,39710.1400938828,39706.98628129302,39705.995934903855,89350.97350882483
39710.1400938828,39710.1400938828,39708.05775802853,39706.04877060556,89350.97350882483
39710.1400938828,39710.1400938828,39707.32825809663,39705.87231484776,89350.97350882483
39710.1400938828,39710.1400938828,39707.70792254435,39705.98368477481,89350.97350882483
39710.1400938828,39710.1400938828,39707.99051932835,39706.09510376503,89350.97350882483
39710.1400938828,39710.1400938828,39707.59137161577,39706.00929545031,89350.97350882483
39710.1400938828,39710.1400938828,39705.69265133696,39705.79188711185,89350.97350882483
39710.1400938828,39710.1400938828,39705.685242060965,39705.63174221971,89350.97350882483
39710.1400938828,39710.1400938828,39704.71810976287,39705.44326398892,89350.97350882483
39710.1400938828,39710.1400938828,39706.145087528435,39705.778313530114,89350.97350882483
39710.1400938828,39710.1400938828,39707.584387726776,39706.05888039737,89350.97350882483
39710.1400938828,39710.1400938828,39706.98545703481,39706.119119159965,89350.97350882483
39710.1400938828,39710.1400938828,39707.72671137266,39706.21699506543,89350.97350882483
39710.1400938828,39710.1400938828,39707.91155214247,39706.25454635354,89350.97350882483
39710.1400938828,39710.1400938828,39706.60775039356,39706.004709975954,89350.97350882483
39710.1400938828,39710.1400938828,39707.341492530155,39706.054938420144,89350.97350882483
39710.1400938828,39710.1400938828,39708.1868385056,39706.17577744148,89350.97350882483
39710.1400938828,39710.1400938828,39708.57374880776,39706.47515482519,89350.97350882483
39710.1400938828,39710.1400938828,39709.09270978976,39706.64661625814,89350.97350882483
39710.1400938828,39710.1400938828,39708.852930591835,39706.82330879566,89350.97350882483
39710.1400938828,39710.1400938828,39709.266124522816,39707.15354803247,89350.97350882483
39710.1400938828,39710.1400938828,39709.00168156105,39707.480699344,89350.97350882483
39710.1400938828,39710.1400938828,39709.087321596,39707.65396163779,89350.97350882483
39710.1400938828,39710.1400938828,39707.076975039825,39707.0779684627,89350.97350882483
39710.1400938828,39710.1400938828,39708.2326553453,39707.17491359438,89350.97350882483
39710.1400938828,39710.1400938828,39706.89398572811,39707.13738543618,89350.97350882483
39710.1400938828,39710.1400938828,39706.33765014285,39707.01370226024,89350.97350882483
39710.1400938828,39710.1400938828,39706.66708000944,39706.97630028816,89350.97350882483
39710.1400938828,39710.1400938828,39707.264268955885,39706.960333131625,89350.97350882483
39710.1400938828,39710.1400938828,39707.80203844042,39707.063506141305,89350.97350882483
39710.1400938828,39710.1400938828,39705.343621790744,39706.60184383732,89350.97350882483
39710.1400938828,39710.1400938828,39705.00357136763,39706.88677596561,89350.97350882483
