epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,18845.812255219033,18845.812255219033,18845.812255219033,0.0,1,2025-08-05T10:38:28.555477
1,23853.709088221985,23853.709088221985,23853.709088221985,0.0,1,2025-08-05T10:38:33.847340
2,25811.819876035883,25811.819876035883,25811.819876035883,0.0,1,2025-08-05T10:38:39.088260
3,28776.34581537565,28776.34581537565,28776.34581537565,0.0,1,2025-08-05T10:38:44.336114
4,27778.754331350796,27778.754331350796,27778.754331350796,0.0,1,2025-08-05T10:38:49.570864
5,26809.411360060734,26809.411360060734,26809.411360060734,0.0,1,2025-08-05T10:38:54.773038
6,25820.6435435369,25820.6435435369,25820.6435435369,0.0,1,2025-08-05T10:39:00.032993
7,28776.34581537565,28776.34581537565,28776.34581537565,0.0,1,2025-08-05T10:39:05.324082
8,29765.113631899487,29765.113631899487,29765.113631899487,0.0,1,2025-08-05T10:39:10.663987
9,25820.6435435369,25820.6435435369,25820.6435435369,0.0,1,2025-08-05T10:39:15.959922
10,25820.6435435369,25820.6435435369,25820.6435435369,0.0,1,2025-08-05T10:39:21.519151
11,25820.6435435369,25820.6435435369,25820.6435435369,0.0,1,2025-08-05T10:39:26.836944
12,24837.176315879442,24837.176315879442,24837.176315879442,0.0,1,2025-08-05T10:39:32.143692
13,24837.176315879442,24837.176315879442,24837.176315879442,0.0,1,2025-08-05T10:39:37.453127
14,26804.110771194355,26804.110771194355,26804.110771194355,0.0,1,2025-08-05T10:39:42.763079
15,24837.176315879442,24837.176315879442,24837.176315879442,0.0,1,2025-08-05T10:39:47.930767
16,25820.6435435369,25820.6435435369,25820.6435435369,0.0,1,2025-08-05T10:39:53.025815
17,27787.57799885181,27787.57799885181,27787.57799885181,0.0,1,2025-08-05T10:39:58.108965
18,26804.110771194355,26804.110771194355,26804.110771194355,0.0,1,2025-08-05T10:40:03.198206
19,26800.58769255972,26800.58769255972,26800.58769255972,0.0,1,2025-08-05T10:40:08.311697
20,26809.411360060734,26809.411360060734,26809.411360060734,0.0,1,2025-08-05T10:40:13.697483
21,25825.944132403278,25825.944132403278,25825.944132403278,0.0,1,2025-08-05T10:40:18.782273
22,25820.6435435369,25820.6435435369,25820.6435435369,0.0,1,2025-08-05T10:40:23.872130
23,27787.57799885181,27787.57799885181,27787.57799885181,0.0,1,2025-08-05T10:40:29.023103
24,27787.57799885181,27787.57799885181,27787.57799885181,0.0,1,2025-08-05T10:40:34.130051
