Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-289.4964414669962,-289.4964414669962,-239.32438392794472,-239.32438392794472,-239.32438392794472
-288.91341552223713,-288.91341552223713,-258.94104159286064,-258.94104159286064,-239.32438392794472
-275.71872999208176,-275.71872999208176,-235.68641760254937,-235.68641760254937,-189.1771696219268
-284.1988329953612,-284.1988329953612,-217.86796425173787,-217.86796425173787,-164.4126041993034
-282.25013123668634,-282.25013123668634,-226.3899268721404,-226.3899268721404,-164.4126041993034
-283.55538160448555,-283.55538160448555,-235.4994908453059,-235.4994908453059,-164.4126041993034
-278.3513550556692,-278.3513550556692,-237.72472050720847,-237.72472050720847,-164.4126041993034
-289.91297445927387,-289.91297445927387,-249.92143565682628,-249.92143565682628,-164.4126041993034
-284.4235183832112,-284.4235183832112,-247.05645055712947,-247.05645055712947,-164.4126041993034
-281.4367490838937,-281.4367490838937,-255.29706525516667,-255.29706525516667,-164.4126041993034
-283.0304072374107,-283.0304072374107,-265.0726334810928,-262.7318835217157,-164.4126041993034
-287.7414900861204,-287.7414900861204,-270.15855149520064,-268.2889665114773,-164.4126041993034
-275.17499121757885,-275.17499121757885,-281.1596174244374,-270.6658020809248,-164.4126041993034
-280.8217478405266,-280.8217478405266,-284.7747577553367,-265.65853104002275,-164.4126041993034
-282.6922534217729,-282.6922534217729,-286.5681231815686,-266.5087244117592,-164.4126041993034
-280.25631475035215,-280.25631475035215,-279.114682370758,-262.75898554871344,-164.4126041993034
-292.7672489992876,-292.7672489992876,-283.339674253515,-264.55704624033,-164.4126041993034
-279.062404702903,-279.062404702903,-285.2013190413862,-269.5213708704707,-164.4126041993034
-280.0098918157734,-280.0098918157734,-293.88181545521184,-271.7013794508571,-164.4126041993034
-280.40249573208405,-280.40249573208405,-285.2553964921976,-270.27623087368215,-164.4126041993034
-283.56083270444697,-283.56083270444697,-269.1936238252907,-265.80890271389427,-164.4126041993034
-273.8842993307833,-273.8842993307833,-260.6710119327848,-264.8262598847989,-164.4126041993034
-282.36001905669053,-282.36001905669053,-262.24007790768667,-267.0024437447343,-164.4126041993034
-284.0400934617487,-284.0400934617487,-272.92789689216517,-268.6874334784154,-164.4126041993034
-278.0146649494171,-278.0146649494171,-267.68207658858523,-266.97806528248964,-164.4126041993034
-284.5293720528142,-284.5293720528142,-279.3593823490515,-269.14375354884345,-164.4126041993034
-248.9564552809447,-248.9564552809447,-280.57285774257633,-270.488828278199,-164.4126041993034
-224.35735318935951,-224.35735318935951,-270.33279082544334,-269.81116371153234,-164.4126041993034
-234.66291505181553,-234.66291505181553,-256.25215144238956,-266.3740594479372,-164.4126041993034
-217.64584467270015,-217.64584467270015,-251.2165521352528,-263.923004627539,-164.4126041993034
