Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-6.787663028315372,-6.787663028315372,0.0,0.0,0
-13.314289307643225,-13.314289307643225,-26.33184753955303,-26.33184753955303,0.0
-11.362792337367562,-11.362792337367562,-17.55456502636869,-17.55456502636869,0.0
-11.053187689184604,-11.053187689184604,-13.165923769776516,-13.165923769776516,0.0
-6.683861186029857,-6.683861186029857,-25.605792785384313,-25.605792785384313,0.0
-9.1315022038459,-9.1315022038459,-31.286129172694444,-31.286129172694444,0.0
-9.928032591766016,-9.928032591766016,-26.81668214802381,-26.81668214802381,0.0
-8.406951760604969,-8.406951760604969,-23.464596879520833,-23.464596879520833,0.0
-8.149876843785272,-8.149876843785272,-20.857419448462963,-20.857419448462963,0.0
-8.974955234829983,-8.974955234829983,-18.771677503616665,-18.771677503616665,0.0
-6.338204615897021,-6.338204615897021,-18.771677503616665,-17.065161366924244,0.0
-10.477011524505949,-10.477011524505949,-18.989546264182348,-20.213263143410796,0.0
-7.393239129606611,-7.393239129606611,-18.989546264182348,-18.65839674776381,0.0
-6.963267520940318,-6.963267520940318,-21.90780249293705,-19.410122857748323,0.0
-7.4499070113383326,-7.4499070113383326,-14.3712756081555,-18.11611466723177,0.0
-10.260059565490744,-10.260059565490744,-8.40249449723099,-16.983857500529787,0.0
-9.31335601676147,-9.31335601676147,-8.40249449723099,-15.984807059322153,0.0
-8.561994348531211,-8.561994348531211,-8.40249449723099,-15.096762222693144,0.0
-6.768788969444237,-6.768788969444237,-8.40249449723099,-14.302195789919821,0.0
-6.135148269312754,-6.135148269312754,-8.40249449723099,-13.58708600042383,0.0
-9.684048325611625,-9.684048325611625,-8.40249449723099,-12.940081905165552,0.0
-9.254594380519944,-9.254594380519944,-2.9182562287547023,-12.351896364021663,0.0
-8.16710388286112,-8.16710388286112,-2.9182562287547023,-11.814857391672895,0.0
-10.706383861666554,-10.706383861666554,0.0,-11.322571667019858,0.0
-10.872699760544108,-10.872699760544108,0.0,-10.869668800339063,0.0
-55.88587498543165,-55.88587498543165,0.0,-10.451604615710638,0.0
-66.98058166852893,-66.98058166852893,-5.538903829285707,-12.115954011160508,0.0
-95.18623803119088,-95.18623803119088,-11.138105708469926,-13.68295632475628,0.0
-103.05623792965079,-103.05623792965079,-19.69904107957708,-16.163176924284393,0.0
-88.99164322374169,-88.99164322374169,-34.702676047849955,-20.625616016232538,0.0
-87.71898359364585,-87.71898359364585,-38.8391796427746,-21.294629562458795,0.0
-88.78126205821387,-88.78126205821387,-44.78823509604249,-22.488252217778168,0.0
-82.45159935721928,-82.45159935721928,-51.499175306846325,-23.84040827505878,0.0
-84.09444325468036,-84.09444325468036,-55.551645821174205,-24.331122888829963,0.0
-77.13128204897932,-77.13128204897932,-61.7433033438376,-25.404992955624362,0.0
-80.63072897577807,-80.63072897577807,-67.32812103339087,-26.250636953955148,0.0
-81.38500326931205,-81.38500326931205,-65.31614845808815,-26.49438494276257,0.0
-80.02762715370321,-80.02762715370321,-65.2104721780294,-27.24282891772289,0.0
-76.83522978946945,-76.83522978946945,-66.46326010946414,-29.060634151253563,0.0
-84.97150084356309,-84.97150084356309,-54.96837942982755,-29.211306869631294,0.0
-88.42169624190518,-88.42169624190518,-65.97933529068357,-32.19333827665996,0.0
-77.90414510655047,-77.90414510655047,-70.43150182253841,-33.90331164748299,0.0
-78.11812889231898,-78.11812889231898,-68.89395918358261,-34.31797825378525,0.0
-77.6831166165097,-77.6831166165097,-68.77511617295501,-34.43203045340383,0.0
-81.44722012411134,-81.44722012411134,-65.91277795002172,-34.406722954379326,0.0
-78.80475231801216,-78.80475231801216,-65.68132690855592,-34.82252607452053,0.0
-85.84690007660278,-85.84690007660278,-67.27735534720362,-35.17161268838833,0.0
-77.67964371596611,-77.67964371596611,-70.37247345157814,-36.22817152894274,0.0
-86.14659655911456,-86.14659655911456,-77.90403781383033,-39.02867571504474,0.0
-82.26584207885831,-82.26584207885831,-79.75869263812196,-39.32078402332942,0.0
-89.01751419006264,-89.01751419006264,-68.67172654880059,-40.13288269662129,0.0
-85.10611096852614,-85.10611096852614,-61.93600414366864,-39.81270871103732,0.0
-83.24815555224883,-83.24815555224883,-61.6014755639168,-40.780482509456554,0.0
-80.56193717340646,-80.56193717340646,-67.86550986044719,-42.82001486950269,0.0
-83.44079882127703,-83.44079882127703,-75.18539311708379,-43.442550003819726,0.0
-82.31756418834524,-82.31756418834524,-78.81811222275414,-44.04601093238638,0.0
-79.17278157569616,-79.17278157569616,-76.7048110663564,-44.64794263963297,0.0
-78.37449411506768,-78.37449411506768,-71.72166934150648,-45.369043035362985,0.0
-82.65120914979934,-82.65120914979934,-70.96032894975255,-48.685832489971006,0.0
-78.88888279198657,-78.88888279198657,-70.0100710029305,-49.56846272319219,0.0
-87.23017602783735,-87.23017602783735,-78.85970665167879,-52.1504885262337,0.0
-78.91548664712117,-78.91548664712117,-80.1925887627518,-52.0533172107512,0.0
-56.43076702593983,-56.43076702593983,-81.11869014356603,-53.206311285333285,0.0
