Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-263.4405989240159,-263.4405989240159,-211.45760778035745,-211.45760778035745,-211.45760778035745
-260.9657996609418,-260.9657996609418,-201.06723865992365,-201.06723865992365,-190.67686953948987
-251.78423496171524,-251.78423496171524,-205.47137630934205,-205.47137630934205,-190.67686953948987
-264.3256138785792,-264.3256138785792,-237.68141859862808,-237.68141859862808,-190.67686953948987
-267.0276920256021,-267.0276920256021,-234.5032616979052,-234.5032616979052,-190.67686953948987
-262.1514939411762,-262.1514939411762,-235.06330691664186,-235.06330691664186,-190.67686953948987
-266.6874223263551,-266.6874223263551,-245.12904868145066,-245.12904868145066,-190.67686953948987
-262.1092030724712,-262.1092030724712,-242.11117936720552,-242.11117936720552,-190.67686953948987
-267.1537884013353,-267.1537884013353,-248.32527634506854,-248.32527634506854,-190.67686953948987
-261.4779920673618,-261.4779920673618,-239.70326136060567,-239.70326136060567,-162.10512650043964
-262.697771292988,-262.697771292988,-241.934255112071,-239.16365080918794,-162.10512650043964
-256.375204502168,-256.375204502168,-255.71178228934482,-246.60435835110798,-162.10512650043964
-264.05704996621427,-264.05704996621427,-267.1521526598484,-252.91812734819314,-162.10512650043964
-267.8357178701181,-267.8357178701181,-255.97676947901064,-250.74952637032993,-162.10512650043964
-261.9360924361683,-261.9360924361683,-256.44790314962097,-249.1330226657157,-162.10512650043964
-269.2208392018375,-269.2208392018375,-257.1012672794833,-248.83703214341773,-162.10512650043964
-262.4608288196773,-262.4608288196773,-254.2971231420152,-250.5220336582533,-162.10512650043964
-264.61194873315725,-264.61194873315725,-249.07946748085934,-245.98245054145764,-162.10512650043964
-265.4739003773718,-265.4739003773718,-241.92585934417372,-244.95716213407127,-162.10512650043964
-266.44018826033005,-266.44018826033005,-255.24954144178577,-247.47640140119574,-162.10512650043964
-261.2588118910637,-261.2588118910637,-261.4069816599407,-249.75571311907026,-162.10512650043964
-271.57881009709706,-271.57881009709706,-249.16927553735337,-247.77022979940136,-162.10512650043964
-270.6216053124743,-270.6216053124743,-245.83513475368787,-249.8385653505822,-162.10512650043964
-270.77044541954524,-270.77044541954524,-254.66649006067078,-252.38159457463863,-162.10512650043964
-260.5577470057715,-260.5577470057715,-264.10628562465973,-255.12232784929333,-162.10512650043964
-241.00004846548032,-241.00004846548032,-261.66691431016096,-253.7716022075498,-162.10512650043964
-188.27288499905725,-188.27288499905725,-252.86380345027334,-251.38935580344594,-162.10512650043964
-180.09831382001616,-180.09831382001616,-261.28118534288404,-251.44628439910997,-162.10512650043964
-180.9410654819429,-180.9410654819429,-257.88680335589254,-249.41565910711316,-162.10512650043964
-183.89325488661416,-183.89325488661416,-250.82758530014758,-248.5934627008464,-162.10512650043964
-187.49692324586192,-187.49692324586192,-242.18285198949042,-247.31285469017354,-162.10512650043964
-187.81850334697364,-187.81850334697364,-237.84933696373682,-244.6699507882562,-162.10512650043964
-176.13188296988784,-176.13188296988784,-226.91390158478197,-242.89169754276395,-162.10512650043964
-178.23428536696622,-178.23428536696622,-217.98877030142245,-242.26605802369272,-162.10512650043964
-183.86757635754358,-183.86757635754358,-211.25787885589375,-242.58962813689342,-162.10512650043964
-180.8139494618576,-180.8139494618576,-208.13627968325514,-241.09512372857904,-162.10512650043964
-180.09486429375988,-180.09486429375988,-203.7491161571104,-238.51361535849037,-145.57931403529867
-174.24955859343387,-174.24955859343387,-189.2474257668582,-235.07816370641208,-107.96645257951616
-175.4871998356566,-175.4871998356566,-191.48314946072318,-234.56116945419262,-107.96645257951616
-185.79387202552266,-185.79387202552266,-186.87327780591255,-233.1634164771129,-107.96645257951616
-185.40456603781058,-185.40456603781058,-182.72671861087673,-231.56013857327184,-107.96645257951616
-194.50411774059972,-194.50411774059972,-182.76284714700057,-229.93016420700482,-107.96645257951616
-204.67664260518671,-204.67664260518671,-183.8013609210877,-229.1497587935369,-107.96645257951616
