episode,timestamp,user_id,max_denoise_steps_available,qos_required,qos_achieved,memory_required,memory_achieved,g_max,g_achieved,latency_requirement,latency_achieved,denoising_steps_selected,total_system_penalty,constraints_satisfied
0,2025-08-29T18:06:57.174160,0,50,30.0,0,0,0,0,0,0,0,0,0,False
0,2025-08-29T18:06:57.174160,1,50,30.0,0,0,0,0,0,0,0,0,0,False
0,2025-08-29T18:06:57.174160,2,50,30.0,0,0,0,0,0,0,0,0,0,False
0,2025-08-29T18:06:57.174160,3,50,30.0,0,0,0,0,0,0,0,0,0,False
0,2025-08-29T18:06:57.174160,4,50,30.0,0,0,0,0,0,0,0,0,0,False
0,2025-08-29T18:06:57.174160,5,50,30.0,0,0,0,0,0,0,0,0,0,False
0,2025-08-29T18:06:57.174160,6,50,30.0,0,0,0,0,0,0,0,0,0,False
0,2025-08-29T18:06:57.174160,7,50,30.0,0,0,0,0,0,0,0,0,0,False
0,2025-08-29T18:06:57.174160,8,50,30.0,0,0,0,0,0,0,0,0,0,False
0,2025-08-29T18:06:57.174160,9,50,30.0,0,0,0,0,0,0,0,0,0,False
1,2025-08-29T18:07:04.167767,0,50,30.0,0,0,0,0,0,0,0,0,0,False
1,2025-08-29T18:07:04.167767,1,50,30.0,0,0,0,0,0,0,0,0,0,False
1,2025-08-29T18:07:04.167767,2,50,30.0,0,0,0,0,0,0,0,0,0,False
1,2025-08-29T18:07:04.167767,3,50,30.0,0,0,0,0,0,0,0,0,0,False
1,2025-08-29T18:07:04.167767,4,50,30.0,0,0,0,0,0,0,0,0,0,False
1,2025-08-29T18:07:04.167767,5,50,30.0,0,0,0,0,0,0,0,0,0,False
1,2025-08-29T18:07:04.167767,6,50,30.0,0,0,0,0,0,0,0,0,0,False
1,2025-08-29T18:07:04.167767,7,50,30.0,0,0,0,0,0,0,0,0,0,False
1,2025-08-29T18:07:04.167767,8,50,30.0,0,0,0,0,0,0,0,0,0,False
1,2025-08-29T18:07:04.167767,9,50,30.0,0,0,0,0,0,0,0,0,0,False
2,2025-08-29T18:07:07.938699,0,50,30.0,0,0,0,0,0,0,0,0,0,False
2,2025-08-29T18:07:07.938699,1,50,30.0,0,0,0,0,0,0,0,0,0,False
2,2025-08-29T18:07:07.938699,2,50,30.0,0,0,0,0,0,0,0,0,0,False
2,2025-08-29T18:07:07.938699,3,50,30.0,0,0,0,0,0,0,0,0,0,False
2,2025-08-29T18:07:07.938699,4,50,30.0,0,0,0,0,0,0,0,0,0,False
2,2025-08-29T18:07:07.938699,5,50,30.0,0,0,0,0,0,0,0,0,0,False
2,2025-08-29T18:07:07.938699,6,50,30.0,0,0,0,0,0,0,0,0,0,False
2,2025-08-29T18:07:07.938699,7,50,30.0,0,0,0,0,0,0,0,0,0,False
2,2025-08-29T18:07:07.938699,8,50,30.0,0,0,0,0,0,0,0,0,0,False
2,2025-08-29T18:07:07.938699,9,50,30.0,0,0,0,0,0,0,0,0,0,False
3,2025-08-29T18:07:11.707300,0,50,30.0,0,0,0,0,0,0,0,0,0,False
3,2025-08-29T18:07:11.707300,1,50,30.0,0,0,0,0,0,0,0,0,0,False
3,2025-08-29T18:07:11.707300,2,50,30.0,0,0,0,0,0,0,0,0,0,False
3,2025-08-29T18:07:11.707300,3,50,30.0,0,0,0,0,0,0,0,0,0,False
3,2025-08-29T18:07:11.707300,4,50,30.0,0,0,0,0,0,0,0,0,0,False
3,2025-08-29T18:07:11.707300,5,50,30.0,0,0,0,0,0,0,0,0,0,False
3,2025-08-29T18:07:11.707300,6,50,30.0,0,0,0,0,0,0,0,0,0,False
3,2025-08-29T18:07:11.707300,7,50,30.0,0,0,0,0,0,0,0,0,0,False
3,2025-08-29T18:07:11.707300,8,50,30.0,0,0,0,0,0,0,0,0,0,False
3,2025-08-29T18:07:11.707300,9,50,30.0,0,0,0,0,0,0,0,0,0,False
4,2025-08-29T18:07:15.483394,0,50,30.0,0,0,0,0,0,0,0,0,0,False
4,2025-08-29T18:07:15.483394,1,50,30.0,0,0,0,0,0,0,0,0,0,False
4,2025-08-29T18:07:15.483394,2,50,30.0,0,0,0,0,0,0,0,0,0,False
4,2025-08-29T18:07:15.483394,3,50,30.0,0,0,0,0,0,0,0,0,0,False
4,2025-08-29T18:07:15.483394,4,50,30.0,0,0,0,0,0,0,0,0,0,False
4,2025-08-29T18:07:15.483394,5,50,30.0,0,0,0,0,0,0,0,0,0,False
4,2025-08-29T18:07:15.483394,6,50,30.0,0,0,0,0,0,0,0,0,0,False
4,2025-08-29T18:07:15.483394,7,50,30.0,0,0,0,0,0,0,0,0,0,False
4,2025-08-29T18:07:15.483394,8,50,30.0,0,0,0,0,0,0,0,0,0,False
4,2025-08-29T18:07:15.483394,9,50,30.0,0,0,0,0,0,0,0,0,0,False
5,2025-08-29T18:07:19.263252,0,50,30.0,0,0,0,0,0,0,0,0,0,False
5,2025-08-29T18:07:19.263252,1,50,30.0,0,0,0,0,0,0,0,0,0,False
5,2025-08-29T18:07:19.263252,2,50,30.0,0,0,0,0,0,0,0,0,0,False
5,2025-08-29T18:07:19.263252,3,50,30.0,0,0,0,0,0,0,0,0,0,False
5,2025-08-29T18:07:19.263252,4,50,30.0,0,0,0,0,0,0,0,0,0,False
5,2025-08-29T18:07:19.263252,5,50,30.0,0,0,0,0,0,0,0,0,0,False
5,2025-08-29T18:07:19.263252,6,50,30.0,0,0,0,0,0,0,0,0,0,False
5,2025-08-29T18:07:19.263252,7,50,30.0,0,0,0,0,0,0,0,0,0,False
5,2025-08-29T18:07:19.263252,8,50,30.0,0,0,0,0,0,0,0,0,0,False
5,2025-08-29T18:07:19.263252,9,50,30.0,0,0,0,0,0,0,0,0,0,False
6,2025-08-29T18:07:23.032031,0,50,30.0,0,0,0,0,0,0,0,0,0,False
6,2025-08-29T18:07:23.032031,1,50,30.0,0,0,0,0,0,0,0,0,0,False
6,2025-08-29T18:07:23.032031,2,50,30.0,0,0,0,0,0,0,0,0,0,False
6,2025-08-29T18:07:23.032031,3,50,30.0,0,0,0,0,0,0,0,0,0,False
6,2025-08-29T18:07:23.032031,4,50,30.0,0,0,0,0,0,0,0,0,0,False
6,2025-08-29T18:07:23.032031,5,50,30.0,0,0,0,0,0,0,0,0,0,False
6,2025-08-29T18:07:23.032031,6,50,30.0,0,0,0,0,0,0,0,0,0,False
6,2025-08-29T18:07:23.032031,7,50,30.0,0,0,0,0,0,0,0,0,0,False
6,2025-08-29T18:07:23.032031,8,50,30.0,0,0,0,0,0,0,0,0,0,False
6,2025-08-29T18:07:23.032031,9,50,30.0,0,0,0,0,0,0,0,0,0,False
7,2025-08-29T18:07:26.797991,0,50,30.0,0,0,0,0,0,0,0,0,0,False
7,2025-08-29T18:07:26.797991,1,50,30.0,0,0,0,0,0,0,0,0,0,False
7,2025-08-29T18:07:26.797991,2,50,30.0,0,0,0,0,0,0,0,0,0,False
7,2025-08-29T18:07:26.797991,3,50,30.0,0,0,0,0,0,0,0,0,0,False
7,2025-08-29T18:07:26.797991,4,50,30.0,0,0,0,0,0,0,0,0,0,False
