Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
1425.957053620471,1425.957053620471,1477.1230461647017,1477.1230461647017,1477.1230461647017
1432.778570341674,1432.778570341674,1334.689079166803,1334.689079166803,1477.1230461647017
1454.1341060201325,1454.1341060201325,1344.982239691614,1344.982239691614,1477.1230461647017
1441.8635172721968,1441.8635172721968,1320.8349525878398,1320.8349525878398,1477.1230461647017
1463.3681965956214,1463.3681965956214,1273.7690698278125,1273.7690698278125,1477.1230461647017
1450.3550076098745,1450.3550076098745,1320.1051304724162,1320.1051304724162,1551.7854336954351
1456.8674093513948,1456.8674093513948,1373.23681267513,1373.23681267513,1692.0269058914128
1419.4157738550869,1419.4157738550869,1364.7644711158673,1364.7644711158673,1692.0269058914128
1459.9474525706078,1459.9474525706078,1398.4313114670558,1398.4313114670558,1692.0269058914128
1424.9997018897452,1424.9997018897452,1419.7602597872144,1419.7602597872144,1692.0269058914128
1462.2749101547504,1462.2749101547504,1410.2268468239783,1416.3083194913165,1692.0269058914128
1445.3096836561347,1445.3096836561347,1463.2715775635295,1441.8411611640752,1722.7024195644192
1413.7749061130169,1413.7749061130169,1441.7459075535387,1419.4158303546333,1722.7024195644192
1434.278964274383,1434.278964274383,1478.433187265713,1433.4051202148926,1722.7024195644192
1417.6567380856527,1417.6567380856527,1478.6042121158057,1410.3258313531417,1722.7024195644192
1415.8250949446394,1415.8250949446394,1460.759218861866,1408.0139357158223,1722.7024195644192
1444.1811386252903,1444.1811386252903,1450.0361739316365,1418.4129075318986,1722.7024195644192
1409.8977907308708,1409.8977907308708,1434.5169947999489,1403.5158731625793,1722.7024195644192
1434.7471074705384,1434.7471074705384,1418.4957208301587,1408.9915269213204,1722.7024195644192
1437.1782152084588,1437.1782152084588,1386.447796561823,1403.1040281745186,1722.7024195644192
1424.5485158764318,1424.5485158764318,1370.9525895031563,1394.710352830288,1722.7024195644192
1427.7058828412555,1427.7058828412555,1376.0166504601534,1411.920929025929,1773.3430291343896
1429.9920430444263,1429.9920430444263,1405.9384528019068,1413.5561009838823,1773.3430291343896
1442.3196478511918,1442.3196478511918,1380.7173720491203,1411.4518918124875,1773.3430291343896
1472.7324681525267,1472.7324681525267,1400.044673232042,1406.2133681047019,1773.3430291343896
1552.2210582636142,1552.2210582636142,1431.2419994044487,1416.9478063652944,1773.3430291343896
1533.5335382626859,1533.5335382626859,1403.4004716222266,1412.8527460838723,1773.3430291343896
1521.1082629477833,1521.1082629477833,1443.4126134466126,1417.7647089783056,1773.3430291343896
1493.7773081057694,1493.7773081057694,1445.6680058561915,1421.6385886230003,1773.3430291343896
1535.6740097323504,1535.6740097323504,1480.0709423094438,1428.759666219494,1773.3430291343896
1528.626271333478,1528.626271333478,1510.9285657995763,1432.2000989494131,1773.3430291343896
1514.1776242942015,1514.1776242942015,1467.0805064611113,1429.1582969744236,1773.3430291343896
1525.2812125102535,1525.2812125102535,1465.36349579679,1429.2553115332487,1773.3430291343896
1501.4288526436649,1501.4288526436649,1463.6144122434252,1426.7938095862928,1773.3430291343896
1501.8718047252814,1501.8718047252814,1480.5889386566378,1427.4635311195407,1773.3430291343896
1518.303887535403,1518.303887535403,1457.8626944969014,1428.3130530685185,1773.3430291343896
1500.8559950256292,1500.8559950256292,1475.206554386053,1429.7051267060833,1773.3430291343896
1510.8019584400943,1510.8019584400943,1471.5020598004837,1431.906117089405,1773.3430291343896
1501.427817273629,1501.427817273629,1479.4275524833788,1436.4562716641228,1773.3430291343896
1487.357490711397,1487.357490711397,1457.3988659157162,1435.9194661435495,1773.3430291343896
1518.463156644066,1518.463156644066,1442.7287021335492,1434.7680509455438,1773.3430291343896
1501.8921047604795,1501.8921047604795,1475.5301139558878,1440.1992057795342,1773.3430291343896
1506.7728736255729,1506.7728736255729,1469.9136738946959,1438.7107446405619,1773.3430291343896
1516.5422316283373,1516.5422316283373,1477.1923582517452,1438.2480251920772,1773.3430291343896
1485.8038734975248,1485.8038734975248,1474.431576513883,1437.9008745405056,1773.3430291343896
1519.5926668379439,1519.5926668379439,1485.452859347548,1440.7347500856988,1773.3430291343896
1496.513284338484,1496.513284338484,1485.3759694318037,1441.549986860492,1773.3430291343896
1509.9926425491824,1509.9926425491824,1489.2305731329268,1443.8487120984719,1773.3430291343896
1515.9589662459912,1515.9589662459912,1499.53572744243,1449.329629986226,1773.3430291343896
1484.799601305172,1484.799601305172,1530.8144311250462,1454.8984591398487,1773.3430291343896
1490.6836190583779,1490.6836190583779,1530.9274882019022,1453.1528384924325,1773.3430291343896
1499.094318243463,1499.094318243463,1524.0253985164022,1461.1848493914172,1773.3430291343896
1482.6446222535951,1482.6446222535951,1516.1244519173074,1459.8171963928478,1773.3430291343896
1501.328708853486,1501.328708853486,1523.0151940061073,1464.5945047632224,1773.3430291343896
