Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-230.12215522734795,-230.12215522734795,-265.1023377793217,-265.1023377793217,-265.1023377793217
-236.110539357899,-236.110539357899,-244.70176010131257,-244.70176010131257,-224.3011824233034
-232.04709039676658,-232.04709039676658,-227.84525871312601,-227.84525871312601,-194.1322559367529
-234.791797636995,-234.791797636995,-228.34838601198382,-228.34838601198382,-194.1322559367529
-242.7820176149879,-242.7820176149879,-213.83258524310523,-213.83258524310523,-155.76938216759086
-235.56481000473016,-235.56481000473016,-207.70596227059602,-207.70596227059602,-155.76938216759086
-237.19412697971865,-237.19412697971865,-205.4621263545268,-205.4621263545268,-155.76938216759086
-237.57465728650857,-237.57465728650857,-202.2346101545544,-202.2346101545544,-155.76938216759086
-235.34831668203893,-235.34831668203893,-211.39042098143065,-211.39042098143065,-155.76938216759086
-233.9096682092978,-233.9096682092978,-209.62167404539187,-209.62167404539187,-155.76938216759086
-239.39017355137506,-239.39017355137506,-203.70128227601606,-209.28319641268024,-155.76938216759086
-236.47113661711737,-236.47113661711737,-209.53493160419103,-215.39606968704467,-155.76938216759086
-234.95940486999058,-234.95940486999058,-208.23360395062713,-212.75937043428075,-155.76938216759086
-237.63749047131557,-237.63749047131557,-215.12525252925442,-218.90329066717715,-155.76938216759086
-238.1045127083138,-238.1045127083138,-224.4194183854318,-220.89047400465628,-155.76938216759086
-230.1797123702354,-230.1797123702354,-228.38216778279306,-220.62859071571916,-155.76938216759086
-239.16960557893566,-239.16960557893566,-234.34026859192286,-222.44926884711268,-155.76938216759086
-236.65465839687906,-236.65465839687906,-244.68470656178857,-225.81799704746223,-155.76938216759086
-239.3732962930675,-239.3732962930675,-243.04744732408335,-228.0520137933531,-155.76938216759086
-244.74368022019513,-244.74368022019513,-247.35623365257806,-228.48895384898498,-155.76938216759086
-237.6050713868595,-237.6050713868595,-256.494051488488,-231.76455597258868,-155.76938216759086
-236.87045075984778,-236.87045075984778,-247.2853719873129,-229.8912070962575,-155.76938216759086
-231.87766406344574,-231.87766406344574,-251.982755731027,-229.81301621547473,-155.76938216759086
-237.10745555346534,-237.10745555346534,-244.54402480317157,-229.58692989050815,-155.76938216759086
-237.93281459600752,-237.93281459600752,-244.75463682881414,-230.43613913431943,-155.76938216759086
-244.98257270570474,-244.98257270570474,-246.70256538011304,-230.65704250971686,-155.76938216759086
-203.16974085706167,-203.16974085706167,-248.38093404354058,-232.05358929023419,-155.76938216759086
-191.63995372485905,-191.63995372485905,-235.63842034148234,-229.3252910810409,-155.66123943282176
-190.6113562598295,-190.6113562598295,-225.29879364560958,-227.10262753551058,-155.66123943282176
-200.96334868995697,-200.96334868995697,-224.90087194717847,-227.2929265483829,-155.66123943282176
-185.02922497530574,-185.02922497530574,-215.29676048834366,-226.45236388089683,-155.66123943282176
-183.2613060197083,-183.2613060197083,-211.03249444277327,-223.99785939204367,-147.90822023759787
-198.06777962761302,-198.06777962761302,-203.75524514533902,-221.91672195179726,-147.90822023759787
-196.0079538042113,-196.0079538042113,-192.32492425447947,-218.62751646814678,-110.08373550768069
-184.8937412251652,-184.8937412251652,-185.76037067493013,-217.6716338602082,-110.08373550768069
-192.93753027757458,-192.93753027757458,-177.53249712322992,-215.90022434680384,-110.08373550768069
-192.5652766522783,-192.5652766522783,-163.5981963714547,-213.55213174461812,-110.08373550768069
-203.06495278100715,-203.06495278100715,-159.66600749337778,-210.99390066323483,-110.08373550768069
-191.3771803340688,-191.3771803340688,-158.47101195933325,-209.5047773877728,-110.08373550768069
-185.10032946850643,-185.10032946850643,-151.2625021737633,-208.28532045472792,-110.08373550768069
-188.54376835641037,-188.54376835641037,-149.42565896605566,-207.665362682155,-110.08373550768069
-186.7319639739166,-186.7319639739166,-154.7454499925179,-207.50919048739468,-110.08373550768069
-190.43399745896474,-190.43399745896474,-154.32387334283175,-206.1974548334332,-110.08373550768069
-185.87252526700453,-185.87252526700453,-158.3918866226191,-204.9376005941632,-110.08373550768069
-186.14387657556767,-186.14387657556767,-166.93540463299433,-206.39691625416066,-110.08373550768069
-188.6185224256317,-188.6185224256317,-165.9375025056164,-205.03876307698047,-110.08373550768069
-188.4218118143277,-188.4218118143277,-165.64276552688352,-203.35864957063202,-110.08373550768069
-173.62630955772235,-173.62630955772235,-173.10293668328126,-203.09994983407782,-110.08373550768069
-174.1839487173927,-174.1839487173927,-180.79569931290354,-203.64578186228925,-110.08373550768069
-195.22329192130937,-195.22329192130937,-195.6355065015125,-205.75535766408487,-110.08373550768069
-190.2690052281861,-190.2690052281861,-189.7024734445731,-202.92404533269536,-110.08373550768069
-176.6260319491595,-176.6260319491595,-184.5084527239334,-201.4213401501457,-110.08373550768069
-186.6563215195551,-186.6563215195551,-187.62071689331174,-201.1832390126273,-110.08373550768069
-194.4571236598808,-194.4571236598808,-192.6793107562084,-200.61307979314657,-110.08373550768069
-177.40029330412852,-177.40029330412852,-190.6859145104053,-202.51114900651513,-110.08373550768069
-176.47054007812704,-176.47054007812704,-198.187984774526,-203.3485435132557,-110.08373550768069
-163.31853633764973,-163.31853633764973,-200.72779377638494,-202.5379916620373,-110.08373550768069
-168.62025383365068,-168.62025383365068,-202.40635501179102,-203.09968521834418,-110.08373550768069
-183.77471573440369,-183.77471573440369,-187.80341912795308,-199.08327427397657,-83.81636037805868
-169.78161903564467,-169.78161903564467,-174.81529972930207,-198.79408280086693,-83.81636037805868
-165.29313164007905,-165.29313164007905,-178.91894500023602,-197.9675778775393,-83.81636037805868
-185.3826209479061,-185.3826209479061,-177.96281430185803,-195.10691668967914,-83.81636037805868
-173.02003460599653,-173.02003460599653,-173.70964553400236,-194.27844732930237,-83.81636037805868
-174.27324224491795,-174.27324224491795,-169.69753231898252,-191.52753575109222,-83.81636037805868
-177.96350982584963,-177.96350982584963,-166.2132337942093,-190.8699120882706,-83.81636037805868
-164.83118965491488,-164.83118965491488,-158.22855484106245,-189.31782092490957,-83.81636037805868
-172.51030188401373,-172.51030188401373,-152.08043468163552,-186.08602487997987,-83.81636037805868
-176.2850842103596,-176.2850842103596,-143.23932646506523,-182.81060919899954,-83.81636037805868
-175.31620658815925,-175.31620658815925,-151.09646860565974,-180.6930785302918,-83.81636037805868
-170.20262798957495,-170.20262798957495,-153.1884643217175,-179.96052893469474,-83.81636037805868
-168.61229210041384,-168.61229210041384,-160.69730107679226,-178.80822779520014,-83.81636037805868
-165.34858752893328,-165.34858752893328,-174.8559558393901,-180.62103346009454,-83.81636037805868
-166.61525191664177,-166.61525191664177,-176.21231570473896,-179.12435932404475,-83.81636037805868
-173.82517063943877,-173.82517063943877,-176.85451032375042,-177.98963285520796,-83.81636037805868
-161.42586295375233,-161.42586295375233,-168.7701491925306,-175.67301456101396,-83.81636037805868
-216.3045114960043,-216.3045114960043,-173.02503177140338,-174.5823142031676,-83.81636037805868
-220.43272879455057,-220.43272879455057,-180.62778091693247,-172.5353942546582,-83.81636037805868
-218.2082675491412,-218.2082675491412,-186.91591972619676,-173.06610907594245,-83.81636037805868
-212.68584553915235,-212.68584553915235,-198.11351724370994,-175.25602324991192,-83.81636037805868
-212.33058323269393,-212.33058323269393,-203.3676665893515,-175.6538878631294,-83.81636037805868
-211.32720642522887,-211.32720642522887,-200.0074187695478,-175.75035945144097,-83.81636037805868
-207.9773597597393,-207.9773597597393,-193.92617800352917,-177.19977017224574,-83.81636037805868
-209.0022245105729,-209.0022245105729,-204.34312793125147,-179.24193588122722,-83.81636037805868
-207.20553020033148,-207.20553020033148,-207.83458994769111,-181.0915659938503,-83.81636037805868
-199.61367763531544,-199.61367763531544,-215.64840235679017,-181.65062089738592,-83.81636037805868
-194.59981030269722,-194.59981030269722,-216.11854500938074,-182.2995237803978,-83.81636037805868
-202.80906879671187,-202.80906879671187,-219.84974254554695,-183.7857034894767,-83.81636037805868
-192.87396243900832,-192.87396243900832,-215.388740852099,-184.21065574768664,-83.81636037805868
-183.27015564889356,-183.27015564889356,-208.58748944432824,-185.27931874691095,-83.81636037805868
-187.60040585171092,-187.60040585171092,-204.31679863335717,-186.26474715504818,-83.81636037805868
-179.37080229047686,-179.37080229047686,-201.05576179887606,-186.07638001800504,-83.81636037805868
-170.72376365495765,-170.72376365495765,-202.54374512351927,-186.75942919844599,-83.81636037805868
-187.83910039430103,-187.83910039430103,-196.04902759138866,-187.58696673093863,-83.81636037805868
-175.1321354828748,-175.1321354828748,-185.32336981924954,-186.47786263317641,-83.81636037805868
-178.64850735208395,-178.64850735208395,-183.31922685190654,-184.92738534116833,-83.81636037805868
-179.76762778822595,-179.76762778822595,-178.25917985653138,-184.7638592505808,-83.81636037805868
-171.17942470689803,-171.17942470689803,-179.73219587472818,-186.60358955904562,-83.81636037805868
