Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-223.52328819764026,-223.52328819764026,-249.92671681225994,-249.92671681225994,-249.92671681225994
-225.88028446974965,-225.88028446974965,-229.74678566683738,-229.74678566683738,-209.56685452141483
-219.8106292338475,-219.8106292338475,-244.33907883784548,-244.33907883784548,-209.56685452141483
-230.3403404706721,-230.3403404706721,-241.94055925813768,-241.94055925813768,-209.56685452141483
-224.23606258069537,-224.23606258069537,-238.64988030740383,-238.64988030740383,-209.56685452141483
-225.85794473140442,-225.85794473140442,-231.76055562797833,-231.76055562797833,-197.31393223085098
-227.75416835512834,-227.75416835512834,-228.163677206081,-228.163677206081,-197.31393223085098
-223.41487837452817,-223.41487837452817,-224.9191367930496,-224.9191367930496,-197.31393223085098
-238.07750758168987,-238.07750758168987,-224.0254980780658,-224.0254980780658,-197.31393223085098
-226.21067700275802,-226.21067700275802,-229.4917443881322,-229.4917443881322,-197.31393223085098
-222.60995214338854,-222.60995214338854,-224.584917940797,-226.88871783820275,-197.31393223085098
-225.96912622280095,-225.96912622280095,-224.8327027060546,-225.65171653285174,-197.31393223085098
-230.03098480491673,-230.03098480491673,-224.25286576363754,-228.8881457038394,-197.31393223085098
-222.51899090432443,-222.51899090432443,-219.75658519107265,-226.09486349594837,-189.7821947933647
-231.24580539474707,-231.24580539474707,-217.59176643815152,-224.61113772790233,-189.7821947933647
-234.27402253744845,-234.27402253744845,-225.1250196108299,-227.61334561726056,-189.7821947933647
-223.88743467585192,-223.88743467585192,-221.43594026804422,-224.20618488958877,-169.69161324684012
-228.6477262277987,-228.6477262277987,-223.25600916580248,-223.9951770001345,-169.69161324684012
-223.23752734874327,-223.23752734874327,-222.85233959579364,-223.40804624529096,-169.69161324684012
-225.49103360347092,-225.49103360347092,-222.8483493856997,-226.1700468869159,-169.69161324684012
-229.98927329690972,-229.98927329690972,-228.36936791632283,-227.5937893039742,-169.69161324684012
-232.89173093715056,-232.89173093715056,-228.6241647131169,-227.00282934206317,-169.69161324684012
-226.68364897677932,-226.68364897677932,-228.04848851216016,-228.52307735963103,-169.69161324684012
-231.9550230725647,-231.9550230725647,-237.82812978042722,-230.98372444781452,-169.69161324684012
-228.40943843979107,-228.40943843979107,-243.37156750789003,-232.1153096398974,-169.69161324684012
-185.11317613999654,-185.11317613999654,-242.97523986524865,-233.52176648187137,-169.69161324684012
-172.18035148497933,-172.18035148497933,-242.654285036175,-231.0388145735096,-166.48206495610384
-173.32763107311897,-173.32763107311897,-236.36830347409938,-228.41415074083625,-157.5482272586556
-176.35683080962207,-176.35683080962207,-234.26943349201534,-227.1533521924373,-157.5482272586556
-173.06254764296852,-173.06254764296852,-223.82332856899106,-225.3878074476076,-157.5482272586556
-170.61225485883256,-170.61225485883256,-217.66287942056357,-224.39026998674495,-157.5482272586556
-167.34340651562295,-167.34340651562295,-216.5063306431911,-223.72267349866564,-157.5482272586556
-157.78825119547346,-157.78825119547346,-207.9476847054967,-222.28810988868122,-157.5482272586556
-160.79547028644873,-160.79547028644873,-195.84666929802404,-220.64929646258202,-157.5482272586556
-165.88426317004195,-165.88426317004195,-184.09978506900717,-218.39658833392875,-141.80451195971753
-167.74123227981246,-167.74123227981246,-167.16346494830353,-215.08890494476918,-99.31998632418403
-163.58285491281032,-163.58285491281032,-165.88979426820288,-213.43097124775102,-99.31998632418403
-167.80519311655397,-167.80519311655397,-166.92636977169371,-212.23315574895662,-99.31998632418403
-166.2424482464586,-166.2424482464586,-160.62112569712562,-210.09380693722917,-99.31998632418403
-169.15565669474137,-169.15565669474137,-155.11689366120677,-207.82007900100743,-99.31998632418403
-163.19827970492454,-163.19827970492454,-147.75718132141378,-205.69927275129837,-99.31998632418403
-163.25088609641472,-163.25088609641472,-149.291758643138,-206.00102710449244,-99.31998632418403
-162.29318324178385,-162.29318324178385,-144.76085437305045,-204.2585155827206,-99.31998632418403
-164.9957260965415,-164.9957260965415,-148.55737475840357,-204.2647688025415,-99.31998632418403
-155.7475320552271,-155.7475320552271,-151.51845323512515,-203.53478053419465,-99.31998632418403
-162.30741886853292,-162.30741886853292,-158.92760493485227,-202.8799266817438,-99.31998632418403
-163.0109574983117,-163.0109574983117,-158.50573401143987,-201.7447505591742,-99.31998632418403
-163.82179749753664,-163.82179749753664,-156.394766230703,-200.60015793265381,-99.31998632418403
-158.64193798928247,-158.64193798928247,-162.16405184770468,-200.31222426589764,-99.31998632418403
-160.39977915882798,-160.39977915882798,-165.6255687996181,-199.38117696072956,-99.31998632418403
-158.78274380749167,-158.78274380749167,-170.2686419122832,-197.72859770227612,-99.31998632418403
-160.443016891928,-160.443016891928,-167.14160455784918,-197.27931225266994,-99.31998632418403
-152.47414847095152,-152.47414847095152,-173.0176714065208,-195.60551295217317,-99.31998632418403
-157.50281941117683,-157.50281941117683,-169.89610020181425,-194.37697184594836,-99.31998632418403
-153.84727962867996,-153.84727962867996,-172.07294755576322,-193.73090396118744,-99.31998632418403
-149.8209723326013,-149.8209723326013,-169.61410724697402,-192.76108732124166,-99.31998632418403
-156.5412544766145,-156.5412544766145,-169.6427567830766,-191.62570207338769,-99.31998632418403
-152.12678351227908,-152.12678351227908,-173.5791428668611,-191.30491830183198,-99.31998632418403
-156.01528995947004,-156.01528995947004,-170.75572463791008,-190.1325350541099,-99.31998632418403
-160.83069665098506,-160.83069665098506,-170.5859582232399,-187.60001972775106,-99.31998632418403
-154.8465361662085,-154.8465361662085,-172.69721783133977,-187.35105768038463,-99.31998632418403
-152.45987664092644,-152.45987664092644,-164.66971325313244,-185.24671436208556,-99.31998632418403
-154.71717327576252,-154.71717327576252,-162.01921897214385,-183.1587835938744,-99.31998632418403
-154.23126626417925,-154.23126626417925,-161.59102041087004,-182.7438588899078,-99.31998632418403
-154.1051357726061,-154.1051357726061,-161.7354019035268,-182.55963105426247,-99.31998632418403
-151.75699785268387,-151.75699785268387,-160.49616080326192,-179.8353155597281,-99.31998632418403
-152.89943152679515,-152.89943152679515,-164.14882495707542,-180.16827901119396,-99.31998632418403
-149.95200738378313,-149.95200738378313,-157.39724509437397,-178.13316548754622,-99.31998632418403
-150.60794736246197,-150.60794736246197,-157.85925971511506,-177.13391907797413,-99.31998632418403
-152.65802459273462,-152.65802459273462,-159.30751510678132,-174.89185287196742,-99.31998632418403
-149.86530933877728,-149.86530933877728,-159.02340508058097,-173.4818651132363,-99.31998632418403
-153.38637506455262,-153.38637506455262,-164.96191642160292,-172.51426470378271,-99.31998632418403
-151.20149566022835,-151.20149566022835,-163.31005151911504,-170.21109619526536,-99.31998632418403
-151.9550071132971,-151.9550071132971,-163.00374449946253,-167.77898183371485,-99.31998632418403
-149.27691868434195,-149.27691868434195,-162.63902149349164,-166.4131218513828,-99.31998632418403
-150.4769604178449,-150.4769604178449,-161.60134865878229,-163.5605373184348,-99.31998632418403
-150.50566893184904,-150.50566893184904,-159.84922917758422,-163.6072678394758,-99.31998632418403
-150.28043541375533,-150.28043541375533,-168.0319227583937,-164.46588934440513,-99.31998632418403
-149.4448705464487,-149.4448705464487,-162.65094021466274,-162.81022042250362,-99.31998632418403
-151.17896610531997,-151.17896610531997,-163.48062100942258,-162.82331136005374,-99.31998632418403
-150.1687904614212,-150.1687904614212,-160.26493295547908,-162.00227582021935,-99.31998632418403
-148.4586651737417,-148.4586651737417,-160.8867083837247,-161.39034025188946,-99.31998632418403
-150.512572702917,-150.512572702917,-155.2428111605654,-159.6701214862791,-90.37113608866196
-148.29148968021855,-148.29148968021855,-153.27693485972225,-159.2650349460545,-90.37113608866196
-154.445997908242,-154.445997908242,-152.24499554368552,-160.04216394631848,-90.37113608866196
-141.66094302553668,-141.66094302553668,-152.5809999440438,-160.64404431758285,-90.37113608866196
-148.08799067892588,-148.08799067892588,-147.53081938962185,-159.9354728637596,-90.37113608866196
-145.37926279639743,-145.37926279639743,-145.7175294539636,-160.22412128085907,-90.37113608866196
-147.17541919114717,-147.17541919114717,-149.4655265658604,-160.5791005962506,-90.37113608866196
-144.5309440315801,-144.5309440315801,-150.41943048595232,-161.88381872500287,-90.37113608866196
-144.81687769378135,-144.81687769378135,-150.1255191634745,-162.47594338863152,-90.37113608866196
-137.61691594058757,-137.61691594058757,-150.58816069299917,-161.6496206618617,-90.37113608866196
-149.54127593314013,-149.54127593314013,-154.59645645956397,-161.6372419035818,-90.37113608866196
-146.1502447870219,-146.1502447870219,-154.9711474894094,-160.54778949225567,-90.37113608866196
-142.76543280240975,-142.76543280240975,-151.78806515236678,-160.09608632976682,-90.37113608866196
-147.0353417265094,-147.0353417265094,-153.97285215442858,-159.6530937614981,-90.37113608866196
-146.76897953007577,-146.76897953007577,-154.18457478091332,-159.07124101765427,-90.37113608866196
-140.65675237540066,-140.65675237540066,-151.3720424250566,-159.2195765197298,-90.37113608866196
-149.47471689225108,-149.47471689225108,-152.99690742488005,-158.74567171168567,-90.37113608866196
-145.86999073544044,-145.86999073544044,-147.11142736934698,-158.18099043894858,-90.37113608866196
-143.94741870410115,-143.94741870410115,-146.71648727084047,-157.76551246034296,-90.37113608866196
-142.76745931937808,-142.76745931937808,-145.53536120553912,-157.32837199139968,-90.37113608866196
-146.23701813382914,-146.23701813382914,-149.75482636501903,-156.98467289528145,-90.37113608866196
-147.35026038511677,-147.35026038511677,-150.28604626749103,-156.62577870539104,-90.37113608866196
-146.0982173946589,-146.0982173946589,-154.96469987072504,-156.67443679275917,-90.37113608866196
-151.78843620863984,-151.78843620863984,-154.7353779006813,-156.6773478922396,-90.37113608866196
-140.32912706645163,-140.32912706645163,-158.36739920616742,-156.81616950227243,-90.37113608866196
-143.24701608320697,-143.24701608320697,-156.78569482107838,-155.8608869105732,-90.37113608866196
-147.58612158258558,-147.58612158258558,-154.78043737489372,-155.55061425908238,-90.37113608866196
-138.98437215168678,-138.98437215168678,-158.2439716790083,-155.71259313010228,-90.37113608866196
-142.2264966750688,-142.2264966750688,-156.2621030065199,-154.478489495379,-90.37113608866196
-141.51414172329123,-141.51414172329123,-148.7633321131133,-154.14709576339584,-90.25784965987873
-144.66728507166042,-144.66728507166042,-144.16367077760222,-153.41356325637312,-90.25784965987873
-141.9926382811696,-141.9926382811696,-143.62505626304835,-153.03258587582673,-90.25784965987873
-140.43525338439034,-140.43525338439034,-135.78460240269206,-151.48427689259222,-90.25784965987873
-136.11470006868433,-136.11470006868433,-138.2130529361241,-152.22072631881198,-90.25784965987873
-137.57411863730303,-137.57411863730303,-136.56282764978945,-151.29897004081525,-90.25784965987873
-141.36716139570336,-141.36716139570336,-139.3165383314244,-152.24474555798332,-90.25784965987873
-138.65722375145697,-138.65722375145697,-136.3877057392095,-151.25630346390128,-90.25784965987873
-141.872970424211,-141.872970424211,-132.6580536466095,-150.38270083806793,-90.25784965987873
-140.2706564736932,-140.2706564736932,-132.496039929303,-149.1730164651234,-90.25784965987873
-143.26800154387803,-143.26800154387803,-139.44527291712814,-149.0437670625009,-90.25784965987873
-139.3107535678157,-139.3107535678157,-141.61119263912704,-149.07379148037552,-90.25784965987873
-137.02031395237645,-137.02031395237645,-142.02722161590555,-148.83728129911532,-90.25784965987873
-140.9210024375947,-140.9210024375947,-146.01201789282294,-148.15887617245846,-90.25784965987873
-140.42342577164266,-140.42342577164266,-142.88388651967082,-148.47723389098974,-90.25784965987873
-138.43608019970006,-138.43608019970006,-142.43206763011318,-147.81553773132106,-90.25784965987873
-137.17584836041743,-137.17584836041743,-137.3031084481092,-146.09898269592645,-90.25784965987873
-138.14333035328858,-138.14333035328858,-137.39717990144828,-146.2055514012584,-90.25784965987873
-138.96240605876005,-138.96240605876005,-139.74736275319916,-145.63604918682324,-90.25784965987873
-138.48209020513173,-138.48209020513173,-143.41379168974922,-145.80278821197743,-90.25784965987873
-135.49983675867122,-135.49983675867122,-141.30635918489287,-145.12769722273453,-90.25784965987873
-137.04496099173215,-137.04496099173215,-136.79005668260237,-145.38324058478292,-90.25784965987873
-136.25671090864694,-136.25671090864694,-131.98346915592464,-144.57858815835579,-90.25784965987873
-138.41293930911826,-138.41293930911826,-124.99161201136114,-142.70819946599357,-87.14152735480492
-134.5836111719613,-134.5836111719613,-125.68441989512822,-143.09791788120657,-87.14152735480492
-133.92327528670072,-133.92327528670072,-125.97571323935844,-143.50451650126834,-87.14152735480492
-131.77429643630072,-131.77429643630072,-130.17630967382644,-142.990738739899,-87.14152735480492
-133.1321830723897,-133.1321830723897,-132.17400842026203,-142.74724777213873,-87.14152735480492
-133.80009850307954,-133.80009850307954,-129.0185507051462,-141.355873230662,-87.14152735480492
-137.41831564073289,-137.41831564073289,-127.47128437863721,-141.27194125500998,-87.14152735480492
-133.91352040385263,-133.91352040385263,-128.08531913680284,-140.62712891149528,-87.14152735480492
-130.3349059872645,-130.3349059872645,-131.0042835067529,-140.66480599422073,-87.14152735480492
-133.3652161244626,-133.3652161244626,-131.58580211930013,-139.90151908433396,-87.14152735480492
-138.3801627052361,-138.3801627052361,-131.82670664067172,-138.71592776365458,-87.14152735480492
-131.42187330937543,-131.42187330937543,-128.00221767620658,-137.90379098556218,-87.14152735480492
-134.502206123095,-134.502206123095,-126.42762300039576,-137.95312614516487,-87.14152735480492
-128.35164275078284,-128.35164275078284,-125.65606742509195,-137.84754373990606,-87.14152735480492
-126.80556829568732,-126.80556829568732,-126.68691539083065,-137.48524936532885,-87.14152735480492
-132.8809317613871,-132.8809317613871,-133.78175526001283,-138.68993880879518,-87.14152735480492
-132.35567139674143,-132.35567139674143,-131.44679260150946,-138.21800232114373,-87.14152735480492
-129.7076428053584,-129.7076428053584,-130.79919463572642,-137.6798955975327,-87.14152735480492
-125.92052956937071,-125.92052956937071,-129.8795572574034,-136.68975217269758,-87.14152735480492
-130.18393915152458,-130.18393915152458,-128.29191719143415,-135.50269326912255,-87.14152735480492
-130.90229458075163,-130.90229458075163,-129.54340601187556,-133.63166899188468,-87.14152735480492
-127.49051469073889,-127.49051469073889,-130.79098740347268,-133.11491288612046,-87.14152735480492
-126.49516065813819,-126.49516065813819,-130.17559999414812,-132.31476630276097,-87.14152735480492
-128.042631798604,-128.042631798604,-130.4923570814375,-132.58887619197787,-87.14152735480492
-130.47884998950087,-130.47884998950087,-124.33571263543061,-131.3963044174362,-83.11500467046554
-127.13092121130778,-127.13092121130778,-114.17144153684305,-129.87543278036213,-83.11500467046554
-123.8775499237001,-123.8775499237001,-113.68385164310777,-129.70235204846134,-83.11500467046554
-123.93544731230568,-123.93544731230568,-115.2579874650406,-130.97882666791816,-83.11500467046554
-124.57873172591762,-124.57873172591762,-115.37150672732014,-130.93131936264118,-83.11500467046554
-124.330823446432,-124.330823446432,-119.92293864729645,-130.7622697459722,-83.11500467046554
-121.86177226270758,-121.86177226270758,-122.25151099896361,-130.92505071113902,-83.11500467046554
-121.26579944020226,-121.26579944020226,-123.98601049763224,-130.2695043984221,-83.11500467046554
-126.26106209660597,-126.26106209660597,-124.02552478384912,-129.80730572957293,-83.11500467046554
-121.13536436885306,-121.13536436885306,-120.8698327706763,-128.8995350798283,-83.11500467046554
-120.90057119476486,-120.90057119476486,-125.97237530401635,-129.3132383303976,-83.11500467046554
-127.77929793508909,-127.77929793508909,-132.50280574734208,-129.84438320050864,-83.11500467046554
-121.48508118701758,-121.48508118701758,-135.3862907404982,-130.28040221070037,-83.11500467046554
-123.0256112494606,-123.0256112494606,-134.47462633234585,-129.98469735096174,-83.11500467046554
-117.16970841025619,-117.16970841025619,-133.6961742851323,-129.34831569184223,-83.11500467046554
-119.38963193680945,-119.38963193680945,-131.19287564237618,-128.5954005512663,-83.11500467046554
-121.13791918264332,-121.13791918264332,-125.66223042853551,-126.85509321828151,-70.0447321511996
-123.74194378052093,-123.74194378052093,-120.31824811403138,-125.7563767172942,-70.0447321511996
-120.92234483492666,-120.92234483492666,-117.63080191676272,-124.8470525869028,-70.0447321511996
-124.51084432488543,-124.51084432488543,-120.35884076790607,-125.51068154378765,-70.0447321511996
-120.8678060153829,-120.8678060153829,-121.18117740117873,-126.07003783034368,-70.0447321511996
-120.94522561831582,-120.94522561831582,-118.11308663549354,-125.51752797696754,-70.0447321511996
-121.53311641997078,-121.53311641997078,-117.2575934021969,-125.0491625531899,-70.0447321511996
-118.1025389743982,-118.1025389743982,-114.1881201407427,-124.5610495421317,-70.0447321511996
-117.61959298204494,-117.61959298204494,-114.80482947966945,-124.95127025125565,-70.0447321511996
-115.87821299560466,-115.87821299560466,-113.75004388399643,-124.94871549688067,-70.0447321511996
-115.72447512163698,-115.72447512163698,-119.20105412993084,-125.69698164199546,-70.0447321511996
-117.37579350055199,-117.37579350055199,-125.93771806865962,-125.80703635200051,-70.0447321511996
-113.44266457300942,-113.44266457300942,-126.99581755444248,-125.05107344991964,-70.0447321511996
-113.46407696479292,-113.46407696479292,-120.33028027597845,-123.54147566421807,-70.0447321511996
-114.01271241869071,-114.01271241869071,-119.55899275886304,-123.5470346980639,-70.0447321511996
-113.1076790421282,-113.1076790421282,-122.31267898913973,-124.17635363376623,-70.0447321511996
