Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
2882.873608620854,2882.873608620854,3407.121384857608,3407.121384857608,3407.121384857608
3006.253522906926,3006.253522906926,3211.9561877596034,3211.9561877596034,3407.121384857608
2619.935405889655,2619.935405889655,3129.796753616914,3129.796753616914,3407.121384857608
2908.539344639575,2908.539344639575,3571.548019625906,3571.548019625906,4896.801817652883
2989.1309302755726,2989.1309302755726,3460.596613833045,3460.596613833045,4896.801817652883
2704.7382111708653,2704.7382111708653,3699.9641478030176,3699.9641478030176,4896.801817652883
2792.6644323790265,2792.6644323790265,3457.8404561513266,3457.8404561513266,4896.801817652883
2718.09932908347,2718.09932908347,3402.7092729651113,3402.7092729651113,4896.801817652883
2752.0058253717793,2752.0058253717793,3118.7242623096076,3118.7242623096076,4896.801817652883
2627.322787523496,2627.322787523496,3343.475064813768,3343.475064813768,5366.232287351208
2713.9263588435047,2713.9263588435047,3110.068961568176,3137.0737273217615,5366.232287351208
2694.303667169517,2694.303667169517,2893.0742802085742,2946.221264800413,5366.232287351208
3062.827612753666,3062.827612753666,2685.012476215093,2787.65500176936,5366.232287351208
2878.825131983598,2878.825131983598,2497.0113935159643,2804.0218581188055,5366.232287351208
2812.446488293212,2812.446488293212,2491.9272781288846,2814.817056696939,5366.232287351208
2883.3831974982563,2883.3831974982563,2093.3579069500593,2695.835247269919,5366.232287351208
2590.0766116019427,2590.0766116019427,1985.4110252456958,2591.7054967950735,5366.232287351208
2713.9419608983353,2713.9419608983353,1762.4870671393135,2491.4747141730013,5366.232287351208
2671.8157397437685,2671.8157397437685,1770.3655983525107,2409.0618075953457,5366.232287351208
2735.9241793702035,2735.9241793702035,1501.0801960835363,2422.2776304486515,5366.232287351208
2802.1610638832503,2802.1610638832503,1883.4543426086548,2540.1121155536152,5366.232287351208
2662.9722042968724,2662.9722042968724,2100.4490239682573,2561.7793371494326,5366.232287351208
2889.0836150427895,2889.0836150427895,2501.6432211938727,2663.3020536930608,5366.232287351208
2809.5430918201523,2809.5430918201523,2501.6432211938723,2678.030759400083,5366.232287351208
2929.7640112078434,2929.7640112078434,2312.3542727549625,2613.8319431201476,5366.232287351208
2912.5320155723366,2912.5320155723366,2522.922561234659,2629.330368025588,5366.232287351208
2892.687406664658,2892.687406664658,2732.038711381064,2643.6807614565514,5366.232287351208
2828.3726128518438,2828.3726128518438,2954.962669487447,2657.006126785303,5366.232287351208
2710.6803254098086,2710.6803254098086,3173.0462046419625,2672.5047031286617,5366.232287351208
2692.7381523943836,2692.7381523943836,3395.388559941104,2746.6479402794694,5366.232287351208
2784.2475966684615,2784.2475966684615,3395.388559941104,2816.007742775386,5366.232287351208
2769.4420010751696,2769.4420010751696,3178.3938785815017,2754.4713813469543,5366.232287351208
2707.502835625375,2707.502835625375,2904.483121540244,2736.387225767965,5366.232287351208
2615.008028260093,2615.008028260093,3092.4842042393725,2799.928831411639,5366.232287351208
3015.639107366773,3015.639107366773,3092.4468498036904,2750.5790593154456,5366.232287351208
2760.218473500535,2760.218473500535,2883.3306996572855,2699.8860157010595,5366.232287351208
2903.340841290453,2903.340841290453,3071.331782356414,2759.262118456514,5366.232287351208
2662.4720638483723,2662.4720638483723,3071.331782356414,2766.0391940408585,5366.232287351208
2930.352072248841,2930.352072248841,3250.365480047432,2820.6741331078338,5366.232287351208
2655.331261662552,2655.331261662552,3273.572990630289,2878.379202867174,5366.232287351208
2560.321514877306,2560.321514877306,3058.859041984965,2875.239766972844,5366.232287351208
2890.786292417897,2890.786292417897,3248.631477132897,2872.1285470102735,5366.232287351208
2795.9193847307556,2795.9193847307556,3334.541151475026,2875.492789885886,5366.232287351208
2894.3156611695713,2894.3156611695713,3334.541151475026,2921.431631426045,5366.232287351208
2920.0124833923874,2920.0124833923874,3528.951569736698,2923.550728297946,5366.232287351208
2633.7315646425504,2633.7315646425504,3973.011849552064,2976.6525013208434,5366.232287351208
2937.386980746236,2937.386980746236,3973.0118495520646,3017.506742093866,5366.232287351208
2859.104104739129,2859.104104739129,3973.011849552064,3017.4918306056934,5366.232287351208
2936.659651697017,2936.659651697017,4019.9548965218974,3065.425309314786,5366.232287351208
2927.027708447842,2927.027708447842,3808.746303239911,3064.452622941722,5366.232287351208
2719.4622932649386,2719.4622932649386,3835.459169186107,3056.6460150578014,5366.232287351208
2595.2608232581006,2595.2608232581006,3813.083329490129,3046.7263978762717,5366.232287351208
2917.4119194753653,2917.4119194753653,3623.4980485098495,3009.835603786817,5366.232287351208
2671.0618782941774,2671.0618782941774,3435.496965810721,2972.235387246991,5366.232287351208
2897.4605389808426,2897.4605389808426,3218.5022844511195,2928.836450975071,5366.232287351208
2719.081031556695,2719.081031556695,2983.558154782159,2891.2362344352455,5366.232287351208
2633.1980774776,2633.1980774776,2709.644616948623,2894.287597096772,5366.232287351208
3021.8114800060885,3021.8114800060885,2520.059335968343,2856.3705409007157,5366.232287351208
2917.4666650480954,2917.4666650480954,2335.7925661844356,2909.9049491496476,5366.232287351208
2918.6599294699654,2918.6599294699654,2335.7925661844356,2862.9161232158554,5366.232287351208
2865.625064652361,2865.625064652361,2570.7366958533967,2948.779561914846,5366.232287351208
2798.3238379251898,2798.3238379251898,2855.2789114300053,3039.1673241205585,5366.232287351208
2887.7797866381175,2887.7797866381175,3232.8652751094132,3119.4061635656817,5366.232287351208
2913.1114564312743,2913.1114564312743,3232.8652751094132,3119.4061635656813,5366.232287351208
2885.2017230674787,2885.2017230674787,3449.859956469015,3120.4229866430974,5366.232287351208
2762.111563424312,2762.111563424312,3494.3169768888765,3171.428048423009,5366.232287351208
2770.723726930113,2770.723726930113,3768.230514722413,3250.8514949921164,5366.232287351208
3028.2535647070854,3028.2535647070854,3931.1029297564955,3290.0937134241526,5366.232287351208
2797.0966670926973,2797.0966670926973,3880.425569871442,3331.9169434534347,5366.232287351208
3063.8064481921547,3063.8064481921547,4068.4266525705707,3376.3854145132623,5366.232287351208
2972.028124006479,2972.028124006479,3616.4878415420085,3295.3862617015157,5366.232287351208
2833.186260920006,2833.186260920006,3381.543711873047,3295.3862617015157,5366.232287351208
2555.7900462698562,2555.7900462698562,3244.257514145594,3267.929022156026,5366.232287351208
2803.267999589324,2803.267999589324,3054.672233165315,3230.011965959969,5366.232287351208
2854.2958269438254,2854.2958269438254,2837.677551805713,3225.487642453247,5366.232287351208
