Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
23234.446909201426,23234.446909201426,17677.820506037788,17677.820506037788,17677.820506037788
23609.855009336952,23609.855009336952,18453.382556025674,18453.382556025674,19228.94460601356
23912.309594298826,23912.309594298826,22417.175181812432,22417.175181812432,30344.76043338594
22881.800937417465,22881.800937417465,23321.951790349376,23321.951790349376,30344.76043338594
23188.62935589898,23188.62935589898,24138.17964896975,24138.17964896975,30344.76043338594
24125.874115483708,24125.874115483708,24662.422446673405,24662.422446673405,30344.76043338594
22801.267563458237,22801.267563458237,25444.8768483805,25444.8768483805,30344.76043338594
24237.243308799672,24237.243308799672,24218.81345243515,24218.81345243515,30344.76043338594
23623.769046006968,23623.769046006968,24218.557187174483,24218.557187174483,30344.76043338594
24048.52454732927,24048.52454732927,23733.03995236514,23733.03995236514,30344.76043338594
23624.990615568742,23624.990615568742,23579.344325519538,23042.842160112104,30344.76043338594
23788.979441166837,23788.979441166837,23851.894826623997,22952.142781524275,30344.76043338594
23024.606208729347,23024.606208729347,23546.03707506786,23285.530484316605,30344.76043338594
24275.88382059627,24275.88382059627,23207.08352233399,23239.903027481247,30344.76043338594
22936.14004476542,22936.14004476542,22048.01569668245,22744.73701411155,30344.76043338594
23230.707014881453,23230.707014881453,20970.23133560562,22354.803002256038,30344.76043338594
23544.31856737376,23544.31856737376,20423.8761316618,22491.347015016563,30344.76043338594
23205.984053294906,23205.984053294906,21420.20656460325,22664.031848084094,30344.76043338594
23032.80245832217,23032.80245832217,20955.113521375046,22500.955257806356,30344.76043338594
23444.677696165,23444.677696165,21772.660215545835,22752.850083955487,30344.76043338594
23939.462239135708,23939.462239135708,22886.94448532041,22968.60517211606,30344.76043338594
23448.42635331323,23448.42635331323,22333.547762157643,22670.963227266715,30344.76043338594
22587.870173613337,22587.870173613337,22132.163208695125,22784.066451437702,30344.76043338594
23773.38808630487,23773.38808630487,21960.67840047494,22706.89276622862,30344.76043338594
23156.691529784912,23156.691529784912,22009.959640610083,22450.826064710967,30344.76043338594
11014.475069314683,11014.475069314683,22123.76041416387,22265.94046837444,30344.76043338594
14360.270022468618,14360.270022468618,20965.835403145047,21926.34271432341,30344.76043338594
18474.54814180392,18474.54814180392,20839.43718815849,22012.39089811067,30344.76043338594
14961.0383740674,14961.0383740674,20921.99435050999,21956.485979428307,30344.76043338594
15122.521922855582,15122.521922855582,19475.999440892065,21660.566536267685,30344.76043338594
13034.126470992765,13034.126470992765,18411.77622920757,21498.660351823004,30344.76043338594
13751.100842696766,13751.100842696766,19240.147633973767,21598.83335436267,30344.76043338594
14884.506020628613,14884.506020628613,17776.18277926348,21266.52594471824,30344.76043338594
12541.079848209036,12541.079848209036,18281.370058719487,21405.26844049064,30344.76043338594
9970.838449532968,9970.838449532968,19462.969229098817,21597.152683107495,30344.76043338594
12024.782230085779,12024.782230085779,19694.442422198117,21551.635455547683,30344.76043338594
11114.14202765709,11114.14202765709,20273.38388708154,21479.597085339123,30344.76043338594
14470.920741964634,14470.920741964634,19704.43667711963,21405.034524165658,30344.76043338594
9899.180761631134,9899.180761631134,19046.597683493437,21210.36077534244,30344.76043338594
11543.8026047968,11543.8026047968,18743.563389929437,20931.31574968312,30344.76043338594
10827.16082711485,10827.16082711485,17775.62304298295,20590.602471618105,30344.76043338594
10060.807814928345,10060.807814928345,16174.491495211088,20307.323387898006,30344.76043338594
12217.703228258151,12217.703228258151,16424.79095037544,20140.541062312936,30344.76043338594
11213.594472102037,11213.594472102037,15675.985581998553,20103.158699924254,30344.76043338594
10165.477743593543,10165.477743593543,15004.752601522854,20132.17488719979,30344.76043338594
11592.229880089919,11592.229880089919,14317.5754027822,19979.013704946487,30344.76043338594
16904.078577939075,16904.078577939075,13304.252177005439,19740.161998459607,30344.76043338594
12839.963189661163,12839.963189661163,12311.713425139464,19510.5926285352,30344.76043338594
10898.187130958782,10898.187130958782,11646.598949961131,19258.5726477136,30344.76043338594
13105.133925641494,13105.133925641494,11654.636548680366,19075.97990948257,30344.76043338594
13939.911668012168,13939.911668012168,11753.820571101738,18881.50173082644,30344.76043338594
12080.864501909251,12080.864501909251,12124.780360243858,18744.972415642067,30344.76043338594
7947.559119422452,7947.559119422452,12050.07283570606,18385.849369821593,30344.76043338594
10558.400844841988,10558.400844841988,11793.479004004672,18183.71931350633,30344.76043338594
9545.071829731458,9545.071829731458,11175.413983396273,17940.222230262094,30344.76043338594
9136.305010391701,9136.305010391701,10102.983161483966,17441.79854724675,30344.76043338594
11309.767835944367,11309.767835944367,10055.928803643319,17004.65528050743,30344.76043338594
10183.027953134922,10183.027953134922,10381.860547741777,16931.53088055252,30344.76043338594
14579.292221172818,14579.292221172818,10592.135991101975,16632.488099288315,30344.76043338594
10441.057887169538,10441.057887169538,9944.49618379099,16318.271155767736,30344.76043338594
12357.925634165164,12357.925634165164,10596.932568435008,16285.019379409532,30344.76043338594
12477.0142750137,12477.0142750137,10729.696466894027,16120.532743696076,30344.76043338594
10677.361530945138,10677.361530945138,11498.055569564798,15976.253068720982,30344.76043338594
13302.296419011198,13302.296419011198,12314.169059709518,16005.136420981433,30344.76043338594
12685.226973517207,12685.226973517207,12249.275887032198,15980.474268332044,30344.76043338594
14769.386325649337,14769.386325649337,12817.243465171821,15811.200973159994,30344.76043338594
11181.401279494557,11181.401279494557,12998.803295537162,15519.6407132825,30344.76043338594
