Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-51.227380000491976,-51.227380000491976,-67.77074093273038,-67.77074093273038,-67.77074093273038
-44.49271845255895,-44.49271845255895,-27.667996403460425,-27.667996403460425,12.434748125809527
-43.46300772328968,-43.46300772328968,-15.59501774378227,-15.59501774378227,12.434748125809527
-41.62351340624293,-41.62351340624293,-35.99056673382867,-35.99056673382867,12.434748125809527
-44.88654795617994,-44.88654795617994,-30.371659399068527,-30.371659399068527,12.434748125809527
-54.98948644043387,-54.98948644043387,-48.26771601144119,-48.26771601144119,12.434748125809527
-49.86557128738722,-49.86557128738722,-46.968371437100664,-46.968371437100664,12.434748125809527
-46.96854598801944,-46.96854598801944,-48.306285434123154,-48.306285434123154,12.434748125809527
-53.01022713691073,-53.01022713691073,-50.86640152766191,-50.86640152766191,12.434748125809527
-50.65013767450587,-50.65013767450587,-45.22441867483807,-45.22441867483807,12.434748125809527
-38.15675571372793,-38.15675571372793,-37.592250624007626,-40.33574974298242,12.434748125809527
-52.90387664427568,-52.90387664427568,-44.346730663956436,-41.566941620540426,12.434748125809527
-53.53021125834104,-53.53021125834104,-51.10517284739898,-42.910521669641284,12.434748125809527
-53.10595741811376,-53.10595741811376,-44.983080071058964,-42.41379054613602,12.434748125809527
-47.424243196425294,-47.424243196425294,-53.383475142291545,-45.71286989455054,12.434748125809527
-44.83321051770986,-44.83321051770986,-43.318839865899825,-45.17466842047783,12.434748125809527
-47.017933836798775,-47.017933836798775,-49.055549802884045,-48.196123416973236,12.434748125809527
-47.83036575292236,-47.83036575292236,-42.433287503998585,-45.043508806276165,12.434748125809527
-48.42598900449524,-48.42598900449524,-45.71388466929626,-48.15455054957472,12.434748125809527
-50.32611890222353,-50.32611890222353,-53.027797234079046,-49.12610795445856,12.434748125809527
-43.72780637982499,-43.72780637982499,-53.02779723407906,-46.37958188159986,12.434748125809527
-49.487425024867925,-49.487425024867925,-62.398528959004125,-51.035844956205736,12.434748125809527
-40.05655244765739,-40.05655244765739,-68.40071815469318,-53.99321579357688,12.434748125809527
-46.18260822237605,-46.18260822237605,-73.94464782640327,-55.551647746247376,12.434748125809527
-51.33030625594609,-51.33030625594609,-66.99481916988448,-54.22564960468412,12.434748125809527
-58.22739327646186,-58.22739327646186,-72.22521966059716,-55.578726589754496,12.434748125809527
-42.9660817354563,-42.9660817354563,-63.685733320268206,-53.93301597374916,12.434748125809527
-38.134479471215506,-38.134479471215506,-67.84437227329411,-53.18667433021115,12.434748125809527
-39.71133797263829,-39.71133797263829,-65.70353602768972,-54.205924852373,12.434748125809527
