Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-60.98499130725852,-60.98499130725852,-46.15126839221575,-46.15126839221575,-46.15126839221575
-57.80841322409893,-57.80841322409893,-43.59106083934191,-43.59106083934191,-41.03085328646806
-57.85409685750015,-57.85409685750015,-46.375703198012054,-46.375703198012054,-41.03085328646806
-43.97505249994674,-43.97505249994674,-32.20706019415975,-32.20706019415975,10.29886881739715
-59.71910079909338,-59.71910079909338,-37.58269078799502,-37.58269078799502,10.29886881739715
-59.14090936837568,-59.14090936837568,-38.202035520179734,-38.202035520179734,10.29886881739715
-63.95927785949903,-63.95927785949903,-40.8614402593367,-40.8614402593367,10.29886881739715
-69.12196718069438,-69.12196718069438,-44.02578861692834,-44.02578861692834,10.29886881739715
-62.111386190242904,-62.111386190242904,-41.92568255484806,-41.92568255484806,10.29886881739715
-55.96172038838803,-55.96172038838803,-43.96783261135032,-43.96783261135032,10.29886881739715
-61.30871538416676,-61.30871538416676,-53.66066780420103,-52.977995130384194,10.29886881739715
-60.13015854993903,-60.13015854993903,-57.17978177386652,-54.914994951445756,10.29886881739715
-60.15454575530749,-60.15454575530749,-58.65924950323931,-55.824584971263796,10.29886881739715
-57.06950532349355,-57.06950532349355,-68.50235316283897,-58.13226945750206,10.29886881739715
-57.2893740036262,-57.2893740036262,-60.57308137304661,-52.909617844696086,20.207504734587566
-57.582590973618245,-57.582590973618245,-63.6961343190589,-54.135847269479214,20.207504734587566
-52.91602478070565,-52.91602478070565,-61.10823424411258,-52.77131907391075,20.207504734587566
-53.039597562102536,-53.039597562102536,-63.194774588128496,-54.675225267595096,20.207504734587566
-54.01784976863666,-54.01784976863666,-72.96768551582474,-58.263578850098945,20.207504734587566
-57.729268700288316,-57.729268700288316,-73.50610509950343,-58.73696885542688,20.207504734587566
-52.23690898320423,-52.23690898320423,-62.683491869503506,-57.59966024425053,20.207504734587566
-55.503635976064906,-55.503635976064906,-59.19116848930154,-56.85871019592566,20.207504734587566
-59.3692457996632,-59.3692457996632,-62.72619199262099,-58.8252836762017,20.207504734587566
-48.6543720841673,-48.6543720841673,-56.02529767676523,-57.25436454886172,20.207504734587566
-54.365030984339526,-54.365030984339526,-68.64833712261309,-59.20510555586289,20.207504734587566
-59.12549153369959,-59.12549153369959,-68.19521683442201,-59.54329710214952,20.207504734587566
-61.27581574934794,-61.27581574934794,-66.88771997326566,-57.999615703301465,20.207504734587566
-44.718739174413834,-44.718739174413834,-59.27064636648121,-56.31644708862585,20.207504734587566
-41.64290058649342,-41.64290058649342,-53.9667919723958,-56.781928202615106,20.207504734587566
-37.10007055847545,-37.10007055847545,-46.345127202992884,-54.60635497128222,20.207504734587566
-45.46045949582767,-45.46045949582767,-53.57952097786766,-56.30284112606252,20.207504734587566
-39.508986256989154,-39.508986256989154,-49.85920896310332,-54.671366060668674,20.207504734587566
-39.508986256989154,-39.508986256989154,-44.34096631709477,-54.43609659768445,20.207504734587566
-39.508986256989154,-39.508986256989154,-45.91409295318585,-53.918990550133515,20.207504734587566
-39.508986256989154,-39.508986256989154,-38.91467848711064,-53.407840679076536,20.207504734587566
-39.508986256989154,-39.508986256989154,-35.00623445446666,-52.72744636668205,20.207504734587566
-39.508986256989154,-39.508986256989154,-36.36086641792155,-52.15130508563121,20.207504734587566
-39.508986256989154,-39.508986256989154,-40.06312934879567,-52.03925820972316,20.207504734587566
-39.508986256989154,-39.508986256989154,-35.69227956912641,-51.37432598890005,20.207504734587566
-37.52884427536334,-37.52884427536334,-40.99343214836111,-51.20312426555192,20.207504734587566
-39.508986256989154,-39.508986256989154,-39.15350484760717,-52.12007618009778,20.207504734587566
-37.52333280969299,-37.52333280969299,-39.785539972964386,-51.127121754072405,20.207504734587566
-39.508986256989154,-39.508986256989154,-45.58141203638773,-52.37686762994102,20.207504734587566
-39.508986256989154,-39.508986256989154,-44.182085675409176,-51.7060576240598,20.207504734587566
-39.508986256989154,-39.508986256989154,-46.12867623899944,-51.790248581281624,20.207504734587566
-39.508986256989154,-39.508986256989154,-45.85345393625754,-51.23310018615498,20.207504734587566
-39.508986256989154,-39.508986256989154,-47.21782687830508,-51.101628871306495,20.207504734587566
-39.508986256989154,-39.508986256989154,-44.561940572411345,-50.48148370194988,20.207504734587566
-37.55375486374304,-37.55375486374304,-45.619575717217614,-50.19988715794446,20.207504734587566
-39.508986256989154,-39.508986256989154,-51.436563343228556,-51.24981208108726,20.207504734587566
-39.508986256989154,-39.508986256989154,-45.77014555967332,-50.96946621177054,20.207504734587566
-37.55846472947464,-37.55846472947464,-45.45518498692654,-50.29417683723246,20.207504734587566
-39.508986256989154,-39.508986256989154,-46.0840905222846,-51.478382074325474,20.207504734587566
-37.531650808940505,-37.531650808940505,-47.8999864847262,-52.50476319058509,20.207504734587566
-39.508986256989154,-39.508986256989154,-51.53742752826899,-53.16044015000775,20.207504734587566
-39.508986256989154,-39.508986256989154,-51.442038661030665,-52.83861564104714,20.207504734587566
-39.508986256989154,-39.508986256989154,-51.69085560628601,-52.65310062397818,20.207504734587566
-37.55375486374304,-37.55375486374304,-52.559789503529544,-51.93005607586925,20.207504734587566
-39.508986256989154,-39.508986256989154,-57.658233855703216,-53.18091332605355,20.207504734587566
-39.508986256989154,-39.508986256989154,-50.28792459181473,-52.51383047718014,20.207504734587566
-37.08928976760696,-37.08928976760696,-52.95943773858954,-50.829220198648244,20.207504734587566
-39.508986256989154,-39.508986256989154,-53.33463624571616,-49.52514773160238,20.207504734587566
-39.508986256989154,-39.508986256989154,-45.29110612269649,-48.80475339821692,20.207504734587566
-39.508986256989154,-39.508986256989154,-44.57150048443242,-47.718592654903766,20.207504734587566
-39.508986256989154,-39.508986256989154,-39.59567887873874,-48.96495965114618,20.207504734587566
-39.508986256989154,-39.508986256989154,-41.96451397012207,-48.492291571259784,20.207504734587566
