Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-55.606427243938754,-55.606427243938754,-41.251873048320824,-41.251873048320824,-41.251873048320824
-53.81497159772032,-53.81497159772032,-79.8459682721923,-79.8459682721923,-41.251873048320824
-57.8620977069095,-57.8620977069095,-84.10916689078448,-84.10916689078448,-41.251873048320824
-51.1427714975615,-51.1427714975615,-88.09614836416542,-88.09614836416542,-41.251873048320824
-61.53494382761109,-61.53494382761109,-73.396418173955,-73.396418173955,-14.597497413113324
-51.45251680076596,-51.45251680076596,-66.31525708900837,-66.31525708900837,-14.597497413113324
-51.02163278396756,-51.02163278396756,-68.58043049430648,-68.58043049430648,-14.597497413113324
-55.64453888740293,-55.64453888740293,-70.65294837019454,-70.65294837019454,-14.597497413113324
-55.34260104196103,-55.34260104196103,-74.9573153907356,-74.9573153907356,-14.597497413113324
-54.17888976425624,-54.17888976425624,-75.97764120180312,-75.97764120180312,-14.597497413113324
-55.72313961556242,-55.72313961556242,-80.36851124711211,-76.81245322904019,-14.597497413113324
-52.43634602878685,-52.43634602878685,-76.77074814289345,-77.28328483110994,-14.597497413113324
-52.610424236384404,-52.610424236384404,-68.96694147140792,-72.46130118357173,-14.597497413113324
-52.05138949984404,-52.05138949984404,-69.9004573484835,-75.09922621010689,-14.597497413113324
-55.84214245509553,-55.84214245509553,-75.23723890058211,-74.62363199170639,-14.597497413113324
-53.99465617919323,-53.99465617919323,-80.66235108429565,-75.28219083606292,-14.597497413113324
-55.86926106631684,-55.86926106631684,-80.96126134182722,-75.86327216931869,-14.597497413113324
-56.13582406868031,-56.13582406868031,-83.38442914719255,-77.72599324630454,-14.597497413113324
-57.31570733766344,-57.31570733766344,-83.38442914719256,-79.39263842044979,-14.597497413113324
-55.439838504887,-55.439838504887,-77.23305901058698,-76.60535010619505,-14.597497413113324
-54.80526021449633,-54.80526021449633,-76.93414875305542,-76.87040347857125,-14.597497413113324
-53.234682843657055,-53.234682843657055,-80.53191185727408,-78.75993347936637,-14.597497413113324
-51.82147325056135,-51.82147325056135,-90.01138727146916,-80.09177339570105,-14.597497413113324
-53.17981260406919,-53.17981260406919,-90.01138727146915,-81.31262665234117,-14.597497413113324
-56.13586382837454,-56.13586382837454,-94.15408113356564,-82.43581164845008,-14.597497413113324
-50.19386845047856,-50.19386845047856,-97.46524316971002,-83.8141340413118,-14.597497413113324
-71.04051439027111,-71.04051439027111,-101.47895057764507,-85.35056046869883,-14.597497413113324
-54.408539038710266,-54.408539038710266,-102.32856884706425,-86.512627389433,-14.597497413113324
-64.01535531547597,-64.01535531547597,-101.80007331638237,-87.1193401087024,-14.597497413113324
-54.34114684208567,-54.34114684208567,-98.18233382428782,-83.79767801222597,12.53052278559067
-59.13537761270686,-59.13537761270686,-98.83400014782612,-83.95543466220185,12.53052278559067
-57.02698294488715,-57.02698294488715,-94.4703072668452,-83.66942528795349,12.53052278559067
-56.4089947877691,-56.4089947877691,-96.67239755782808,-85.11620495998196,12.53052278559067
-51.5158557728307,-51.5158557728307,-99.42324627779551,-86.63927948335714,12.53052278559067
-52.88167771437487,-52.88167771437487,-101.84177796026762,-87.98037345182651,12.53052278559067
-55.28212766253298,-55.28212766253298,-90.3626208746114,-85.63315816167278,12.53052278559067
-50.81036016181374,-50.81036016181374,-76.78967082271238,-83.03680651032408,12.53052278559067
-48.18270573431329,-48.18270573431329,-81.88727839437381,-85.29543028547003,12.53052278559067
-51.631895473536105,-51.631895473536105,-88.35713635673466,-87.43672376204398,12.53052278559067
-53.26629482620728,-53.26629482620728,-92.86235960872477,-86.06384841135066,12.53052278559067
-52.21316266530236,-52.21316266530236,-90.98068955628605,-85.66891146563701,12.53052278559067
-61.203288839356055,-61.203288839356055,-83.54978872551077,-83.6409403921338,12.53052278559067
-58.115749015763186,-58.115749015763186,-70.50489062498357,-81.71822488207536,12.53052278559067
-62.25976124411286,-62.25976124411286,-58.52900133225755,-80.25057990356179,12.53052278559067
-63.90938071927202,-63.90938071927202,-56.00615611504586,-80.87499182143083,12.53052278559067
-59.781360018454436,-59.781360018454436,-55.9817101112784,-79.18719119419576,12.53052278559067
-62.68856195879704,-62.68856195879704,-69.67051645967658,-80.19291501018633,12.53052278559067
-61.05878433665323,-61.05878433665323,-55.51717888722801,-79.0916279108363,12.53052278559067
-64.01977272916031,-64.01977272916031,-49.40499086746617,-79.67514562029342,12.53052278559067
-52.7823449985168,-52.7823449985168,-53.695326612459795,-79.5901440515725,12.53052278559067
-62.4824264280645,-62.4824264280645,-54.93177048726168,-80.40982403830827,12.53052278559067
-70.07294395548081,-70.07294395548081,-54.242615405557935,-77.91307427961628,12.53052278559067
-57.3190741615504,-57.3190741615504,-67.60975572278994,-78.75307452969574,12.53052278559067
-54.39502146924765,-54.39502146924765,-69.9361999030414,-77.56005842660942,12.53052278559067
-64.01861980552874,-64.01861980552874,-63.17240217176575,-78.0823312562454,12.53052278559067
-55.9588067408593,-55.9588067408593,-67.08316322396477,-78.31101769277205,12.53052278559067
-62.15256625562866,-62.15256625562866,-56.30787235808024,-77.0416543119883,12.53052278559067
-61.83859861129892,-61.83859861129892,-61.25767304932896,-76.87502566503753,12.53052278559067
-64.81259327925294,-64.81259327925294,-58.026332191520794,-76.1945923758593,12.53052278559067
-67.31563900962972,-67.31563900962972,-51.25286394057944,-74.64518859932775,12.53052278559067
-63.39383976160605,-63.39383976160605,-52.44915362132976,-74.82595251315179,12.53052278559067
-51.89601900166713,-51.89601900166713,-60.62994627025682,-74.68491390508896,12.53052278559067
-51.645292244009205,-51.645292244009205,-58.57988897101544,-76.67566402961724,12.53052278559067
-53.493680154426166,-53.493680154426166,-62.050511861510714,-75.99006932921486,12.53052278559067
