Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-78.71117472577137,-78.71117472577137,-104.14313694206946,-104.14313694206946,-104.14313694206946
-74.66796458795811,-74.66796458795811,-87.25917030424472,-87.25917030424472,-70.37520366641996
-75.7326998594184,-75.7326998594184,-68.70719044527637,-68.70719044527637,-31.603230727339657
-71.60634185665545,-71.60634185665545,-75.41276848774241,-75.41276848774241,-31.603230727339657
-69.91830463825805,-69.91830463825805,-76.73531805993413,-76.73531805993413,-31.603230727339657
-77.09790788882809,-77.09790788882809,-79.54853770815058,-79.54853770815058,-31.603230727339657
-70.73011605803563,-70.73011605803563,-79.18343472084543,-79.18343472084543,-31.603230727339657
-72.26390448239054,-72.26390448239054,-75.91550901309998,-75.91550901309998,-31.603230727339657
-77.94624207337903,-77.94624207337903,-75.87040146823128,-75.87040146823128,-31.603230727339657
-77.83224950353711,-77.83224950353711,-76.00985937249031,-76.00985937249031,-31.603230727339657
-73.43528279874364,-73.43528279874364,-75.78065478119862,-78.35906225036871,-31.603230727339657
-74.29183816356566,-74.29183816356566,-72.37105375121165,-74.8524065100505,-31.603230727339657
-73.87647637694471,-73.87647637694471,-75.13569653312324,-73.65219512823549,-31.603230727339657
-76.58240673855512,-76.58240673855512,-72.048675413105,-73.0098448630014,-31.603230727339657
-76.4802542675958,-76.4802542675958,-76.32933692657764,-76.46466397102981,-31.603230727339657
-74.60444574014662,-74.60444574014662,-71.01889767894167,-74.21751268989502,-31.603230727339657
-71.56335381252391,-71.56335381252391,-71.32867083805829,-74.56298537802948,-31.603230727339657
-75.37599143912867,-75.37599143912867,-76.67025391020239,-76.33481173371244,-31.603230727339657
-76.90919497473219,-76.90919497473219,-75.0261168604868,-75.42604114836577,-31.603230727339657
-74.27811247928962,-74.27811247928962,-73.79812803908308,-74.9039937057867,-31.603230727339657
-76.93183292418122,-76.93183292418122,-75.29815196612098,-76.90148592453647,-31.603230727339657
-69.87797245517824,-69.87797245517824,-83.1255822051297,-78.61294091690469,-31.603230727339657
-72.73451565161649,-72.73451565161649,-83.23625077542776,-77.81917584440606,-31.603230727339657
-73.84762803399053,-73.84762803399053,-83.33927437992071,-77.31377382838444,-31.603230727339657
-74.12156442792724,-74.12156442792724,-76.62135925303639,-76.52734208383245,-31.603230727339657
-77.80947098638,-77.80947098638,-83.1328905817206,-77.64650418675102,-31.603230727339657
-65.71084761814396,-65.71084761814396,-82.46224414744911,-77.48863677411082,-31.603230727339657
-55.622696025757726,-55.622696025757726,-78.67449765398068,-77.17041384809394,-31.603230727339657
-59.06468339987272,-59.06468339987272,-77.12363781243153,-76.01141930838843,-31.603230727339657
-58.416665863783145,-58.416665863783145,-82.16373264963936,-77.3239066870709,-31.603230727339657
-65.14520318028461,-65.14520318028461,-76.39775606318534,-76.7389924208748,-31.603230727339657
-46.7641986204229,-46.7641986204229,-73.78211729035095,-77.10330853360665,-31.603230727339657
-62.721234889571214,-62.721234889571214,-74.55536533958488,-76.83014235809661,-31.603230727339657
-56.42583472994576,-56.42583472994576,-69.62313847462458,-75.0518222537492,-16.367258810284696
-67.53320884354098,-67.53320884354098,-65.5695002731031,-73.39653013790978,-16.367258810284696
-60.258310467063296,-60.258310467063296,-60.89130237437731,-72.99228146109165,-16.367258810284696
-58.59202445328654,-58.59202445328654,-58.48626276992805,-72.35286001622357,-16.367258810284696
-59.836254795297236,-59.836254795297236,-56.104175993446816,-71.62666704423944,-16.367258810284696
-62.209143726381974,-62.209143726381974,-57.28396206085953,-71.20950719363744,-16.367258810284696
-63.21650205226249,-63.21650205226249,-49.72875559369346,-70.42511891372655,-16.367258810284696
-60.87668896968132,-60.87668896968132,-51.08751891898507,-70.48253546919439,-16.367258810284696
-58.11338438347363,-58.11338438347363,-51.37915989298099,-70.97851123821958,-16.367258810284696
-57.50605729092119,-57.50605729092119,-51.841302301627444,-71.01878420542936,-16.367258810284696
-59.98644407031279,-59.98644407031279,-57.30109564149967,-71.01756620551068,-16.367258810284696
-58.44572730915129,-58.44572730915129,-60.8181749637914,-70.60134009921681,-16.367258810284696
-58.77373677309447,-58.77373677309447,-58.8812686378653,-69.92466997778159,-16.367258810284696
-67.08495183564023,-67.08495183564023,-63.15403500004002,-70.39566320426964,-16.367258810284696
-59.87131360048302,-59.87131360048302,-64.0894597751233,-70.05641552984025,-16.367258810284696
-70.59473809393073,-70.59473809393073,-69.8801426793801,-70.93820831317676,-16.367258810284696
-56.88388484092912,-56.88388484092912,-78.14679215091022,-71.96945356116329,-16.367258810284696
-57.30404271835639,-57.30404271835639,-77.63201209909053,-71.23921876571612,-16.367258810284696
-59.392149748143,-59.392149748143,-70.52194071935679,-70.23597077180601,-16.367258810284696
-50.99172723844637,-50.99172723844637,-66.72015462205984,-70.29775391436463,-16.367258810284696
-53.73798621433802,-53.73798621433802,-67.79634638236543,-70.02170605830308,-16.367258810284696
-50.77683881955086,-50.77683881955086,-67.7718533748947,-69.42204495828064,-16.367258810284696
-59.7266204630823,-59.7266204630823,-70.82257428706251,-68.94938671199348,-16.367258810284696
-60.68091991648811,-60.68091991648811,-69.99842904968183,-69.08592836103145,-16.367258810284696
-54.755535674335626,-54.755535674335626,-73.82457488568454,-69.87259244368755,-16.367258810284696
-53.57297170369911,-53.57297170369911,-67.75640445166135,-69.41405277296386,-16.367258810284696
-63.808040098812896,-63.808040098812896,-58.92773640601049,-68.5530289678673,-16.367258810284696
-61.55499020020615,-61.55499020020615,-60.040562629011276,-68.09120033527863,-16.367258810284696
-58.795000162672295,-58.795000162672295,-65.6217193449535,-68.8861038905544,-16.367258810284696
-53.16224357101686,-53.16224357101686,-69.30479636525709,-69.1315738807914,-16.367258810284696
-62.065762315189275,-62.065762315189275,-67.50077461552904,-69.11212589878788,-16.367258810284696
-57.30716886943103,-57.30716886943103,-70.22257911096767,-68.20069339515864,-16.367258810284696
-52.25946400404658,-52.25946400404658,-66.16288409328038,-67.97818399486123,-16.367258810284696
-55.55283548549189,-55.55283548549189,-61.98726920188494,-67.21764803379678,-16.367258810284696
-55.38781260046617,-55.38781260046617,-60.80877506012265,-66.70029667367159,-16.367258810284696
-67.0443853048934,-67.0443853048934,-63.82739180423262,-67.17430776171302,-16.367258810284696
-61.6506995977042,-61.6506995977042,-68.49574789307448,-67.4925529386656,-16.367258810284696
-58.62236350246798,-58.62236350246798,-63.99776424377994,-65.83112279081043,-16.367258810284696
-51.207794842315245,-51.207794842315245,-60.79336397595095,-64.41966024471864,-16.367258810284696
-57.02761437547137,-57.02761437547137,-57.211475098941,-63.92661874549404,-16.367258810284696
-59.88414366641326,-59.88414366641326,-57.79740566333754,-64.00375215547123,-16.367258810284696
-58.7649291337866,-58.7649291337866,-59.954640146071895,-64.86734957376574,-16.367258810284696
-72.34915635987936,-72.34915635987936,-61.01135285670764,-63.55387644985863,-16.367258810284696
-67.33634628675998,-67.33634628675998,-63.41776215271808,-63.408751634850574,-16.367258810284696
-68.50394137523138,-68.50394137523138,-62.73982708607245,-63.513362560089945,-16.367258810284696
-69.64704373632375,-69.64704373632375,-62.57845760410497,-64.2652717200477,-16.367258810284696
-75.08053644739897,-75.08053644739897,-57.24461068265002,-62.50872854526772,-16.367258810284696
-65.25920835515079,-65.25920835515079,-57.240133883504505,-61.99959835487427,-16.367258810284696
-71.91906872631411,-71.91906872631411,-60.40711659566955,-61.74466010578236,-16.367258810284696
-69.06108036269555,-69.06108036269555,-66.5801220443307,-62.331570086443215,-16.367258810284696
-71.42582486858711,-71.42582486858711,-65.55923585299755,-63.19097163114584,-16.367258810284696
-67.3987804735518,-67.3987804735518,-58.99708463089979,-63.55286644532509,-16.367258810284696
-70.35734424743957,-70.35734424743957,-63.80518084192215,-64.1366521433676,-16.367258810284696
-69.97924148052452,-69.97924148052452,-62.083246772962795,-64.12814843545753,-16.367258810284696
-70.34543442929304,-70.34543442929304,-62.61514808762796,-64.81555697892618,-16.367258810284696
-69.77610562226474,-69.77610562226474,-58.51977039584134,-64.51243338704407,-16.367258810284696
-61.90238229814375,-61.90238229814375,-61.410025753792674,-64.84498257728757,-16.367258810284696
-69.83100829427397,-69.83100829427397,-66.70488826759261,-65.12307222459577,-16.367258810284696
-69.94717878127176,-69.94717878127176,-69.05681219707019,-65.2801905666002,-16.367258810284696
-66.17287537604555,-66.17287537604555,-63.81538097654341,-64.7263858214264,-16.367258810284696
-71.28669222137304,-71.28669222137304,-66.64255833852219,-65.05926417055036,-16.367258810284696
-67.2942263292395,-67.2942263292395,-72.75873669747705,-65.94097879206224,-16.367258810284696
-67.51457071767106,-67.51457071767106,-72.44993473911833,-66.8503853636182,-16.367258810284696
-66.93056316995825,-66.93056316995825,-73.91390917600343,-66.28012327065022,-16.367258810284696
-67.0390646727176,-67.0390646727176,-75.94348110226132,-67.18636124435379,-16.367258810284696
-69.74521918191404,-69.74521918191404,-82.42336574873272,-67.0210780009146,-16.367258810284696
-61.438812348808035,-61.438812348808035,-83.19451767374235,-65.85452768185401,-16.367258810284696
-67.35300802542059,-67.35300802542059,-81.05976474083461,-65.80862275294459,-16.367258810284696
-66.18264533677923,-66.18264533677923,-79.94657340821998,-67.16511710437285,-16.367258810284696
-65.15070449249849,-65.15070449249849,-87.93889316030547,-68.97013352907553,-16.367258810284696
-65.64138806921908,-65.64138806921908,-87.80636716808426,-69.06126832769412,-16.367258810284696
-69.09640577263019,-69.09640577263019,-83.27161073552097,-69.04093026418747,-16.367258810284696
-62.10205410525883,-62.10205410525883,-80.48347293453986,-68.78256509311367,-16.367258810284696
-62.20881918517989,-62.20881918517989,-81.80061069109337,-68.64055959893251,-16.367258810284696
-65.87367581440401,-65.87367581440401,-81.10294271230256,-68.64203480967738,-16.367258810284696
-62.57829597386944,-62.57829597386944,-76.3583762809403,-68.74147236677038,-16.367258810284696
-72.80561396921286,-72.80561396921286,-76.13463859700195,-69.2959081200523,-16.367258810284696
-62.89610383459162,-62.89610383459162,-75.29995229654844,-68.86050068645201,-16.367258810284696
-66.30697343978281,-66.30697343978281,-74.50893448223371,-68.94256013182887,-16.367258810284696
-62.883105157941365,-62.883105157941365,-70.64667482452941,-69.23850922092998,-16.367258810284696
-63.95161735036686,-63.95161735036686,-68.87923876662117,-69.33696115791254,-16.367258810284696
-66.40811097641814,-66.40811097641814,-71.63366089532641,-69.32314662105922,-16.367258810284696
-65.98366802016662,-65.98366802016662,-75.09980886400835,-70.56995004725927,-16.367258810284696
-61.406657769282,-61.406657769282,-76.18650255636399,-71.48040626982834,-16.367258810284696
-61.38195859954897,-61.38195859954897,-73.88672933632714,-71.2576256649183,-16.367258810284696
-67.73550495040607,-67.73550495040607,-73.30879106077953,-70.63775221807977,-16.367258810284696
-66.18958210948685,-66.18958210948685,-72.63419562468678,-70.12359766637475,-16.367258810284696
-60.794286483638956,-60.794286483638956,-73.26329669203662,-70.71360717610337,-16.367258810284696
-64.92944965222983,-64.92944965222983,-72.31478084578711,-71.24684350579611,-16.367258810284696
-58.85524846685703,-58.85524846685703,-72.27354553591766,-72.25092330832533,-16.367258810284696
-62.12450417719138,-62.12450417719138,-72.30879379900082,-72.2392387850452,-16.367258810284696
-63.57777319480991,-63.57777319480991,-69.88907034718875,-71.31003266128259,-16.367258810284696
-62.01622902324121,-62.01622902324121,-68.02201393447619,-71.97208226281299,-16.367258810284696
-61.53540554748903,-61.53540554748903,-66.27541194867733,-72.05193622902019,-16.367258810284696
-61.76933999442832,-61.76933999442832,-66.21903497218366,-71.95346724214053,-16.367258810284696
-61.33580825961275,-61.33580825961275,-70.28537348826657,-72.1791353949121,-16.367258810284696
-58.20857441660161,-58.20857441660161,-74.08249452455746,-73.49117443475625,-16.367258810284696
-66.04057469872265,-66.04057469872265,-77.35908076714186,-74.73739655283082,-16.367258810284696
-61.98949097456933,-61.98949097456933,-74.27162714708477,-74.01974561607915,-16.367258810284696
-58.326007642750476,-58.326007642750476,-73.18010833984358,-73.5709205674279,-16.367258810284696
-61.216223626635525,-61.216223626635525,-71.04606386325193,-73.33660438709609,-16.367258810284696
-60.90119638331485,-60.90119638331485,-73.01170008627429,-74.1129557523575,-16.367258810284696
-63.767683655315814,-63.767683655315814,-72.62808878507366,-73.73666385144327,-16.367258810284696
-62.35755412606032,-62.35755412606032,-69.64452070705448,-73.56419101583852,-16.367258810284696
-60.71564082426238,-60.71564082426238,-66.97976016008928,-72.82638965663278,-16.367258810284696
-59.75488943335473,-59.75488943335473,-60.91780578662731,-72.65874247306928,-16.367258810284696
-63.657106586738706,-63.657106586738706,-61.46273616655354,-73.50171651730842,-16.367258810284696
-57.72410108506785,-57.72410108506785,-59.25213697155759,-73.24684629362382,-16.367258810284696
-61.66213170661486,-61.66213170661486,-61.3456258339826,-72.47750834346164,-16.367258810284696
-63.12076197489393,-63.12076197489393,-58.26316247430525,-72.46047686698029,-16.367258810284696
-60.327935183678285,-60.327935183678285,-56.353022007591804,-71.27869712091,-16.367258810284696
-63.03383938089369,-63.03383938089369,-56.41096920112254,-70.8434022530866,-16.367258810284696
-56.80554924346587,-56.80554924346587,-55.098884053209346,-70.26645371426147,-16.367258810284696
-63.52077272623599,-63.52077272623599,-57.38721129607792,-70.2588514398534,-16.367258810284696
-60.06303380414257,-60.06303380414257,-58.28942405640735,-69.295578247462,-16.367258810284696
-61.814341667533824,-61.814341667533824,-61.86417926963291,-68.54690517724933,-16.367258810284696
-63.19492029852492,-63.19492029852492,-55.55053120892127,-67.97291922434421,-16.367258810284696
-62.413746726342886,-62.413746726342886,-53.53264493644256,-67.7414223327454,-16.367258810284696
-63.197184027199235,-63.197184027199235,-55.2094706315964,-67.53008778813691,-16.367258810284696
-62.542615933717464,-62.542615933717464,-55.0301632421703,-65.87873088335323,-16.367258810284696
-58.4756138363281,-58.4756138363281,-58.35255500332512,-65.38793468795818,-16.367258810284696
-65.1660321779579,-65.1660321779579,-58.63130580358236,-65.91534126669887,-16.367258810284696
-63.74267247007108,-63.74267247007108,-59.956667405365884,-66.16109260842669,-16.367258810284696
-59.11469542112917,-59.11469542112917,-64.98182463878706,-66.89509422939214,-16.367258810284696
-63.79033681331258,-63.79033681331258,-65.8952774031189,-66.25404518562526,-16.367258810284696
-60.049887873963,-60.049887873963,-62.46932754933808,-65.76909543092889,-16.367258810284696
-61.31386650243644,-61.31386650243644,-63.3276571187443,-65.41152292869268,-16.367258810284696
-58.49780376045262,-58.49780376045262,-64.7323267158575,-65.62789721660721,-16.367258810284696
-60.32907169639026,-60.32907169639026,-62.272603796806266,-65.08282165105143,-16.367258810284696
-56.732956063432624,-56.732956063432624,-62.570405474688116,-64.26347701338499,-16.367258810284696
-63.013301396997605,-63.013301396997605,-61.523187307004875,-63.916724396034894,-16.367258810284696
-61.076702622558706,-61.076702622558706,-61.53272735677599,-63.89515455898878,-16.367258810284696
-62.651617787023795,-62.651617787023795,-59.46280595771208,-63.033692027167426,-16.367258810284696
-61.622167766344,-61.622167766344,-51.81677923891054,-62.02114956590147,-16.367258810284696
-63.05611990396626,-63.05611990396626,-52.269599496186416,-61.930619217597126,-16.367258810284696
-62.1794885898551,-62.1794885898551,-54.45983950619617,-61.9993051200122,-16.367258810284696
-61.42895923455622,-61.42895923455622,-54.91559839875828,-61.867803483506975,-16.367258810284696
-60.426773845776,-60.426773845776,-57.426960441555295,-62.46062996651096,-16.367258810284696
-61.25284593324816,-61.25284593324816,-60.87451409656278,-62.79476830120656,-16.367258810284696
-59.70229844198178,-59.70229844198178,-60.980652104367664,-62.00489832707498,-16.367258810284696
-59.65293041901975,-59.65293041901975,-60.21086120914119,-61.497137878062986,-16.367258810284696
-59.702480416911975,-59.702480416911975,-58.20720993637516,-61.558782476826075,-16.367258810284696
-62.093864133609266,-62.093864133609266,-56.40689509282009,-60.710668258836215,-16.367258810284696
-63.10955145352957,-63.10955145352957,-60.184693695578744,-60.803005915281744,-16.367258810284696
-63.33343512206803,-63.33343512206803,-59.20695701071296,-60.52820362530298,-16.367258810284696
-65.51267842425442,-65.51267842425442,-58.03801418021676,-59.54983325840225,-16.367258810284696
-61.04018910018993,-61.04018910018993,-57.76938469184186,-58.605181516963846,-16.367258810284696
-60.68575090285643,-60.68575090285643,-55.24659495624876,-58.038132804332335,-16.367258810284696
-61.62030342023887,-61.62030342023887,-49.75953785937416,-57.892350443664434,-16.367258810284696
