Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-224.9459977683224,-224.9459977683224,-268.60089121620217,-268.60089121620217,-268.60089121620217
-233.77153209551648,-233.77153209551648,-247.312662360971,-247.312662360971,-226.02443350573978
-230.27369782273436,-230.27369782273436,-240.05171311856702,-240.05171311856702,-225.52981463375912
-242.03597841758491,-242.03597841758491,-218.69227888067036,-218.69227888067036,-154.61397616698036
-227.3351258837942,-227.3351258837942,-210.24312195502915,-210.24312195502915,-154.61397616698036
-227.9087478070941,-227.9087478070941,-209.39087520072113,-209.39087520072113,-154.61397616698036
-230.88434340050355,-230.88434340050355,-204.2945931604591,-204.2945931604591,-154.61397616698036
-225.1400416205779,-225.1400416205779,-206.213315688276,-206.213315688276,-154.61397616698036
-228.82908994744867,-228.82908994744867,-208.14003035546406,-208.14003035546406,-154.61397616698036
-230.51913014655744,-230.51913014655744,-216.51094599329093,-216.51094599329093,-154.61397616698036
-227.31310603004584,-227.31310603004584,-207.11023126889125,-212.70029126410134,-154.61397616698036
-223.55075911416233,-223.55075911416233,-209.03306286919087,-215.41299611782088,-154.61397616698036
-226.3915624323207,-226.3915624323207,-211.96212630629643,-218.44433864758963,-154.61397616698036
-225.96401967381263,-225.96401967381263,-221.8526799161838,-220.94970819175137,-154.61397616698036
-230.06862571257912,-230.06862571257912,-216.33304949340376,-214.3030736472789,-121.25019002466424
-221.97892030906098,-221.97892030906098,-218.2262536652692,-214.9129867410637,-121.25019002466424
-236.20583870951327,-236.20583870951327,-222.97341603984646,-215.28213603068696,-121.25019002466424
-236.77457886723366,-236.77457886723366,-229.6688096420005,-219.24414566256735,-121.25019002466424
-232.08858292491007,-232.08858292491007,-232.55798914827295,-220.99158761483713,-121.25019002466424
-233.2881906415009,-233.2881906415009,-226.53857882107658,-221.52476240718374,-121.25019002466424
-228.20611762149477,-228.20611762149477,-231.9146683799192,-221.84999465258602,-121.25019002466424
-228.7045655967523,-228.7045655967523,-233.4005772531635,-223.58916936115847,-121.25019002466424
-235.04739963708408,-235.04739963708408,-238.94691558972755,-227.35850253547568,-121.25019002466424
-224.37705132140306,-224.37705132140306,-229.1318260034863,-224.35892394664097,-121.25019002466424
-233.49228596795135,-233.49228596795135,-239.55756118362552,-224.40486866181757,-121.25019002466424
-179.09685235885757,-179.09685235885757,-237.60291534143713,-223.63988235659193,-121.25019002466424
-166.23062942395998,-166.23062942395998,-239.06357925294728,-224.09007796485747,-121.25019002466424
-162.22806141393005,-162.22806141393005,-230.8460976223136,-223.38769993390534,-121.25019002466424
-152.22495656023895,-152.22495656023895,-224.10478062402095,-222.06510244559018,-121.25019002466424
-156.1738752796589,-156.1738752796589,-210.3155383102822,-217.78835437488323,-93.7626603243817
-159.2820316372554,-159.2820316372554,-202.78070785708942,-215.6986118153291,-93.7626603243817
-163.4319760673429,-163.4319760673429,-188.73641005704349,-212.69768207862256,-93.7626603243817
