Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-256.5503023963306,-256.5503023963306,-244.29907709626008,-244.29907709626008,-244.29907709626008
-266.44572525181667,-266.44572525181667,-285.98045190847404,-285.98045190847404,-244.29907709626008
-258.0581767985434,-258.0581767985434,-262.2039826114399,-262.2039826114399,-214.65104401737176
-253.21967115846513,-253.21967115846513,-287.22421316680334,-287.22421316680334,-214.65104401737176
-263.62798442012814,-263.62798442012814,-300.36366145828896,-300.36366145828896,-214.65104401737176
-265.37710020286295,-265.37710020286295,-296.08675386174224,-296.08675386174224,-214.65104401737176
-253.99556194180798,-253.99556194180798,-285.4069831511639,-285.4069831511639,-214.65104401737176
-268.519525812803,-268.519525812803,-288.61878080261954,-288.61878080261954,-214.65104401737176
-260.8868607752784,-260.8868607752784,-290.0434874644855,-290.0434874644855,-214.65104401737176
-264.79328251921766,-264.79328251921766,-284.2990479137428,-284.2990479137428,-214.65104401737176
-258.6115700391403,-258.6115700391403,-289.26899750369273,-285.18082292119885,-214.65104401737176
-254.980369199611,-254.980369199611,-274.08824056938704,-276.07027579256817,-175.85425737763063
-271.8261318251774,-271.8261318251774,-270.2085619054129,-268.36135129911145,-175.85425737763063
-254.54177842561748,-254.54177842561748,-259.24910726927055,-267.2419946685656,-175.85425737763063
-263.94184285149333,-263.94184285149333,-254.72714850012093,-269.939319486177,-175.85425737763063
-254.40410477282555,-254.40410477282555,-250.3185195160771,-267.48160739570153,-175.85425737763063
-252.11819240112828,-252.11819240112828,-245.7642701731726,-262.08774022293375,-175.78586545864874
-260.16444505101276,-260.16444505101276,-237.47788495937522,-260.2071720008172,-175.78586545864874
-259.5395945208891,-259.5395945208891,-230.02568541147807,-258.4551705944816,-175.78586545864874
-253.34163234335279,-253.34163234335279,-227.67273145100958,-255.98588968237624,-175.78586545864874
-252.45889535935996,-252.45889535935996,-231.54812261147777,-259.6414418213317,-175.78586545864874
-260.17978845107956,-260.17978845107956,-242.18642866519076,-260.66852709830573,-175.78586545864874
-258.51157907605756,-258.51157907605756,-247.30325598736272,-259.20565768530764,-175.78586545864874
-258.04545880202113,-258.04545880202113,-243.96213860562017,-257.54205464233837,-175.78586545864874
-257.44249688045954,-257.44249688045954,-238.4518426720901,-257.3443287605423,-175.78586545864874
-240.03972749341656,-240.03972749341656,-231.37695707061295,-253.5952034245136,-159.86707002379748
-164.69442805289583,-164.69442805289583,-233.57493567483212,-251.52744224215533,-159.86707002379748
-139.2870687997652,-139.2870687997652,-220.54349595269872,-246.04157341220343,-97.92311500350226
-121.23946263214482,-121.23946263214482,-213.29926369856258,-242.88416821657847,-97.92311500350226
-105.25914611163371,-105.25914611163371,-199.02217158599208,-236.99798365024813,-66.29863122666853
-97.96705798387343,-97.96705798387343,-179.60431974111975,-233.8230153438439,-66.29863122666853
-98.75802377216806,-98.75802377216806,-164.630345357424,-230.6565953042802,-66.29863122666853
-105.59050307598112,-105.59050307598112,-152.41317997671484,-226.8443008039159,-66.29863122666853
-102.39846541402638,-102.39846541402638,-136.99697955919459,-222.0876207943549,-65.1171804788423
-108.52230564858934,-108.52230564858934,-118.2592896737963,-217.6057461643291,-65.1171804788423
-110.6747948602223,-110.6747948602223,-117.33793001222705,-215.74596080998955,-65.1171804788423
-123.07349645278413,-123.07349645278413,-111.20236928020931,-213.6017468470348,-65.1171804788423
-117.74368715592891,-117.74368715592891,-113.35839113180809,-211.12494649630992,-65.1171804788423
-106.03858533138892,-106.03858533138892,-110.27947217436387,-208.88296410319012,-65.1171804788423
-107.58963112955612,-107.58963112955612,-110.77188770425357,-205.4414596637495,-65.1171804788423
-101.22936044562697,-101.22936044562697,-105.64990346131204,-202.56128073834833,-65.1171804788423
-97.89320262351883,-97.89320262351883,-103.40083874694801,-200.35760564777252,-65.1171804788423
-94.43405810295185,-94.43405810295185,-98.52373545429903,-197.00230886214453,-56.07984386576858
-95.15435373583048,-95.15435373583048,-100.21341967059422,-194.3889387207729,-56.07984386576858
-90.0822358227689,-90.0822358227689,-97.19517759870158,-190.84784203863407,-35.03958802452592
-93.30290604095975,-93.30290604095975,-90.95473823759889,-188.61743416381765,-35.03958802452592
-92.71837262215936,-92.71837262215936,-85.90444967387958,-186.43210915061877,-35.03958802452592
-96.78776047256171,-96.78776047256171,-81.3099252989744,-184.0801504135317,-35.03958802452592
-94.42524373041496,-94.42524373041496,-78.0618290253115,-182.18477327097,-35.03958802452592
-98.84610185479178,-98.84610185479178,-75.83249183854525,-179.51966609870865,-35.03958802452592
