Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-160.5444029910752,-160.5444029910752,-164.64495187691165,-164.64495187691165,-164.64495187691165
-159.11035721738676,-159.11035721738676,-138.46101515173925,-138.46101515173925,-112.27707842656685
-160.6110898924958,-160.6110898924958,-140.36112665681918,-140.36112665681918,-112.27707842656685
-159.71096365234376,-159.71096365234376,-119.46165870804884,-119.46165870804884,-56.76325486173785
-170.10569191539227,-170.10569191539227,-117.49985882723111,-117.49985882723111,-56.76325486173785
-155.96950518183465,-155.96950518183465,-129.73329705707138,-129.73329705707138,-56.76325486173785
-171.66717493907646,-171.66717493907646,-133.07043283546264,-133.07043283546264,-56.76325486173785
-159.09667456064437,-159.09667456064437,-129.93549671983277,-129.93549671983277,-56.76325486173785
-161.01449350614982,-161.01449350614982,-129.87689026180217,-129.87689026180217,-56.76325486173785
-157.09922236396457,-157.09922236396457,-128.7446257480216,-128.7446257480216,-56.76325486173785
