Epoch,Epoch Reward,Avg Reward (last 10)
10,-19519406427.498802,-18974270905.697372
20,-18716817781.799873,-18930511111.564266
30,-19293207015.69106,-18607166175.947166
40,-18096983564.46917,-18696453268.91003
50,-19001501509.902752,-19003989591.872635
60,-19200182065.484993,-18954929891.724762
70,-19942670922.31963,-18993728641.072872
80,-19290046602.50846,-18863912720.533592
90,-18645907282.67066,-19015894024.566162
Epoch,Epoch Reward,Avg Reward (last 10)
10,-19519406427.498802,-18974270905.697372
20,-18716817781.799873,-18930511111.564266
30,-19293207015.69106,-18607166175.947166
40,-18096983564.46917,-18696453268.91003
