Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-483.47795561100565,-483.47795561100565,-578.9224009815148,-578.9224009815148,-578.9224009815148
-476.0731655916874,-476.0731655916874,-545.0002391157257,-545.0002391157257,-511.07807724993665
-494.51798528532703,-494.51798528532703,-484.9094862183965,-484.9094862183965,-364.7279804237383
-473.9028761462938,-473.9028761462938,-407.92270796543573,-407.92270796543573,-176.96237320655328
-490.9856421766483,-490.9856421766483,-433.883486250052,-433.883486250052,-176.96237320655328
-481.69186984679845,-481.69186984679845,-393.59768212175237,-393.59768212175237,-176.96237320655328
-466.6255198393052,-466.6255198393052,-365.71697410751034,-365.71697410751034,-176.96237320655328
-500.9334260499508,-500.9334260499508,-399.9868348419709,-399.9868348419709,-176.96237320655328
-495.04735499469047,-495.04735499469047,-410.36547653595954,-410.36547653595954,-176.96237320655328
-502.22395502146486,-502.22395502146486,-391.5853914118278,-391.5853914118278,-176.96237320655328
-486.97540991280863,-486.97540991280863,-408.1292159992878,-423.65586917949025,-176.96237320655328
-502.0094754624242,-502.0094754624242,-410.6274242976757,-433.02289343401736,-176.96237320655328
-485.82797524920716,-485.82797524920716,-396.6065500906884,-416.9841507355443,-176.96237320655328
-468.408532435641,-468.408532435641,-413.49251025570254,-411.90113817276927,-176.96237320655328
-458.7169810535194,-458.7169810535194,-381.94335625757,-399.2567329217308,-176.96237320655328
-496.31548633406504,-496.31548633406504,-390.59440253882906,-391.7206323824254,-176.96237320655328
-450.0562027004057,-450.0562027004057,-407.6459366666677,-390.38106973054414,-176.96237320655328
-501.53556868534474,-501.53556868534474,-355.5934990703199,-375.323870524387,-119.35148401971585
-514.4663320829357,-514.4663320829357,-354.04351997680254,-380.7223415048243,-119.35148401971585
-498.0483773411824,-498.0483773411824,-384.02406970368645,-387.8047305577571,-119.35148401971585
-484.1431678146926,-484.1431678146926,-381.43811312364335,-403.5521758195631,-119.35148401971585
-506.1058646291941,-506.1058646291941,-349.1766744473172,-394.91097571279005,-119.35148401971585
-432.193796547662,-432.193796547662,-369.54545803646397,-396.35863217072676,-119.35148401971585
-485.0282107847093,-485.0282107847093,-352.2081312687365,-387.0290519627556,-119.35148401971585
-461.73089425336684,-461.73089425336684,-397.3253835046228,-398.4841931548875,-119.35148401971585
-514.6118219468342,-514.6118219468342,-391.92011873698686,-391.79735790341056,-119.35148401971585
-491.93217288796404,-491.93217288796404,-401.7427639765953,-394.589104636489,-119.35148401971585
-472.7536787325531,-472.7536787325531,-417.42851637929436,-390.3612440439968,-119.35148401971585
-458.4827002669171,-458.4827002669171,-401.068204514484,-387.73815633574145,-119.35148401971585
-469.3863797725604,-469.3863797725604,-369.83519129178774,-381.81488413576733,-119.35148401971585
-477.2185819990663,-477.2185819990663,-351.9277889254704,-386.89914778921064,-119.35148401971585
-513.0060087014376,-513.0060087014376,-373.05326181811466,-388.080440120704,-119.35148401971585
-498.43254877841605,-498.43254877841605,-366.10251792045744,-387.1901127009482,-119.35148401971585
-483.677009694806,-483.677009694806,-391.22235202908996,-388.2623755116775,-119.35148401971585
-458.5636915236578,-458.5636915236578,-375.99862298706313,-392.0597445355091,-119.35148401971585
-457.8940652483977,-457.8940652483977,-411.1815020730176,-397.18184239496804,-119.35148401971585
-507.4158337824154,-507.4158337824154,-377.05152021452835,-389.84921695487805,-119.35148401971585
-485.4125411997058,-485.4125411997058,-363.1622299179733,-383.2036087476748,-119.35148401971585
-504.7002815493255,-504.7002815493255,-392.2488746588022,-388.8947507775519,-119.35148401971585
-474.0162298864936,-474.0162298864936,-388.899363816063,-383.5860040558412,-119.35148401971585
-474.29322905702327,-474.29322905702327,-401.3867686308366,-390.43271384814375,-119.35148401971585
-475.7779676902558,-475.7779676902558,-399.6578334647861,-390.8369623454854,-119.35148401971585
-479.58572226573807,-479.58572226573807,-388.3594711276924,-387.4620565211212,-119.35148401971585
-468.25190190510637,-468.25190190510637,-391.74227943741266,-389.05326276752635,-119.35148401971585
-486.2457374999064,-486.2457374999064,-382.32693380465753,-389.896897706431,-119.35148401971585
-475.33492140599935,-475.33492140599935,-383.29897964984264,-394.1638287547234,-119.35148401971585
-472.91657434733776,-472.91657434733776,-388.9439563654564,-389.6566083188309,-119.35148401971585
-494.90059447730766,-494.90059447730766,-412.8282075201877,-389.37540015861504,-119.35148401971585
-494.54767707753285,-494.54767707753285,-409.18639254442996,-393.0359021585474,-119.35148401971585
-489.2506565967017,-489.2506565967017,-410.84559489081664,-389.0379222228363,-119.35148401971585
-480.67509443634697,-480.67509443634697,-383.30055609377064,-385.2364885546017,-119.35148401971585
-486.86453102909604,-486.86453102909604,-391.39010384641017,-384.78105957486076,-119.35148401971585
-442.95312245908843,-442.95312245908843,-418.8630373250533,-387.8954069000711,-119.35148401971585
-476.4534610746108,-476.4534610746108,-439.49456080656876,-397.6319667595021,-119.35148401971585
-460.75779204763523,-460.75779204763523,-456.5660962692822,-398.83207856463906,-119.35148401971585
-523.0142237344166,-523.0142237344166,-416.93514490823435,-398.7860295813821,-119.35148401971585
