epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,-476.9660296274154,-476.9660296274154,-476.9660296274154,0.0,1,2025-08-24T22:32:49.883350
1,-494.387348088393,-494.387348088393,-494.387348088393,0.0,1,2025-08-24T22:32:58.296084
2,-536.4759032749304,-536.4759032749304,-536.4759032749304,0.0,1,2025-08-24T22:33:06.855479
3,-587.9142768370058,-587.9142768370058,-587.9142768370058,0.0,1,2025-08-24T22:33:15.364709
4,-634.9685501140758,-634.9685501140758,-634.9685501140758,0.0,1,2025-08-24T22:33:23.814018
5,-524.8699189836769,-524.8699189836769,-524.8699189836769,0.0,1,2025-08-24T22:33:31.756213
6,-652.7271720753895,-652.7271720753895,-652.7271720753895,0.0,1,2025-08-24T22:33:40.334732
7,-245.45868625477522,-245.45868625477522,-245.45868625477522,0.0,1,2025-08-24T22:33:48.889574
8,-510.2834048234607,-510.2834048234607,-510.2834048234607,0.0,1,2025-08-24T22:33:57.439683
9,-204.1314063488481,-204.1314063488481,-204.1314063488481,0.0,1,2025-08-24T22:34:05.981011
10,-373.90122234675584,-373.90122234675584,-373.90122234675584,0.0,1,2025-08-24T22:34:14.095644
11,-244.51069282405086,-244.51069282405086,-244.51069282405086,0.0,1,2025-08-24T22:34:22.635579
12,-486.68675898839604,-486.68675898839604,-486.68675898839604,0.0,1,2025-08-24T22:34:31.147810
13,-319.75109091028827,-319.75109091028827,-319.75109091028827,0.0,1,2025-08-24T22:34:39.446042
14,-569.1871939073126,-569.1871939073126,-569.1871939073126,0.0,1,2025-08-24T22:34:48.010864
15,-558.7780334847794,-558.7780334847794,-558.7780334847794,0.0,1,2025-08-24T22:34:56.104417
16,-656.4320943883207,-656.4320943883207,-656.4320943883207,0.0,1,2025-08-24T22:35:04.370778
17,-228.7407334242029,-228.7407334242029,-228.7407334242029,0.0,1,2025-08-24T22:35:12.934678
18,-515.0756768677716,-515.0756768677716,-515.0756768677716,0.0,1,2025-08-24T22:35:21.444389
19,-800.8777109348916,-800.8777109348916,-800.8777109348916,0.0,1,2025-08-24T22:35:29.926388
20,-833.2679489395462,-833.2679489395462,-833.2679489395462,0.0,1,2025-08-24T22:35:38.672108
21,-543.7987155100948,-543.7987155100948,-543.7987155100948,0.0,1,2025-08-24T22:35:46.683692
22,-280.1715178469666,-280.1715178469666,-280.1715178469666,0.0,1,2025-08-24T22:35:55.252079
23,-446.86800978495,-446.86800978495,-446.86800978495,0.0,1,2025-08-24T22:36:03.761536
24,-498.6309324742045,-498.6309324742045,-498.6309324742045,0.0,1,2025-08-24T22:36:12.299013
