epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,-613.738611968535,-613.738611968535,-613.738611968535,0.0,1,2025-08-05T11:03:29.135729
1,-476.0214024789999,-476.0214024789999,-476.0214024789999,0.0,1,2025-08-05T11:03:31.527856
2,-638.4332491008968,-638.4332491008968,-638.4332491008968,0.0,1,2025-08-05T11:03:34.052246
3,-341.6444850361282,-341.6444850361282,-341.6444850361282,0.0,1,2025-08-05T11:03:36.842441
4,-474.62801649764026,-474.62801649764026,-474.62801649764026,0.0,1,2025-08-05T11:03:39.747790
5,-347.8148591420342,-347.8148591420342,-347.8148591420342,0.0,1,2025-08-05T11:03:42.664120
6,-505.2440365786597,-505.2440365786597,-505.2440365786597,0.0,1,2025-08-05T11:03:45.561484
7,-555.7683781352854,-555.7683781352854,-555.7683781352854,0.0,1,2025-08-05T11:03:48.458886
8,-553.7363673342369,-553.7363673342369,-553.7363673342369,0.0,1,2025-08-05T11:03:51.606294
9,-321.930937198525,-321.930937198525,-321.930937198525,0.0,1,2025-08-05T11:03:54.911753
10,-561.1681924499744,-561.1681924499744,-561.1681924499744,0.0,1,2025-08-05T11:03:58.605247
11,-284.9168036120761,-284.9168036120761,-284.9168036120761,0.0,1,2025-08-05T11:04:01.967924
12,-489.4496682847438,-489.4496682847438,-489.4496682847438,0.0,1,2025-08-05T11:04:05.334465
13,-345.1269064485299,-345.1269064485299,-345.1269064485299,0.0,1,2025-08-05T11:04:08.624350
14,-291.0364217972518,-291.0364217972518,-291.0364217972518,0.0,1,2025-08-05T11:04:11.947784
15,-649.3531479751001,-649.3531479751001,-649.3531479751001,0.0,1,2025-08-05T11:04:15.286509
16,-523.4537653676737,-523.4537653676737,-523.4537653676737,0.0,1,2025-08-05T11:04:18.659345
17,-324.6022313009861,-324.6022313009861,-324.6022313009861,0.0,1,2025-08-05T11:04:22.023483
18,-551.8226422645037,-551.8226422645037,-551.8226422645037,0.0,1,2025-08-05T11:04:25.380812
19,-573.7740360443813,-573.7740360443813,-573.7740360443813,0.0,1,2025-08-05T11:04:28.742736
20,-660.9133992971175,-660.9133992971175,-660.9133992971175,0.0,1,2025-08-05T11:04:32.425499
21,-555.7683781352854,-555.7683781352854,-555.7683781352854,0.0,1,2025-08-05T11:04:34.582843
22,-206.56769519279624,-206.56769519279624,-206.56769519279624,0.0,1,2025-08-05T11:04:36.915991
23,-345.860958235677,-345.860958235677,-345.860958235677,0.0,1,2025-08-05T11:04:40.257099
24,-558.4030636941235,-558.4030636941235,-558.4030636941235,0.0,1,2025-08-05T11:04:43.578593
