Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-512.2387575847839,-512.2387575847839,-493.0063764108409,-493.0063764108409,-493.0063764108409
-535.083592390882,-535.083592390882,-566.4361432416906,-566.4361432416906,-493.0063764108409
-503.3880979280202,-503.3880979280202,-553.3437019596321,-553.3437019596321,-493.0063764108409
-472.8937711266127,-472.8937711266127,-530.9443316510833,-530.9443316510833,-463.746220725437
-483.8738377995498,-483.8738377995498,-554.3924612552646,-554.3924612552646,-463.746220725437
-524.6036282489811,-524.6036282489811,-570.0245476580521,-570.0245476580521,-463.746220725437
-495.3971348310053,-495.3971348310053,-562.6544533189256,-562.6544533189256,-463.746220725437
-476.331884170384,-476.331884170384,-572.3058854131274,-572.3058854131274,-463.746220725437
-539.835874168882,-539.835874168882,-567.4570586373688,-567.4570586373688,-463.746220725437
-515.1086770382698,-515.1086770382698,-563.1914043483847,-563.1914043483847,-463.746220725437
-524.5035969735087,-524.5035969735087,-577.8773577145548,-570.1618139596717,-463.746220725437
-526.7255167811478,-526.7255167811478,-566.0415365323695,-566.1073043172563,-463.746220725437
-518.1118322653479,-518.1118322653479,-586.6736815346064,-578.9821477865355,-463.746220725437
-534.525396201632,-534.525396201632,-592.5090556073438,-574.9191344769837,-463.746220725437
-508.12339257253524,-508.12339257253524,-591.6771486473988,-579.2489195166875,-463.746220725437
-493.05720968880314,-493.05720968880314,-588.4796536269524,-581.5589888886149,-463.746220725437
-484.34488708425886,-484.34488708425886,-601.4547628657349,-585.4781648170487,-463.746220725437
-518.9987851317524,-518.9987851317524,-602.2866698256798,-588.9618767534342,-463.746220725437
-535.6031410506882,-535.6031410506882,-612.2876307530785,-591.0520965930054,-463.746220725437
-501.48228272744933,-501.48228272744933,-577.0284842948836,-570.1099443216341,-172.2090511655785
-534.8990115367828,-534.8990115367828,-577.8603912548285,-573.8278031478415,-172.2090511655785
-500.0629125321112,-500.0629125321112,-619.8125079783255,-590.518760526833,-172.2090511655785
-527.6314971904427,-527.6314971904427,-611.2829790037359,-593.0259874461877,-172.2090511655785
-536.499327019355,-536.499327019355,-611.7888647980064,-590.2815221107431,-172.2090511655785
