epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,-613.738611968535,-613.738611968535,-613.738611968535,0.0,1,2025-08-05T11:03:16.164475
1,-477.52764440359664,-477.52764440359664,-477.52764440359664,0.0,1,2025-08-05T11:03:20.965551
2,-505.2440365786597,-505.2440365786597,-505.2440365786597,0.0,1,2025-08-05T11:03:25.745591
3,-569.4036335202967,-569.4036335202967,-569.4036335202967,0.0,1,2025-08-05T11:03:30.608076
4,-500.84544026780316,-500.84544026780316,-500.84544026780316,0.0,1,2025-08-05T11:03:35.341996
5,-569.4036335202967,-569.4036335202967,-569.4036335202967,0.0,1,2025-08-05T11:03:40.899285
6,-569.4036335202967,-569.4036335202967,-569.4036335202967,0.0,1,2025-08-05T11:03:46.592668
7,-216.695489124242,-216.695489124242,-216.695489124242,0.0,1,2025-08-05T11:03:52.700053
8,-481.41527948279156,-481.41527948279156,-481.41527948279156,0.0,1,2025-08-05T11:03:59.170451
9,-572.8471324649299,-572.8471324649299,-572.8471324649299,0.0,1,2025-08-05T11:04:05.877487
10,-573.7740360443813,-573.7740360443813,-573.7740360443813,0.0,1,2025-08-05T11:04:12.910729
11,-569.4036335202967,-569.4036335202967,-569.4036335202967,0.0,1,2025-08-05T11:04:19.601856
12,-573.7740360443813,-573.7740360443813,-573.7740360443813,0.0,1,2025-08-05T11:04:26.292247
13,-569.4036335202967,-569.4036335202967,-569.4036335202967,0.0,1,2025-08-05T11:04:32.923436
14,-569.4036335202967,-569.4036335202967,-569.4036335202967,0.0,1,2025-08-05T11:04:36.778189
15,-687.0155382945185,-687.0155382945185,-687.0155382945185,0.0,1,2025-08-05T11:04:43.405647
16,-328.0481959373685,-328.0481959373685,-328.0481959373685,0.0,1,2025-08-05T11:04:50.075567
17,-477.52764440359664,-477.52764440359664,-477.52764440359664,0.0,1,2025-08-05T11:04:56.681617
18,-831.2127212978855,-831.2127212978855,-831.2127212978855,0.0,1,2025-08-05T11:05:03.152015
19,-457.21997686863733,-457.21997686863733,-457.21997686863733,0.0,1,2025-08-05T11:05:09.910963
20,-687.0155382945185,-687.0155382945185,-687.0155382945185,0.0,1,2025-08-05T11:05:16.950061
21,-166.24783144194691,-166.24783144194691,-166.24783144194691,0.0,1,2025-08-05T11:05:23.616648
22,-573.7740360443813,-573.7740360443813,-573.7740360443813,0.0,1,2025-08-05T11:05:30.338798
23,-687.0155382945185,-687.0155382945185,-687.0155382945185,0.0,1,2025-08-05T11:05:36.667018
24,-325.7211606620058,-325.7211606620058,-325.7211606620058,0.0,1,2025-08-05T11:05:40.692076
