epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,-539.5421343317618,-539.5421343317618,-539.5421343317618,0.0,1,2025-08-24T23:12:46.958770
1,-504.72102452355136,-504.72102452355136,-504.72102452355136,0.0,1,2025-08-24T23:13:01.094832
2,-455.8512420545933,-455.8512420545933,-455.8512420545933,0.0,1,2025-08-24T23:13:15.830119
3,-481.39294221782126,-481.39294221782126,-481.39294221782126,0.0,1,2025-08-24T23:13:30.436100
4,-498.30321957375867,-498.30321957375867,-498.30321957375867,0.0,1,2025-08-24T23:13:45.100158
5,-454.17030761291886,-454.17030761291886,-454.17030761291886,0.0,1,2025-08-24T23:13:59.774241
6,-489.40727794629765,-489.40727794629765,-489.40727794629765,0.0,1,2025-08-24T23:14:14.383952
7,-481.39294221782126,-481.39294221782126,-481.39294221782126,0.0,1,2025-08-24T23:14:28.813729
8,-458.329018707223,-458.329018707223,-458.329018707223,0.0,1,2025-08-24T23:14:42.585700
9,-498.15036299083283,-498.15036299083283,-498.15036299083283,0.0,1,2025-08-24T23:14:57.112011
10,-497.8085661437354,-497.8085661437354,-497.8085661437354,0.0,1,2025-08-24T23:15:11.350734
11,-416.940337766638,-416.940337766638,-416.940337766638,0.0,1,2025-08-24T23:15:25.962187
12,-481.39294221782126,-481.39294221782126,-481.39294221782126,0.0,1,2025-08-24T23:15:40.377554
13,-487.2503431678462,-487.2503431678462,-487.2503431678462,0.0,1,2025-08-24T23:15:55.101528
14,-468.0740686097977,-468.0740686097977,-468.0740686097977,0.0,1,2025-08-24T23:16:09.102786
15,-461.51579035011673,-461.51579035011673,-461.51579035011673,0.0,1,2025-08-24T23:16:23.636520
16,-390.7451591885226,-390.7451591885226,-390.7451591885226,0.0,1,2025-08-24T23:16:37.868919
17,-494.3402476177473,-494.3402476177473,-494.3402476177473,0.0,1,2025-08-24T23:16:52.540022
18,-460.1790111076564,-460.1790111076564,-460.1790111076564,0.0,1,2025-08-24T23:17:06.603369
19,-436.17284327236996,-436.17284327236996,-436.17284327236996,0.0,1,2025-08-24T23:17:21.221895
20,-454.17030761291886,-454.17030761291886,-454.17030761291886,0.0,1,2025-08-24T23:17:35.574671
21,-474.4445191099569,-474.4445191099569,-474.4445191099569,0.0,1,2025-08-24T23:17:50.243390
22,-494.3402476177473,-494.3402476177473,-494.3402476177473,0.0,1,2025-08-24T23:18:03.715082
23,-481.27190207597164,-481.27190207597164,-481.27190207597164,0.0,1,2025-08-24T23:18:18.432775
24,-446.1785352189962,-446.1785352189962,-446.1785352189962,0.0,1,2025-08-24T23:18:32.299544
