epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,-528.8147307065163,-528.8147307065163,-528.8147307065163,0.0,1,2025-08-25T07:45:59.156288
1,-406.63144477080107,-406.63144477080107,-406.63144477080107,0.0,1,2025-08-25T07:46:12.395051
2,-459.6848971958555,-459.6848971958555,-459.6848971958555,0.0,1,2025-08-25T07:46:25.485135
3,-430.1695899364096,-430.1695899364096,-430.1695899364096,0.0,1,2025-08-25T07:46:38.525227
4,-453.311252336511,-453.311252336511,-453.311252336511,0.0,1,2025-08-25T07:46:51.536023
5,-431.3141501945455,-431.3141501945455,-431.3141501945455,0.0,1,2025-08-25T07:47:04.656975
6,-465.62014146329443,-465.62014146329443,-465.62014146329443,0.0,1,2025-08-25T07:47:17.746033
7,-363.54892774336116,-363.54892774336116,-363.54892774336116,0.0,1,2025-08-25T07:47:30.885042
8,-458.0147040499284,-458.0147040499284,-458.0147040499284,0.0,1,2025-08-25T07:47:43.934864
9,-450.37225949825614,-450.37225949825614,-450.37225949825614,0.0,1,2025-08-25T07:47:56.969245
10,-421.7370381409936,-421.7370381409936,-421.7370381409936,0.0,1,2025-08-25T07:48:10.360704
11,-462.43620250335505,-462.43620250335505,-462.43620250335505,0.0,1,2025-08-25T07:48:23.388622
12,-454.42653786966264,-454.42653786966264,-454.42653786966264,0.0,1,2025-08-25T07:48:36.514444
13,-466.8000913185532,-466.8000913185532,-466.8000913185532,0.0,1,2025-08-25T07:48:49.579209
14,-471.62928891181315,-471.62928891181315,-471.62928891181315,0.0,1,2025-08-25T07:49:02.630242
15,-468.63683155519345,-468.63683155519345,-468.63683155519345,0.0,1,2025-08-25T07:49:15.849378
16,-439.9422584336135,-439.9422584336135,-439.9422584336135,0.0,1,2025-08-25T07:49:28.936759
17,-451.94556171323404,-451.94556171323404,-451.94556171323404,0.0,1,2025-08-25T07:49:42.103991
18,-426.9759568580095,-426.9759568580095,-426.9759568580095,0.0,1,2025-08-25T07:49:55.182401
19,-438.3099830858968,-438.3099830858968,-438.3099830858968,0.0,1,2025-08-25T07:50:08.298439
20,-425.3730076113292,-425.3730076113292,-425.3730076113292,0.0,1,2025-08-25T07:50:21.738922
21,-447.2520404431982,-447.2520404431982,-447.2520404431982,0.0,1,2025-08-25T07:50:34.861455
22,-471.392666211686,-471.392666211686,-471.392666211686,0.0,1,2025-08-25T07:50:47.977670
23,-431.9081416351393,-431.9081416351393,-431.9081416351393,0.0,1,2025-08-25T07:51:00.957619
24,-421.0316443434728,-421.0316443434728,-421.0316443434728,0.0,1,2025-08-25T07:51:14.110298
