Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-443.56589963330765,-443.56589963330765,-528.8147307065163,-528.8147307065163,-528.8147307065163
-445.79564054378915,-445.79564054378915,-467.7230877386587,-467.7230877386587,-406.63144477080107
-444.17677435701233,-444.17677435701233,-465.0436908910576,-465.0436908910576,-406.63144477080107
-449.0188281592688,-449.0188281592688,-456.32516565239564,-456.32516565239564,-406.63144477080107
-444.75396415330675,-444.75396415330675,-455.7223829892188,-455.7223829892188,-406.63144477080107
-454.4432196024587,-454.4432196024587,-451.65434419010654,-451.65434419010654,-406.63144477080107
-440.7708383906478,-440.7708383906478,-453.64945808627624,-453.64945808627624,-406.63144477080107
-455.722666481106,-455.722666481106,-442.38689179341185,-442.38689179341185,-363.54892774336116
-447.3889496575624,-447.3889496575624,-444.1233153774692,-444.1233153774692,-363.54892774336116
-447.1617898372795,-447.1617898372795,-444.74820978954796,-444.74820978954796,-363.54892774336116
-447.67638340255127,-447.67638340255127,-434.0404405329956,-442.6562850942248,-363.54892774336116
-448.00755512761646,-448.00755512761646,-439.6209163062511,-444.3046115449857,-363.54892774336116
-446.47998454981513,-446.47998454981513,-439.09508037363173,-445.0832212622685,-363.54892774336116
-448.63034449152195,-448.63034449152195,-442.75813051184616,-446.63442626628887,-363.54892774336116
-450.4504012540419,-450.4504012540419,-444.58993416937636,-448.30075044265715,-363.54892774336116
-453.5574610346289,-453.5574610346289,-448.32220230544107,-449.57175551219063,-363.54892774336116
-452.6762464714689,-452.6762464714689,-445.754414002473,-449.00531450756847,-363.54892774336116
-447.6596721350902,-447.6596721350902,-454.5940773994604,-449.1686615745499,-363.54892774336116
-439.4878338985282,-439.4878338985282,-451.49020268026845,-448.0006244842057,-363.54892774336116
-449.64486103572983,-449.64486103572983,-450.28397503903244,-447.51609241429026,-363.54892774336116
-449.1887731258921,-449.1887731258921,-450.64757198606605,-446.46165980462547,-363.54892774336116
-449.04912774385514,-449.04912774385514,-449.1291557800504,-446.49758619728783,-363.54892774336116
-440.59760632922246,-440.59760632922246,-450.82576861425275,-447.5799809805226,-363.54892774336116
-446.5887203152659,-446.5887203152659,-447.33657364591136,-446.9269876744649,-363.54892774336116
-443.3421207890374,-443.3421207890374,-442.27680918907726,-445.8911739412252,-363.54892774336116
-453.3946900181862,-453.3946900181862,-445.93319759967187,-448.1723101612219,-363.54892774336116
-442.60671144936225,-442.60671144936225,-448.9693937439366,-448.9920105210382,-363.54892774336116
-445.95689120830616,-445.95689120830616,-450.63411311953297,-449.6920371263296,-363.54892774336116
-449.6925881475605,-449.6925881475605,-453.02871465825154,-449.73444868215256,-363.54892774336116
-448.05261157791125,-448.05261157791125,-455.0613598628991,-450.0311815638266,-363.54892774336116
-446.3261731402703,-446.3261731402703,-453.40859002121636,-448.7026050357838,-363.54892774336116
-448.3242886960816,-448.3242886960816,-452.39719390248445,-448.3412136051618,-363.54892774336116
-445.7438269619802,-445.7438269619802,-452.2800306789445,-449.0042384648928,-363.54892774336116
