epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,-378.36405624268724,-378.36405624268724,-378.36405624268724,0.0,1,2025-08-25T07:45:59.088731
1,-391.02364248314336,-391.02364248314336,-391.02364248314336,0.0,1,2025-08-25T07:46:04.801587
2,-386.77183220400053,-386.77183220400053,-386.77183220400053,0.0,1,2025-08-25T07:46:10.489828
3,-418.92379767093945,-418.92379767093945,-418.92379767093945,0.0,1,2025-08-25T07:46:16.098144
4,-428.15662268523965,-428.15662268523965,-428.15662268523965,0.0,1,2025-08-25T07:46:21.738036
5,-356.846179601129,-356.846179601129,-356.846179601129,0.0,1,2025-08-25T07:46:27.377609
6,-431.29306702750546,-431.29306702750546,-431.29306702750546,0.0,1,2025-08-25T07:46:32.985705
7,-399.0738887605705,-399.0738887605705,-399.0738887605705,0.0,1,2025-08-25T07:46:38.654208
8,-415.88197782669994,-415.88197782669994,-415.88197782669994,0.0,1,2025-08-25T07:46:44.298821
9,-412.16172388841807,-412.16172388841807,-412.16172388841807,0.0,1,2025-08-25T07:46:49.916898
10,-408.75264267467037,-408.75264267467037,-408.75264267467037,0.0,1,2025-08-25T07:46:55.839436
11,-399.31478456856826,-399.31478456856826,-399.31478456856826,0.0,1,2025-08-25T07:47:01.488328
12,-411.65218879535195,-411.65218879535195,-411.65218879535195,0.0,1,2025-08-25T07:47:07.143652
13,-366.2132657361372,-366.2132657361372,-366.2132657361372,0.0,1,2025-08-25T07:47:12.774661
14,-431.37188789703555,-431.37188789703555,-431.37188789703555,0.0,1,2025-08-25T07:47:18.442795
15,-426.235194300034,-426.235194300034,-426.235194300034,0.0,1,2025-08-25T07:47:24.094124
16,-395.3629325081058,-395.3629325081058,-395.3629325081058,0.0,1,2025-08-25T07:47:29.735308
17,-422.2120027841874,-422.2120027841874,-422.2120027841874,0.0,1,2025-08-25T07:47:35.409744
18,-421.01245468388834,-421.01245468388834,-421.01245468388834,0.0,1,2025-08-25T07:47:41.047036
19,-441.45829870280147,-441.45829870280147,-441.45829870280147,0.0,1,2025-08-25T07:47:46.661434
20,-448.92901836202924,-448.92901836202924,-448.92901836202924,0.0,1,2025-08-25T07:47:52.701159
21,-368.327292639252,-368.327292639252,-368.327292639252,0.0,1,2025-08-25T07:47:58.340915
22,-323.51118070176256,-323.51118070176256,-323.51118070176256,0.0,1,2025-08-25T07:48:04.097527
23,-403.19772825112665,-403.19772825112665,-403.19772825112665,0.0,1,2025-08-25T07:48:09.817594
24,-368.56812040940474,-368.56812040940474,-368.56812040940474,0.0,1,2025-08-25T07:48:15.552103
