Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-397.8786742607595,-397.8786742607595,-378.36405624268724,-378.36405624268724,-378.36405624268724
-385.1275723976261,-385.1275723976261,-384.69384936291533,-384.69384936291533,-378.36405624268724
-394.7800480945033,-394.7800480945033,-385.38651030994373,-385.38651030994373,-378.36405624268724
-396.61751416043336,-396.61751416043336,-393.77083215019263,-393.77083215019263,-378.36405624268724
-392.5547236202783,-392.5547236202783,-400.647990257202,-400.647990257202,-378.36405624268724
-394.92327949965687,-394.92327949965687,-393.34768848118983,-393.34768848118983,-356.846179601129
-391.66894064402567,-391.66894064402567,-398.7684568449492,-398.7684568449492,-356.846179601129
-388.6949534863675,-388.6949534863675,-398.8066358344019,-398.8066358344019,-356.846179601129
-392.7403616256088,-392.7403616256088,-400.7038960557683,-400.7038960557683,-356.846179601129
-383.7724511950058,-383.7724511950058,-401.84967883903334,-401.84967883903334,-356.846179601129
-393.22022776625136,-393.22022776625136,-404.8885374822317,-402.4772210059094,-356.846179601129
-392.30148309194914,-392.30148309194914,-405.7176516907742,-402.21368463613095,-356.846179601129
-392.0159018331212,-392.0159018331212,-408.2056873499092,-402.9397234176095,-356.846179601129
-395.4795732828541,-395.4795732828541,-402.93463415642907,-400.3164050117901,-356.846179601129
-388.75410833385604,-388.75410833385604,-403.25616067760865,-402.3867705374731,-356.846179601129
-390.111336791012,-390.111336791012,-410.1950621474992,-403.8772970226331,-356.846179601129
-392.14720553424655,-392.14720553424655,-406.6020486955592,-403.3764520511903,-356.846179601129
-388.9966240591359,-388.9966240591359,-408.9158600979208,-404.4228715363568,-356.846179601129
-389.1301014018012,-389.1301014018012,-409.42890778363966,-405.29600749149006,-356.846179601129
-392.20585552993697,-392.20585552993697,-412.358565265078,-407.10412205205563,-356.846179601129
-392.31066692338027,-392.31066692338027,-416.3762028338139,-409.095783781102,-356.846179601129
-391.9567447649312,-391.9567447649312,-413.2774536408823,-407.2426705473816,-356.846179601129
-393.8911374471273,-393.8911374471273,-404.46335283152337,-403.60217098887637,-323.51118070176256
-390.7075624783032,-390.7075624783032,-408.1617990830223,-403.5853192081368,-323.51118070176256
-392.4584542120024,-392.4584542120024,-401.88142233425924,-402.1846312561876,-323.51118070176256
-321.1494031534305,-321.1494031534305,-400.4862020060517,-402.5730297085634,-323.51118070176256
-288.18905537228545,-288.18905537228545,-390.6480245504647,-398.6622196435142,-296.9811579522351
-275.9533237917504,-275.9533237917504,-375.55772430764836,-394.1138903832467,-271.30900035602485
-285.8602171376198,-285.8602171376198,-359.24961441416735,-389.417940913103,-257.93135574907876
-282.47085878702273,-282.47085878702273,-341.86037203585494,-385.3562053799888,-257.93135574907876
-279.20302585599114,-279.20302585599114,-324.93573714427873,-381.94738164019134,-257.93135574907876
-280.2053080426482,-280.2053080426482,-314.58051373901026,-378.2857465447655,-257.93135574907876
-275.9179597197424,-275.9179597197424,-308.07025722385646,-374.6531062115976,-257.93135574907876
-282.29080309469447,-282.29080309469447,-292.7761001907262,-370.99437243831017,-250.2561579198239
-279.57418263119143,-279.57418263119143,-289.30576386500707,-369.9335262872789,-250.2561579198239
-280.44538076028005,-280.44538076028005,-278.8104853508853,-368.1945451647639,-250.2561579198239
-274.7305427347547,-274.7305427347547,-277.96410880881376,-366.04110860710864,-250.2561579198239
-278.7886560332046,-278.7886560332046,-274.7502890424732,-362.702416346201,-239.1708026926191
-273.960666849723,-273.960666849723,-276.1637233380769,-360.3783979451475,-239.1708026926191
-279.24840983225556,-279.24840983225556,-283.1436987085209,-359.8030787121218,-239.1708026926191
-271.5266266881908,-271.5266266881908,-285.3561484542343,-358.3885442777628,-239.1708026926191
-272.17410905052867,-272.17410905052867,-283.99961964800207,-355.8366687122028,-239.1708026926191
-277.51985090947767,-277.51985090947767,-284.506262955893,-353.6887240591082,-239.1708026926191
-271.6134865067441,-271.6134865067441,-284.53132239252284,-351.34367924608574,-239.1708026926191
-277.30743058378584,-277.30743058378584,-271.1810446450976,-347.9885303667941,-200.36197967796164
-277.3211367774946,-277.3211367774946,-274.6702379320942,-347.86317402722705,-200.36197967796164
-274.894770835699,-274.894770835699,-276.2293843657215,-346.9322311089412,-200.36197967796164
-274.3406163481653,-274.3406163481653,-281.14193265087425,-345.7106489096746,-200.36197967796164
-270.96033816316907,-270.96033816316907,-281.34132509910717,-344.2483830786087,-200.36197967796164
-278.3407322448008,-278.3407322448008,-270.52568612290827,-341.94760019427906,-200.36197967796164
-269.7285658587841,-269.7285658587841,-266.7137545201873,-339.6540760869492,-200.36197967796164
-280.58777103292505,-280.58777103292505,-268.9852216066212,-337.3120920650579,-200.36197967796164
-276.5364236178134,-276.5364236178134,-264.71130646193143,-333.9913733646227,-200.36197967796164
-273.4467228932746,-273.4467228932746,-261.2987733437275,-329.9405258332855,-200.36197967796164
-272.1100565368531,-272.1100565368531,-266.3613653068648,-326.3971513657675,-200.36197967796164
-275.85355287993616,-275.85355287993616,-261.5917088932529,-325.15073926595664,-200.36197967796164
-276.5102522149446,-276.5102522149446,-259.3189281986787,-322.15249892384753,-200.36197967796164
