Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
-485.09517584501873,-485.09517584501873,-494.1610899697419,-494.1610899697419,-494.1610899697419
-469.2458366452977,-469.2458366452977,-446.83134490464914,-446.83134490464914,-399.5015998395564
-473.5168851755916,-473.5168851755916,-517.4064364325637,-517.4064364325637,-399.5015998395564
-481.2170418025142,-481.2170418025142,-410.3812626156329,-410.3812626156329,-89.30574116484044
-464.30402712148054,-464.30402712148054,-399.2844442411838,-399.2844442411838,-89.30574116484044
-492.1936414661598,-492.1936414661598,-398.07703082734616,-398.07703082734616,-89.30574116484044
Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
63162.176029129194,63162.176029129194,76429.45376532775,76429.45376532775,76429.45376532775
65176.762943730886,65176.762943730886,63034.382975097455,63034.382975097455,76429.45376532775
64225.642510914106,64225.642510914106,65518.04799335551,65518.04799335551,76429.45376532775
64751.37925005295,64751.37925005295,65768.08707461707,65768.08707461707,76429.45376532775
62953.829251151044,62953.829251151044,66512.03022516321,66512.03022516321,76429.45376532775
63461.897025303006,63461.897025303006,66178.55657022579,66178.55657022579,76429.45376532775
63937.20220619702,63937.20220619702,67642.91428846084,67642.91428846084,76429.45376532775
63240.40421218009,63240.40421218009,67996.65893106388,67996.65893106388,76429.45376532775
62766.44775573527,62766.44775573527,67059.09969925946,67059.09969925946,76429.45376532775
63729.44335080995,63729.44335080995,67201.5994624322,67201.5994624322,76429.45376532775
63678.92503051271,63678.92503051271,65812.69622220092,66777.85599884881,76429.45376532775
62727.2349097348,62727.2349097348,65911.15568928776,65431.69357025605,76429.45376532775
65069.64292867965,65069.64292867965,64719.14204226674,64903.504954056465,76429.45376532775
64126.760351191006,64126.760351191006,63328.735373206975,64025.69300218129,76429.45376532775
64691.65417310489,64691.65417310489,62435.21314540729,63794.152171992595,76429.45376532775
63074.2736062429,63074.2736062429,61740.71169094955,63404.90352067814,76429.45376532775
64334.172450608836,64334.172450608836,61641.83852636554,64112.869722522424,76429.45376532775
65039.21902751152,65039.21902751152,60153.50596794572,63639.351729331574,76429.45376532775
65079.3320376002,65079.3320376002,62040.82014546239,64417.89993410312,78431.76761999089
64293.599052928745,64293.599052928745,59562.33029734054,63381.96487988638,78431.76761999089
63819.19752271764,63819.19752271764,59363.489403297346,63247.20523906241,78431.76761999089
64174.745187545035,64174.745187545035,62043.85476473612,63891.766840474265,78431.76761999089
63757.77330278426,63757.77330278426,62638.67478418707,63918.79618454804,78431.76761999089
63640.020914256216,63640.020914256216,64623.473004147294,64274.76800300045,78431.76761999089
64890.33710406181,64890.33710406181,65515.15143438475,64482.55187694945,78431.76761999089
63967.82976197519,63967.82976197519,67204.19418230365,64866.169159764875,78431.76761999089
64474.09268498534,64474.09268498534,66212.06485927405,64890.349402800806,78431.76761999089
64660.74901820154,64660.74901820154,67900.13282603706,65161.05926386925,78431.76761999089
65289.30860467784,65289.30860467784,65813.90672844373,64899.28158732402,78431.76761999089
65595.42884996432,65595.42884996432,68193.72809448931,64985.88595142068,78431.76761999089
65108.449857352345,65108.449857352345,68986.3117334524,65098.52991467208,78431.76761999089
64067.97451233389,64067.97451233389,67201.47390814623,64926.05029912175,78431.76761999089
63151.65327858439,63151.65327858439,66607.66645463412,64733.60535730139,78431.76761999089
64167.52208505046,64167.52208505046,65417.466958365614,64610.85593104904,78431.76761999089
62041.1288785666,62041.1288785666,65617.23610256682,64806.74736998299,78431.76761999089
63580.9745273898,63580.9745273898,64325.58917132425,64716.008051864716,78431.76761999089
63351.76826308126,63351.76826308126,64125.12886668454,64683.53304168831,78431.76761999089
64076.49744656282,64076.49744656282,64621.17790235703,65018.98522136604,78431.76761999089
63559.85984424659,63559.85984424659,64820.45833200994,64879.07049621785,78431.76761999089
63768.74264474672,63768.74264474672,65516.918659014125,65118.644128319036,78431.76761999089
64731.96903892576,64731.96903892576,64925.53565171947,65056.3361920007,78431.76761999089
65228.29578048117,65228.29578048117,66215.41750994502,65233.0424921749,78431.76761999089
64017.79988467052,64017.79988467052,66512.51806255912,65147.30598643108,78431.76761999089
65077.70986173874,65077.70986173874,67402.30596057282,65245.276392304426,78431.76761999089
62399.93203891414,62399.93203891414,64723.68373448809,64788.28878431745,78431.76761999089
62438.78312111388,62438.78312111388,64725.32614777532,64718.03372488874,78431.76761999089
63956.65613535669,63956.65613535669,66216.36738680594,65009.66800873459,78431.76761999089
65177.52955887291,65177.52955887291,64429.28536385532,64896.13108438463,78431.76761999089
61545.70464061248,61545.70464061248,65718.83115719203,65050.450222947264,78431.76761999089
62577.48276863178,62577.48276863178,65122.70093847082,65119.4554903494,78431.76761999089
65297.69574982556,65297.69574982556,65020.88075901073,64821.782753936175,78431.76761999089
63619.80150492876,63619.80150492876,65517.51572236825,65377.88351889668,78431.76761999089
64572.80461338933,64572.80461338933,66012.21505461734,65298.04327965288,78431.76761999089
63858.216116268566,63858.216116268566,66315.090414896,65417.41434223773,78431.76761999089
66726.72135522924,66726.72135522924,69091.5579877138,65476.56848091216,78431.76761999089
64433.34564999963,64433.34564999963,70580.41738641926,65715.2477157544,78431.76761999089
64353.721283536506,64353.721283536506,69884.35310829968,65615.95054948593,78431.76761999089
64621.205230706,64621.205230706,70877.10260559355,65596.24093315772,78431.76761999089
63926.63926645474,63926.63926645474,70181.71615303439,65715.1465032285,78431.76761999089
62309.76872582012,62309.76872582012,70282.2422694474,65735.58405175245,78431.76761999089
62676.19804777066,62676.19804777066,71371.75487971507,65933.59448543901,78431.76761999089
64234.21381874277,64234.21381874277,69581.58195161798,66111.96877136272,78431.76761999089
64909.5820515085,64909.5820515085,68392.69090772574,66032.75305274468,78431.76761999089
65168.78999015633,65168.78999015633,67396.3158758309,66230.93044276252,78431.76761999089
66091.9202604651,66091.9202604651,66107.71733786451,66211.06931940358,78431.76761999089
64135.64352298623,64135.64352298623,64320.25166044955,66231.1557096544,78431.76761999089
64710.693452337924,64710.693452337924,64718.61519551645,66231.30588331613,78431.76761999089
64245.06189398942,64245.06189398942,64618.63875366328,66489.26749030124,78431.76761999089
63828.10891894239,63828.10891894239,65611.92843846226,66429.36816182848,78431.76761999089
63112.9984634525,63112.9984634525,65112.76655469417,66845.67130322318,78431.76761999089
63648.29094447082,63648.29094447082,64917.11414788844,67044.31943435722,78431.76761999089
65190.41650243272,65190.41650243272,64821.550512925605,66667.50792100062,78431.76761999089
64264.47530820639,64264.47530820639,64522.840673687846,66409.58623064484,78431.76761999089
64028.269703721424,64028.269703721424,65119.62464127563,66330.1607701882,78431.76761999089
64819.555502367875,64819.555502367875,64226.13695136011,65953.26642279865,78431.76761999089
65197.31943599015,65197.31943599015,64324.756505148645,65655.26817422341,78431.76761999089
62845.053248169264,62845.053248169264,63530.70119544947,65695.03315055121,78431.76761999089
63639.86542708381,63639.86542708381,63531.31674058172,65615.50427321017,78431.76761999089
63212.32403951284,63212.32403951284,63036.62682393713,65873.91218092713,78431.76761999089
62865.73783902005,62865.73783902005,62840.567719259634,65775.03922817724,78431.76761999089
65108.56241203049,65108.56241203049,61054.23491940253,65457.90407154724,78431.76761999089
63064.6415771617,63064.6415771617,60654.29628338042,65358.07239604745,78431.76761999089
64294.4700116175,64294.4700116175,61052.408197588775,65298.53457923576,78431.76761999089
64036.02560140867,64036.02560140867,60158.737317138424,65278.41484194275,78431.76761999089
63302.878963716794,63302.878963716794,62342.68193227802,65298.355588740895,78431.76761999089
63391.67823705913,63391.67823705913,63833.53645477867,65556.85763091428,78431.76761999089
64313.20798039671,64313.20798039671,65023.05976111698,65874.6193294377,79402.51760150865
63272.55334631195,63272.55334631195,63931.07074470209,65477.48284167919,79402.51760150865
63113.54284895475,63113.54284895475,63732.239261060975,65656.26836673735,79402.51760150865
64175.8311296342,64175.8311296342,64625.76477491341,65596.8084513571,79402.51760150865
64143.75524451414,64143.75524451414,66111.3628103765,65695.06950327866,79402.51760150865
63602.08948172121,63602.08948172121,66410.62121636569,65397.11313733159,79402.51760150865
64433.722226165904,64433.722226165904,67402.26615196506,65476.484197116944,79402.51760150865
64821.415581872614,64821.415581872614,67599.59913200088,65317.87347622836,79402.51760150865
62568.89101650885,62568.89101650885,65911.81510132457,65535.9818621082,79402.51760150865
63292.1148435684,63292.1148435684,65316.115974005916,65675.0155961604,79402.51760150865
62360.36193423272,62360.36193423272,64623.00527144237,65555.94690636499,79402.51760150865
64442.85499196451,64442.85499196451,65516.88724633362,65695.00321817485,79402.51760150865
64514.8931407063,64514.8931407063,64622.0663804485,65436.91541138865,79402.51760150865
63163.08337908367,63163.08337908367,65017.65257044664,65575.79877775225,79402.51760150865
65308.12556718394,65308.12556718394,63333.172561029045,65357.52786368231,79402.51760150865
62954.59317907927,62954.59317907927,64027.34410513233,65099.0788138844,79402.51760150865
64712.089836087915,64712.089836087915,63432.222747169144,64960.48573562731,79402.51760150865
63709.16161143465,63709.16161143465,64229.09056634582,64900.673506518324,79402.51760150865
65426.13197823095,65426.13197823095,64924.38474938475,64702.5472144424,79402.51760150865
62082.36245397895,62082.36245397895,65221.78842581533,64603.28980403962,79402.51760150865
63690.33574910129,63690.33574910129,63036.73581028057,64186.423446761175,79402.51760150865
64423.68824386587,64423.68824386587,61547.41683315771,63829.06606368769,79402.51760150865
65110.38855238352,65110.38855238352,63135.427853407644,64027.65775146331,79402.51760150865
63420.47835414627,63420.47835414627,60950.55424262422,63709.46117238761,79402.51760150865
63539.99573277859,63539.99573277859,62539.82684972449,63591.1422576842,79402.51760150865
