Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
29126.620921623147,29126.620921623147,18845.812255219033,18845.812255219033,18845.812255219033
29115.403272473537,29115.403272473537,21349.76067172051,21349.76067172051,23853.709088221985
28978.44132458317,28978.44132458317,22837.113739825636,22837.113739825636,25811.819876035883
28800.18629111242,28800.18629111242,24321.92175871314,24321.92175871314,28776.34581537565
28499.872375059545,28499.872375059545,25013.28827324067,25013.28827324067,28776.34581537565
29058.647542544455,29058.647542544455,25312.642121044013,25312.642121044013,28776.34581537565
28753.31453447381,28753.31453447381,25385.21375282871,25385.21375282871,28776.34581537565
28778.697475560137,28778.697475560137,25809.105260647077,25809.105260647077,28776.34581537565
28510.70075576104,28510.70075576104,26248.66174634179,26248.66174634179,29765.113631899487
29136.370892550258,29136.370892550258,26205.8599260613,26205.8599260613,29765.113631899487
28482.983256399635,28482.983256399635,26903.34305489309,26170.84025492272,29765.113631899487
28412.528857107824,28412.528857107824,27100.036500424576,26141.657195640568,29765.113631899487
28986.276758651737,28986.276758651737,27002.572144408932,26041.31251258202,29765.113631899487
29066.754208821738,29066.754208821738,26608.655194459316,25955.302784246123,29765.113631899487
28908.516443832563,28908.516443832563,26511.19083844367,26011.889983376004,29765.113631899487
28759.214370428763,28759.214370428763,26313.96733402554,25938.470379157472,29765.113631899487
29067.73251225796,29067.73251225796,26313.96733402554,25931.539388826848,29765.113631899487
28928.54598102014,28928.54598102014,26215.09055237316,26034.65264493935,29765.113631899487
29206.96490215763,29206.96490215763,25918.990266302644,26075.15044105803,29765.113631899487
28975.86341739376,28975.86341739376,26016.98468120493,26111.422303633117,29765.113631899487
29284.295822580632,29284.295822580632,26115.86146285731,26144.659877748716,29765.113631899487
28608.322531086364,28608.322531086364,26116.391521743946,26130.17279841483,29765.113631899487
29029.314217024144,29029.314217024144,26214.738244509692,26116.715004724487,29765.113631899487
28740.718973201216,28740.718973201216,26509.77841280693,26186.334296146455,29765.113631899487
28837.837337820452,28837.837337820452,26608.125135572674,26250.384044254668,29765.113631899487
29556.555770810854,29556.555770810854,27002.0420855223,26347.536420067016,29765.113631899487
29046.906565766567,29046.906565766567,27198.735531053786,26400.87129335534,29765.113631899487
28908.318356475793,28908.318356475793,27100.918867174674,26415.462010023388,29765.113631899487
29503.890066727035,29503.890066727035,27002.572144408932,26394.951028420404,29765.113631899487
28780.54224771486,28780.54224771486,26806.231006740905,26343.02520466904,29765.113631899487
29118.021715374674,29118.021715374674,26805.700947854268,26357.89893262147,29765.113631899487
