epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,51614.07158977621,51614.07158977621,51614.07158977621,0.0,1,2025-08-25T07:57:12.728406
1,59549.75239133996,59549.75239133996,59549.75239133996,0.0,1,2025-08-25T07:57:21.227870
2,36717.42034057787,36717.42034057787,36717.42034057787,0.0,1,2025-08-25T07:57:29.605688
3,59552.87643388599,59552.87643388599,59552.87643388599,0.0,1,2025-08-25T07:57:38.197612
4,41712.423253478686,41712.423253478686,41712.423253478686,0.0,1,2025-08-25T07:57:46.547388
5,47666.08303144231,47666.08303144231,47666.08303144231,0.0,1,2025-08-25T07:57:55.152446
6,36708.3586632198,36708.3586632198,36708.3586632198,0.0,1,2025-08-25T07:58:03.791235
7,57573.96234333266,57573.96234333266,57573.96234333266,0.0,1,2025-08-25T07:58:12.347864
8,35737.03775990403,35737.03775990403,35737.03775990403,0.0,1,2025-08-25T07:58:20.913363
9,43687.63101223139,43687.63101223139,43687.63101223139,0.0,1,2025-08-25T07:58:29.569174
10,50643.6218235808,50643.6218235808,50643.6218235808,0.0,1,2025-08-25T07:58:38.502867
11,42687.61020359242,42687.61020359242,42687.61020359242,0.0,1,2025-08-25T07:58:47.035601
12,43674.10027457387,43674.10027457387,43674.10027457387,0.0,1,2025-08-25T07:58:55.615939
13,38736.36761440343,38736.36761440343,38736.36761440343,0.0,1,2025-08-25T07:59:04.336137
14,41707.64599989026,41707.64599989026,41707.64599989026,0.0,1,2025-08-25T07:59:12.900360
15,52634.607525093175,52634.607525093175,52634.607525093175,0.0,1,2025-08-25T07:59:21.513432
16,37718.23140238475,37718.23140238475,37718.23140238475,0.0,1,2025-08-25T07:59:29.967657
17,38734.74291771893,38734.74291771893,38734.74291771893,0.0,1,2025-08-25T07:59:38.543574
18,48630.452638493225,48630.452638493225,48630.452638493225,0.0,1,2025-08-25T07:59:47.206368
19,47651.1605958038,47651.1605958038,47651.1605958038,0.0,1,2025-08-25T07:59:55.794868
20,45644.95835558624,45644.95835558624,45644.95835558624,0.0,1,2025-08-25T08:00:04.765347
21,45688.60522496202,45688.60522496202,45688.60522496202,0.0,1,2025-08-25T08:00:13.406374
22,55582.01843198815,55582.01843198815,55582.01843198815,0.0,1,2025-08-25T08:00:21.985974
23,50640.172652190886,50640.172652190886,50640.172652190886,0.0,1,2025-08-25T08:00:30.641353
24,48633.305578343025,48633.305578343025,48633.305578343025,0.0,1,2025-08-25T08:00:39.078657
