epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,41666.43258708222,41666.43258708222,41666.43258708222,0.0,1,2025-08-04T21:50:42.585839
1,38701.96925043202,38701.96925043202,38701.96925043202,0.0,1,2025-08-04T21:50:45.704055
2,44647.639187966415,44647.639187966415,44647.639187966415,0.0,1,2025-08-04T21:50:48.822440
3,46644.601018858884,46644.601018858884,46644.601018858884,0.0,1,2025-08-04T21:50:51.944885
4,43662.40896669551,43662.40896669551,43662.40896669551,0.0,1,2025-08-04T21:50:55.061496
5,44672.41439658752,44672.41439658752,44672.41439658752,0.0,1,2025-08-04T21:50:58.181827
6,42675.45895783097,42675.45895783097,42675.45895783097,0.0,1,2025-08-04T21:51:01.303565
7,46616.283491847404,46616.283491847404,46616.283491847404,0.0,1,2025-08-04T21:51:04.426898
8,43662.326862432856,43662.326862432856,43662.326862432856,0.0,1,2025-08-04T21:51:07.549295
9,47631.621105200604,47631.621105200604,47631.621105200604,0.0,1,2025-08-04T21:51:10.664695
10,49609.59972836447,49609.59972836447,49609.59972836447,0.0,1,2025-08-04T21:51:14.124361
11,48645.85933324623,48645.85933324623,48645.85933324623,0.0,1,2025-08-04T21:51:17.246981
12,41684.68071455731,41684.68071455731,41684.68071455731,0.0,1,2025-08-04T21:51:20.368677
13,45683.721978461246,45683.721978461246,45683.721978461246,0.0,1,2025-08-04T21:51:23.501809
14,42670.34511956995,42670.34511956995,42670.34511956995,0.0,1,2025-08-04T21:51:26.629180
15,50583.42822862379,50583.42822862379,50583.42822862379,0.0,1,2025-08-04T21:51:29.752933
16,46633.10242208789,46633.10242208789,46633.10242208789,0.0,1,2025-08-04T21:51:32.875749
17,51619.11243669699,51619.11243669699,51619.11243669699,0.0,1,2025-08-04T21:51:35.999234
18,45616.41770921892,45616.41770921892,45616.41770921892,0.0,1,2025-08-04T21:51:39.117037
19,48653.90673515079,48653.90673515079,48653.90673515079,0.0,1,2025-08-04T21:51:42.241731
20,42658.86167354198,42658.86167354198,42658.86167354198,0.0,1,2025-08-04T21:51:45.682959
21,42678.00345514635,42678.00345514635,42678.00345514635,0.0,1,2025-08-04T21:51:48.841549
22,47659.65989838856,47659.65989838856,47659.65989838856,0.0,1,2025-08-04T21:51:51.996975
23,46627.80033362685,46627.80033362685,46627.80033362685,0.0,1,2025-08-04T21:51:55.153603
24,41683.330491084016,41683.330491084016,41683.330491084016,0.0,1,2025-08-04T21:51:58.280987
