epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,59572.51546945404,59572.51546945404,59572.51546945404,0.0,1,2025-08-25T07:57:12.777039
1,47649.88022614298,47649.88022614298,47649.88022614298,0.0,1,2025-08-25T07:57:22.182556
2,45668.60478406699,45668.60478406699,45668.60478406699,0.0,1,2025-08-25T07:57:31.473221
3,42678.988495189355,42678.988495189355,42678.988495189355,0.0,1,2025-08-25T07:57:40.822363
4,41701.35453047694,41701.35453047694,41701.35453047694,0.0,1,2025-08-25T07:57:50.494339
5,47649.523690987844,47649.523690987844,47649.523690987844,0.0,1,2025-08-25T07:58:00.188771
6,60541.66471912197,60541.66471912197,60541.66471912197,0.0,1,2025-08-25T07:58:10.034889
7,54591.59673949791,54591.59673949791,54591.59673949791,0.0,1,2025-08-25T07:58:19.648862
8,60553.182191955384,60553.182191955384,60553.182191955384,0.0,1,2025-08-25T07:58:29.553217
9,51613.63747861148,51613.63747861148,51613.63747861148,0.0,1,2025-08-25T07:58:39.267668
10,51619.29167462293,51619.29167462293,51619.29167462293,0.0,1,2025-08-25T07:58:49.049489
11,56585.96684673339,56585.96684673339,56585.96684673339,0.0,1,2025-08-25T07:58:58.772980
12,45654.43996717702,45654.43996717702,45654.43996717702,0.0,1,2025-08-25T07:59:08.642563
13,51612.2287570705,51612.2287570705,51612.2287570705,0.0,1,2025-08-25T07:59:18.450923
14,45665.70261481339,45665.70261481339,45665.70261481339,0.0,1,2025-08-25T07:59:27.848824
15,45653.20482882252,45653.20482882252,45653.20482882252,0.0,1,2025-08-25T07:59:37.666516
16,57572.69187991253,57572.69187991253,57572.69187991253,0.0,1,2025-08-25T07:59:47.430900
17,51617.16201662796,51617.16201662796,51617.16201662796,0.0,1,2025-08-25T07:59:57.077015
18,63521.17024557725,63521.17024557725,63521.17024557725,0.0,1,2025-08-25T08:00:06.920707
19,51615.92689856311,51615.92689856311,51615.92689856311,0.0,1,2025-08-25T08:00:16.377922
20,59551.078607484815,59551.078607484815,59551.078607484815,0.0,1,2025-08-25T08:00:26.514536
21,49635.4260523836,49635.4260523836,49635.4260523836,0.0,1,2025-08-25T08:00:36.352933
22,45647.83161563848,45647.83161563848,45647.83161563848,0.0,1,2025-08-25T08:00:45.298992
23,57581.38185408377,57581.38185408377,57581.38185408377,0.0,1,2025-08-25T08:00:55.037204
24,46638.16612985772,46638.16612985772,46638.16612985772,0.0,1,2025-08-25T08:01:04.895303
