Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
53289.363098556,53289.363098556,59572.51546945404,59572.51546945404,59572.51546945404
52326.165156309326,52326.165156309326,53611.19784779851,53611.19784779851,59572.51546945404
53001.43034514245,53001.43034514245,50963.66682655467,50963.66682655467,59572.51546945404
52831.29969265815,52831.29969265815,48892.49724371334,48892.49724371334,59572.51546945404
52941.215997505366,52941.215997505366,47454.26870106606,47454.26870106606,59572.51546945404
52831.80887192029,52831.80887192029,47486.81119938635,47486.81119938635,59572.51546945404
51938.11089398522,51938.11089398522,49351.7902736343,49351.7902736343,60541.66471912197
53318.11097380593,53318.11097380593,50006.76608186725,50006.76608186725,60541.66471912197
53040.785310261046,53040.785310261046,51178.590094099265,51178.590094099265,60553.182191955384
53397.443131276246,53397.443131276246,51222.09483255049,51222.09483255049,60553.182191955384
52652.47456004906,52652.47456004906,50426.77245306737,51258.203636375256,60553.182191955384
52861.70367957724,52861.70367957724,51320.381115126416,51702.1839039051,60553.182191955384
51293.162056806876,51293.162056806876,51318.96463343742,51236.97283184909,60553.182191955384
53478.245545562066,53478.245545562066,52212.288659625534,51263.77682650776,60553.182191955384
53060.34254497053,53060.34254497053,52608.72346805917,50890.57187906147,60553.182191955384
52804.0895515517,52804.0895515517,52409.091581842644,50563.23643842153,60553.182191955384
53070.681423997,53070.681423997,52112.194297921706,50975.55734674453,60553.182191955384
53267.76973903338,53267.76973903338,51814.75082563471,51011.20205062695,60553.182191955384
53079.64325876181,53079.64325876181,52111.549630996895,51669.621429308536,63521.17024557725
53436.540788100225,53436.540788100225,52111.77857299206,51666.93670277127,63521.17024557725
52196.91237730911,52196.91237730911,52904.95726627824,52042.37203156715,63521.17024557725
54042.2163252737,54042.2163252737,52209.90318684327,51932.96539614972,63521.17024557725
53188.87022440371,53188.87022440371,52209.24235168941,51659.69871004053,63521.17024557725
53337.1053293914,53337.1053293914,52806.15766139074,51906.43550770901,63521.17024557725
52245.36264837454,52245.36264837454,52903.404012895175,51695.70473259495,63521.17024557725
52632.463377436994,52632.463377436994,52807.07260328521,51426.25034798449,63521.17024557725
51740.91229945277,51740.91229945277,53207.04773712463,51802.03526910753,63521.17024557725
39710.47679814041,39710.47679814041,52513.19962689055,51547.62975643538,63521.17024557725
39710.47679814041,39710.47679814041,50133.59567122605,51139.95737479734,63521.17024557725
39710.47679814041,39710.47679814041,48941.84710790132,50758.57350448128,63521.17024557725
39710.47679814041,39710.47679814041,46959.21402033603,50402.64364084744,63521.17024557725
39710.47679814041,39710.47679814041,45966.46938392356,50068.43539232905,63521.17024557725
39710.47679814041,39710.47679814041,45372.221487053714,49754.40258186271,63521.17024557725
39710.47679814041,39710.47679814041,43585.56955988038,49459.12199364177,63521.17024557725
39710.47679814041,39710.47679814041,42893.173389941025,49180.69577755097,63521.17024557725
39710.47679814041,39710.47679814041,42394.10675308977,48917.321571624845,63521.17024557725
39710.47679814041,39710.47679814041,40207.50270662068,48668.37781978676,63521.17024557725
39710.47679814041,39710.47679814041,39711.20978091598,48432.78239445658,63521.17024557725
39710.47679814041,39710.47679814041,39709.44654253045,48209.05716139557,63521.17024557725
39710.47679814041,39710.47679814041,39710.85693119167,47996.644361158884,63521.17024557725
39710.47679814041,39710.47679814041,39709.1239513578,47794.468106825574,63521.17024557725
39710.47679814041,39710.47679814041,39709.86774063834,47602.10976097412,63521.17024557725
39710.47679814041,39710.47679814041,39707.76910620574,47417.97619217504,63521.17024557725
39710.47679814041,39710.47679814041,39707.16448785285,47242.76801505338,63521.17024557725
39710.47679814041,39710.47679814041,39707.87104553876,47075.62361488159,63521.17024557725
39710.47679814041,39710.47679814041,39709.56965178692,46915.636371660075,63521.17024557725
39710.47679814041,39710.47679814041,39711.266018128284,46762.60935134879,63521.17024557725
39710.47679814041,39710.47679814041,39712.80553596433,46616.120548937375,63521.17024557725
39710.47679814041,39710.47679814041,39713.77338975824,46475.32577942877,63521.17024557725
39710.47679814041,39710.47679814041,39712.953326193376,46339.90615416578,63521.17024557725
39710.47679814041,39710.47679814041,39713.81369517079,45942.776277242054,63521.17024557725
39710.47679814041,39710.47679814041,39714.733172436725,45784.270919793664,63521.17024557725
39710.47679814041,39710.47679814041,39716.24700555736,45664.88891678873,63521.17024557725
39710.47679814041,39710.47679814041,39716.09156976249,45605.454387702404,63521.17024557725
39710.47679814041,39710.47679814041,39714.76692213691,45565.587767714205,63521.17024557725
39710.47679814041,39710.47679814041,39715.06082249143,45406.98028249919,63521.17024557725
39710.47679814041,39710.47679814041,39714.24984538924,44990.45212103692,63521.17024557725
39710.47679814041,39710.47679814041,39713.113581186335,44693.01587011839,63521.17024557725
39710.47679814041,39710.47679814041,39713.03779739664,44276.28060638166,63521.17024557725
39710.47679814041,39710.47679814041,39714.13462381175,44038.314112418026,63521.17024557725
39710.47679814041,39710.47679814041,39714.26870550665,43800.27552772989,63521.17024557725
39710.47679814041,39710.47679814041,39713.470231207604,43462.888743009906,63521.17024557725
39710.47679814041,39710.47679814041,39714.421074148966,43343.98020493104,63521.17024557725
39710.47679814041,39710.47679814041,39714.019922194646,43105.80064021622,63521.17024557725
39710.47679814041,39710.47679814041,39714.07237469215,42986.6575490408,63521.17024557725
39710.47679814041,39710.47679814041,39713.08181465569,42867.7783290618,63521.17024557725
39710.47679814041,39710.47679814041,39712.2851704879,42510.47029555014,63521.17024557725
39710.47679814041,39710.47679814041,39711.772628105806,42272.420230612595,63521.17024557725
39710.47679814041,39710.47679814041,39711.48896767029,41796.26847371633,63521.17024557725
39710.47679814041,39710.47679814041,39711.6368971942,41558.28577725846,63521.17024557725
39710.47679814041,39710.47679814041,39710.470165534956,41161.378107581244,63521.17024557725
39710.47679814041,39710.47679814041,39709.70013924072,40962.84813348939,63521.17024557725
39710.47679814041,39710.47679814041,39710.80834010297,40844.293402613745,63521.17024557725
39710.47679814041,39710.47679814041,39712.07796362178,40486.98470066243,63521.17024557725
39710.47679814041,39710.47679814041,39713.0982259398,40348.59639164973,63521.17024557725
39710.47679814041,39710.47679814041,39712.54292440151,40248.87239328506,63521.17024557725
39710.47679814041,39710.47679814041,39714.050040789254,39811.870756283075,63521.17024557725
39710.47679814041,39710.47679814041,39714.20683143749,39712.62167152199,63521.17024557725
39710.47679814041,39710.47679814041,39712.91705536096,39712.13275054332,63521.17024557725
39710.47679814041,39710.47679814041,39711.49110777481,39712.214577233164,63521.17024557725
39710.47679814041,39710.47679814041,39712.28978608699,39711.99326073143,63521.17024557725
