epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,69472.0283711379,69472.0283711379,69472.0283711379,0.0,1,2025-08-24T23:45:10.782579
1,59538.63892429193,59538.63892429193,59538.63892429193,0.0,1,2025-08-24T23:45:42.110131
2,59569.16989821046,59569.16989821046,59569.16989821046,0.0,1,2025-08-24T23:46:10.484891
3,69471.65473750846,69471.65473750846,69471.65473750846,0.0,1,2025-08-24T23:46:38.803155
4,59546.52751519925,59546.52751519925,59546.52751519925,0.0,1,2025-08-24T23:47:06.749750
5,61529.09850996324,61529.09850996324,61529.09850996324,0.0,1,2025-08-24T23:47:35.322728
6,59534.79695681634,59534.79695681634,59534.79695681634,0.0,1,2025-08-24T23:48:04.183515
7,69471.65473750846,69471.65473750846,69471.65473750846,0.0,1,2025-08-24T23:48:32.734764
8,59550.8672044551,59550.8672044551,59550.8672044551,0.0,1,2025-08-24T23:48:59.670588
9,69470.44549403171,69470.44549403171,69470.44549403171,0.0,1,2025-08-24T23:49:28.290149
10,39701.75205937729,39701.75205937729,39701.75205937729,0.0,1,2025-08-24T23:49:57.380614
11,59568.406495417286,59568.406495417286,59568.406495417286,0.0,1,2025-08-24T23:50:25.591111
12,59546.52751519925,59546.52751519925,59546.52751519925,0.0,1,2025-08-24T23:50:53.702075
13,59546.52751519925,59546.52751519925,59546.52751519925,0.0,1,2025-08-24T23:51:22.404058
14,59570.33910656114,59570.33910656114,59570.33910656114,0.0,1,2025-08-24T23:51:50.839340
15,59570.33910656114,59570.33910656114,59570.33910656114,0.0,1,2025-08-24T23:52:18.381204
16,45662.762629865996,45662.762629865996,45662.762629865996,0.0,1,2025-08-24T23:52:46.082064
17,59554.216305747956,59554.216305747956,59554.216305747956,0.0,1,2025-08-24T23:53:14.756440
18,59546.5124310428,59546.5124310428,59546.5124310428,0.0,1,2025-08-24T23:53:43.500396
19,61562.80333057094,61562.80333057094,61562.80333057094,0.0,1,2025-08-24T23:54:11.672451
20,49611.69334792449,49611.69334792449,49611.69334792449,0.0,1,2025-08-24T23:54:39.861693
21,49631.310134994856,49631.310134994856,49631.310134994856,0.0,1,2025-08-24T23:55:07.834112
22,59570.33910656114,59570.33910656114,59570.33910656114,0.0,1,2025-08-24T23:55:35.618686
23,69471.65473750846,69471.65473750846,69471.65473750846,0.0,1,2025-08-24T23:56:03.138742
24,59571.52890872346,59571.52890872346,59571.52890872346,0.0,1,2025-08-24T23:56:31.216540
