Average Episodic Reward,Average Episodic N-Reward,Avg Reward (last 10),Avg Reward (last 50),Best Reward
53257.92376911373,53257.92376911373,59568.75328322159,59568.75328322159,59568.75328322159
53408.028193252896,53408.028193252896,54604.2105636558,54604.2105636558,59568.75328322159
53616.461414203724,53616.461414203724,55926.10315351126,55926.10315351126,59568.75328322159
53707.39506841758,53707.39506841758,54355.033003375545,54355.033003375545,59568.75328322159
53487.16062182596,53487.16062182596,53410.200163084126,53410.200163084126,59568.75328322159
54747.39029286447,54747.39029286447,52780.407006971516,52780.407006971516,59568.75328322159
54937.29434727206,54937.29434727206,53750.40717313031,53750.40717313031,59570.4081700831
54143.84622188124,54143.84622188124,54477.04167732501,54477.04167732501,59570.4081700831
53737.610803987474,53737.610803987474,53938.33329730663,53938.33329730663,59570.4081700831
54253.23842315758,54253.23842315758,54402.39206056043,54402.39206056043,59570.4081700831
54063.5140608144,54063.5140608144,54402.71689048741,54872.35656255416,59572.00158249143
54054.42059629373,54054.42059629373,55395.09842674721,55263.283782898645,59572.00158249143
53477.84183559658,53477.84183559658,55493.64671496705,55593.444354631094,59572.00158249143
54222.02677671981,54222.02677671981,56486.66461791934,55877.62701376398,59572.00158249143
54133.98659621202,54133.98659621202,57182.35134305394,55924.967616397334,59572.00158249143
53012.39064371937,53012.39064371937,58077.03551330352,56090.79982342901,59572.00158249143
53914.388527791176,53914.388527791176,58076.05376413763,56294.905167840494,59572.00158249143
53943.234660646885,53943.234660646885,57083.67222787783,55925.16976096547,59572.00158249143
54797.52248693274,54797.52248693274,58077.15392283067,56116.65994231929,59572.00158249143
53526.13995521227,53526.13995521227,57184.134813742035,55793.26343715123,59572.00158249143
54074.518264937455,54074.518264937455,56885.541244794134,55831.01593504938,59572.00158249143
53764.47776613539,53764.47776613539,55892.49159676475,55549.28733465595,59572.00158249143
53827.55382746083,53827.55382746083,55893.29926048687,55723.81605282925,59572.00158249143
53865.10746732474,53865.10746732474,54899.11612579178,55469.91414377555,59572.00158249143
54063.847604619375,54063.847604619375,55196.69084113413,55633.656906292046,59572.00158249143
45466.44228815855,45466.44228815855,54997.86235684239,55670.439259357234,59572.00158249143
42490.222800610325,42490.222800610325,52912.455244253506,55042.14593688235,59572.00158249143
42321.53966060631,42321.53966060631,52216.46832651736,54600.63353437685,59572.00158249143
40931.680356640805,40931.680356640805,50230.521333901794,54086.956973899454,59572.00158249143
39829.61659781361,39829.61659781361,49632.05203080537,53739.52630170261,59572.00158249143
39741.48044173336,39741.48044173336,47944.1197100423,53286.85586246645,59572.00158249143
39710.475879743426,39710.475879743426,46952.48826353735,52862.7876249314,59572.00158249143
39710.475879743426,39710.475879743426,44966.67793492992,52464.077229223396,59572.00158249143
39710.475879743426,39710.475879743426,43975.14636157367,52089.10009018677,59572.00158249143
39710.475879743426,39710.475879743426,41990.217675914035,51735.53141189834,59572.00158249143
39710.475879743426,39710.475879743426,40301.13949569913,51401.18932500776,59572.00158249143
39710.475879743426,39710.475879743426,40401.12700776993,51085.113793879,59572.00158249143
39710.475879743426,39710.475879743426,40104.72149878384,50785.919840799754,59572.00158249143
39710.475879743426,39710.475879743426,40105.06919320107,50501.85754295116,59572.00158249143
39710.475879743426,39710.475879743426,39709.919219557196,50232.12453116626,59572.00158249143
39710.475879743426,39710.475879743426,39709.98593633109,49975.42417316515,59572.00158249143
39710.475879743426,39710.475879743426,39709.85966026583,49731.138109534826,59572.00158249143
39710.475879743426,39710.475879743426,39707.761025833235,49497.492065644285,59572.00158249143
39710.475879743426,39710.475879743426,39707.156407480354,49275.02198048076,59572.00158249143
39710.475879743426,39710.475879743426,39707.86296516626,49062.716201513416,59572.00158249143
39710.475879743426,39710.475879743426,39709.56157141442,48859.53111770485,59572.00158249143
39710.475879743426,39710.475879743426,39711.25793775577,48665.144462788936,59572.00158249143
39710.475879743426,39710.475879743426,39712.79745559183,48479.01934388143,59572.00158249143
39710.475879743426,39710.475879743426,39713.76530938574,48300.206066713305,59572.00158249143
39710.475879743426,39710.475879743426,39712.94524582087,48128.28867409717,59572.00158249143
39710.475879743426,39710.475879743426,39713.805614798286,47731.233879290645,59572.00158249143
39710.475879743426,39710.475879743426,39714.72509206422,47532.932607875875,59572.00158249143
39710.475879743426,39710.475879743426,39716.23892518484,47155.52477228038,59572.00158249143
39710.475879743426,39710.475879743426,39716.08348938998,46956.83340043102,59572.00158249143
39710.475879743426,39710.475879743426,39714.7588417644,46758.37633340656,59572.00158249143
39710.475879743426,39710.475879743426,39715.052742118925,46560.130335875685,59572.00158249143
39710.475879743426,39710.475879743426,39714.24176501673,46163.02714378672,59572.00158249143
39710.475879743426,39710.475879743426,39713.10550081383,45766.15300191694,59572.00158249143
