epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,39885.33885248221,39885.33885248221,39885.33885248221,0.0,1,2025-08-04T21:59:06.374861
1,57478.37841315253,57478.37841315253,57478.37841315253,0.0,1,2025-08-04T21:59:08.811679
2,57478.37841315253,57478.37841315253,57478.37841315253,0.0,1,2025-08-04T21:59:11.128671
3,58478.37930884569,58478.37930884569,58478.37930884569,0.0,1,2025-08-04T21:59:13.562185
4,57478.37841315253,57478.37841315253,57478.37841315253,0.0,1,2025-08-04T21:59:15.989923
5,59478.38020453884,59478.38020453884,59478.38020453884,0.0,1,2025-08-04T21:59:18.416906
6,58478.37930884569,58478.37930884569,58478.37930884569,0.0,1,2025-08-04T21:59:20.816413
7,58478.37930884569,58478.37930884569,58478.37930884569,0.0,1,2025-08-04T21:59:23.262602
8,57478.37841315253,57478.37841315253,57478.37841315253,0.0,1,2025-08-04T21:59:25.597112
9,58478.37930884569,58478.37930884569,58478.37930884569,0.0,1,2025-08-04T21:59:27.920772
10,57478.37841315253,57478.37841315253,57478.37841315253,0.0,1,2025-08-04T21:59:30.376707
11,59478.38020453884,59478.38020453884,59478.38020453884,0.0,1,2025-08-04T21:59:32.827874
12,57478.37841315253,57478.37841315253,57478.37841315253,0.0,1,2025-08-04T21:59:35.267550
13,56478.37751745938,56478.37751745938,56478.37751745938,0.0,1,2025-08-04T21:59:37.720060
14,57478.37841315253,57478.37841315253,57478.37841315253,0.0,1,2025-08-04T21:59:40.170223
15,58478.37930884569,58478.37930884569,58478.37930884569,0.0,1,2025-08-04T21:59:42.620924
16,57478.37841315253,57478.37841315253,57478.37841315253,0.0,1,2025-08-04T21:59:44.938524
17,57478.37841315253,57478.37841315253,57478.37841315253,0.0,1,2025-08-04T21:59:46.269909
18,57478.37841315253,57478.37841315253,57478.37841315253,0.0,1,2025-08-04T21:59:47.326370
19,57478.37841315253,57478.37841315253,57478.37841315253,0.0,1,2025-08-04T21:59:49.498455
20,58478.37930884569,58478.37930884569,58478.37930884569,0.0,1,2025-08-04T21:59:52.260383
21,58478.37930884569,58478.37930884569,58478.37930884569,0.0,1,2025-08-04T21:59:54.744553
22,56478.37751745938,56478.37751745938,56478.37751745938,0.0,1,2025-08-04T21:59:56.994161
23,56478.37751745938,56478.37751745938,56478.37751745938,0.0,1,2025-08-04T21:59:58.787182
24,57478.37841315253,57478.37841315253,57478.37841315253,0.0,1,2025-08-04T22:00:01.125932
