Average Episodic Reward,Average Episodic N-Reward
22499.824677314595,22499.824677314595
22470.02913712112,22470.02913712112
22529.553198237383,22529.553198237383
22490.01039820848,22490.01039820848
22490.11975981129,22490.11975981129
22499.702376189693,22499.702376189693
22499.872618223144,22499.872618223144
22479.948304742677,22479.948304742677
22469.928912878946,22469.928912878946
22460.18650996532,22460.18650996532
22479.881410724647,22479.881410724647
22469.862696006858,22469.862696006858
22490.072067554196,22490.072067554196
22519.792689427515,22519.792689427515
22499.787018262603,22499.787018262603
22450.13146331161,22450.13146331161
22480.071154006342,22480.071154006342
22470.220281180245,22470.220281180245
22509.68833238438,22509.68833238438
22479.913846768955,22479.913846768955
22529.812487707943,22529.812487707943
22509.81841082458,22509.81841082458
22470.166934809848,22470.166934809848
22479.942155937584,22479.942155937584
22509.545833847256,22509.545833847256
26744.567277786366,26744.567277786366
22235.705879136658,22235.705879136658
22973.105105997125,22973.105105997125
23309.749328167065,23309.749328167065
24106.31269864059,24106.31269864059
24372.954547557907,24372.954547557907
24096.306897537834,24096.306897537834
24283.508331159595,24283.508331159595
23877.408172956868,23877.408172956868
24133.15261478925,24133.15261478925
24094.443574033565,24094.443574033565
24282.67682380608,24282.67682380608
24126.29280103753,24126.29280103753
24204.567145988167,24204.567145988167
24371.746049598692,24371.746049598692
24362.01254286853,24362.01254286853
24253.778762939488,24253.778762939488
22366.61821965008,22366.61821965008
19171.430345970766,19171.430345970766
21031.614856717708,21031.614856717708
26047.396894200872,26047.396894200872
22327.54935594306,22327.54935594306
19294.461595622735,19294.461595622735
13172.817876758278,13172.817876758278
11764.67187824867,11764.67187824867
11347.671139737253,11347.671139737253
11318.113468511348,11318.113468511348
11754.99638274774,11754.99638274774
Average Episodic Reward,Average Episodic N-Reward
22499.824677314595,22499.824677314595
22470.02913712112,22470.02913712112
22529.553198237383,22529.553198237383
22490.01039820848,22490.01039820848
22490.11975981129,22490.11975981129
22499.702376189693,22499.702376189693
22499.872618223144,22499.872618223144
22479.948304742677,22479.948304742677
22469.928912878946,22469.928912878946
22460.18650996532,22460.18650996532
22479.881410724647,22479.881410724647
22469.862696006858,22469.862696006858
22490.072067554196,22490.072067554196
22519.792689427515,22519.792689427515
22499.787018262603,22499.787018262603
22450.13146331161,22450.13146331161
22480.071154006342,22480.071154006342
22470.220281180245,22470.220281180245
22509.68833238438,22509.68833238438
22479.913846768955,22479.913846768955
22529.812487707943,22529.812487707943
22509.81841082458,22509.81841082458
22470.166934809848,22470.166934809848
22479.942155937584,22479.942155937584
22509.545833847256,22509.545833847256
26744.567277786366,26744.567277786366
22235.705879136658,22235.705879136658
22973.105105997125,22973.105105997125
23309.749328167065,23309.749328167065
24106.31269864059,24106.31269864059
24372.954547557907,24372.954547557907
24096.306897537834,24096.306897537834
24283.508331159595,24283.508331159595
23877.408172956868,23877.408172956868
24133.15261478925,24133.15261478925
24094.443574033565,24094.443574033565
24282.67682380608,24282.67682380608
24126.29280103753,24126.29280103753
24204.567145988167,24204.567145988167
24371.746049598692,24371.746049598692
24362.01254286853,24362.01254286853
24253.778762939488,24253.778762939488
22366.61821965008,22366.61821965008
19171.430345970766,19171.430345970766
21031.614856717708,21031.614856717708
26047.396894200872,26047.396894200872
22327.54935594306,22327.54935594306
19294.461595622735,19294.461595622735
13172.817876758278,13172.817876758278
11764.67187824867,11764.67187824867
11347.671139737253,11347.671139737253
11318.113468511348,11318.113468511348
11754.99638274774,11754.99638274774
12609.319101365336,12609.319101365336
13482.868576331495,13482.868576331495
Average Episodic Reward,Average Episodic N-Reward
22499.824677314595,22499.824677314595
22470.02913712112,22470.02913712112
22529.553198237383,22529.553198237383
22490.01039820848,22490.01039820848
22490.11975981129,22490.11975981129
22499.702376189693,22499.702376189693
22499.872618223144,22499.872618223144
22479.948304742677,22479.948304742677
22469.928912878946,22469.928912878946
22460.18650996532,22460.18650996532
22479.881410724647,22479.881410724647
22469.862696006858,22469.862696006858
22490.072067554196,22490.072067554196
22519.792689427515,22519.792689427515
22499.787018262603,22499.787018262603
22450.13146331161,22450.13146331161
22480.071154006342,22480.071154006342
22470.220281180245,22470.220281180245
22509.68833238438,22509.68833238438
22479.913846768955,22479.913846768955
22529.812487707943,22529.812487707943
22509.81841082458,22509.81841082458
22470.166934809848,22470.166934809848
