Average Episodic Reward,Average Episodic N-Reward
13547.304758279832,13547.304758279832
13308.29527263304,13308.29527263304
Average Episodic Reward,Average Episodic N-Reward
13547.304758279832,13547.304758279832
13506.868785808963,13506.868785808963
13308.29527263304,13308.29527263304
13219.514069105597,13219.514069105597
13506.868785808963,13506.868785808963
12969.50287085428,12969.50287085428
13219.514069105597,13219.514069105597
12691.823836498743,12691.823836498743
12969.50287085428,12969.50287085428
13207.832502166128,13207.832502166128
12691.823836498743,12691.823836498743
12831.466866872135,12831.466866872135
13207.832502166128,13207.832502166128
13267.363907090992,13267.363907090992
12831.466866872135,12831.466866872135
13150.679745602747,13150.679745602747
13267.363907090992,13267.363907090992
13347.576015711149,13347.576015711149
13150.679745602747,13150.679745602747
13206.900655108344,13206.900655108344
13347.576015711149,13347.576015711149
13398.471042569112,13398.471042569112
13206.900655108344,13206.900655108344
12821.868471271784,12821.868471271784
13398.471042569112,13398.471042569112
13059.21606670193,13059.21606670193
12821.868471271784,12821.868471271784
13259.17268374244,13259.17268374244
13059.21606670193,13059.21606670193
13178.262869359196,13178.262869359196
13259.17268374244,13259.17268374244
13057.73842844408,13057.73842844408
13178.262869359196,13178.262869359196
12892.00044739247,12892.00044739247
13057.73842844408,13057.73842844408
13326.733587178891,13326.733587178891
12892.00044739247,12892.00044739247
12921.182431348461,12921.182431348461
13326.733587178891,13326.733587178891
12901.232427792074,12901.232427792074
12921.182431348461,12921.182431348461
12999.723171363634,12999.723171363634
12901.232427792074,12901.232427792074
13208.182940747292,13208.182940747292
12999.723171363634,12999.723171363634
13276.465048317958,13276.465048317958
13208.182940747292,13208.182940747292
18982.49403681881,18982.49403681881
13276.465048317958,13276.465048317958
14933.864481814124,14933.864481814124
18982.49403681881,18982.49403681881
17138.85732014022,17138.85732014022
14933.864481814124,14933.864481814124
14031.232380941114,14031.232380941114
17138.85732014022,17138.85732014022
15212.368787977563,15212.368787977563
14031.232380941114,14031.232380941114
14788.593819556476,14788.593819556476
15212.368787977563,15212.368787977563
14775.86724437929,14775.86724437929
14788.593819556476,14788.593819556476
14546.868339015276,14546.868339015276
14775.86724437929,14775.86724437929
14627.100455613458,14627.100455613458
14546.868339015276,14546.868339015276
14926.800802604437,14926.800802604437
14627.100455613458,14627.100455613458
15056.853947145248,15056.853947145248
14926.800802604437,14926.800802604437
14966.268539402665,14966.268539402665
15056.853947145248,15056.853947145248
14824.072058747814,14824.072058747814
14966.268539402665,14966.268539402665
14271.482483132744,14271.482483132744
14824.072058747814,14824.072058747814
14527.1947250126,14527.1947250126
14271.482483132744,14271.482483132744
14914.145226028566,14914.145226028566
14527.1947250126,14527.1947250126
15083.064786778046,15083.064786778046
14914.145226028566,14914.145226028566
14566.875021049196,14566.875021049196
15083.064786778046,15083.064786778046
14679.811334874095,14679.811334874095
14566.875021049196,14566.875021049196
14480.031976602184,14480.031976602184
14679.811334874095,14679.811334874095
14115.064849820177,14115.064849820177
14480.031976602184,14480.031976602184
14727.090855051354,14727.090855051354
14115.064849820177,14115.064849820177
14558.24538265958,14558.24538265958
14727.090855051354,14727.090855051354
14767.481890736317,14767.481890736317
14558.24538265958,14558.24538265958
14993.930065991288,14993.930065991288
14767.481890736317,14767.481890736317
14647.534825967357,14647.534825967357
14993.930065991288,14993.930065991288
14531.223648875244,14531.223648875244
14647.534825967357,14647.534825967357
14559.323190392524,14559.323190392524
14531.223648875244,14531.223648875244
14468.190845821036,14468.190845821036
14559.323190392524,14559.323190392524
14468.190845821036,14468.190845821036
14656.506060296564,14656.506060296564
14451.945882421804,14451.945882421804
14551.215150754946,14551.215150754946
14716.551836852932,14716.551836852932
15075.740583755816,15075.740583755816
