epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,15883.613736403608,15883.613736403608,15883.613736403608,0.0,1,2025-08-04T22:02:51.962646
1,29758.769932846524,29758.769932846524,29758.769932846524,0.0,1,2025-08-04T22:02:56.592745
2,23842.740671958494,23842.740671958494,23842.740671958494,0.0,1,2025-08-04T22:03:01.802415
3,19895.790615147856,19895.790615147856,19895.790615147856,0.0,1,2025-08-04T22:03:07.001084
4,25817.120464902262,25817.120464902262,25817.120464902262,0.0,1,2025-08-04T22:03:11.938409
5,25811.819876035883,25811.819876035883,25811.819876035883,0.0,1,2025-08-04T22:03:17.000006
6,25820.6435435369,25820.6435435369,25820.6435435369,0.0,1,2025-08-04T22:03:22.169140
7,22839.146140850957,22839.146140850957,22839.146140850957,0.0,1,2025-08-04T22:03:27.385407
8,24828.352648378426,24828.352648378426,24828.352648378426,0.0,1,2025-08-04T22:03:32.556469
9,25836.54531013604,25836.54531013604,25836.54531013604,0.0,1,2025-08-04T22:03:37.772281
10,24835.430747476552,24835.430747476552,24835.430747476552,0.0,1,2025-08-04T22:03:43.195302
11,26785.36179761643,26785.36179761643,26785.36179761643,0.0,1,2025-08-04T22:03:48.250995
12,23827.238085718942,23827.238085718942,23827.238085718942,0.0,1,2025-08-04T22:03:52.969948
13,24818.485870690827,24818.485870690827,24818.485870690827,0.0,1,2025-08-04T22:03:58.170281
14,26825.874326415604,26825.874326415604,26825.874326415604,0.0,1,2025-08-04T22:04:03.388753
15,22830.96640317694,22830.96640317694,22830.96640317694,0.0,1,2025-08-04T22:04:08.597247
16,20885.660070247588,20885.660070247588,20885.660070247588,0.0,1,2025-08-04T22:04:13.765915
17,25812.495747691733,25812.495747691733,25812.495747691733,0.0,1,2025-08-04T22:04:18.796413
18,24827.309538191847,24827.309538191847,24827.309538191847,0.0,1,2025-08-04T22:04:23.878324
19,26804.845171239518,26804.845171239518,26804.845171239518,0.0,1,2025-08-04T22:04:28.958006
20,25825.944132403278,25825.944132403278,25825.944132403278,0.0,1,2025-08-04T22:04:34.311782
21,24819.52898087741,24819.52898087741,24819.52898087741,0.0,1,2025-08-04T22:04:39.497625
22,28781.64640424203,28781.64640424203,28781.64640424203,0.0,1,2025-08-04T22:04:44.717026
23,23836.061753219954,23836.061753219954,23836.061753219954,0.0,1,2025-08-04T22:04:49.590814
24,22857.89511442888,22857.89511442888,22857.89511442888,0.0,1,2025-08-04T22:04:54.668300
