Average Episodic Reward,Average Episodic N-Reward
2970.483486048474,2970.483486048474
3288.471226642792,3288.471226642792
2851.033215822143,2851.033215822143
2969.6179831021727,2969.6179831021727
3157.8077091116447,3157.8077091116447
3040.8778231849633,3040.8778231849633
3187.7391585712985,3187.7391585712985
3088.094561854389,3088.094561854389
3068.9178048316335,3068.9178048316335
2999.608429309494,2999.608429309494
3127.9740639249567,3127.9740639249567
3107.902550314327,3107.902550314327
2920.2452943238236,2920.2452943238236
3010.9746093954564,3010.9746093954564
3000.0942770164747,3000.0942770164747
3079.685405594917,3079.685405594917
3128.5235309839377,3128.5235309839377
3238.9757095512905,3238.9757095512905
2910.7277701501525,2910.7277701501525
3039.014557685822,3039.014557685822
3029.5304439212196,3029.5304439212196
2941.443822065716,2941.443822065716
3089.62743503006,3089.62743503006
2849.3658137538123,2849.3658137538123
3100.420201976081,3100.420201976081
21274.278062753616,21274.278062753616
Average Episodic Reward,Average Episodic N-Reward
2970.483486048474,2970.483486048474
3288.471226642792,3288.471226642792
2851.033215822143,2851.033215822143
2969.6179831021727,2969.6179831021727
3157.8077091116447,3157.8077091116447
3040.8778231849633,3040.8778231849633
3187.7391585712985,3187.7391585712985
3088.094561854389,3088.094561854389
3068.9178048316335,3068.9178048316335
2999.608429309494,2999.608429309494
3127.9740639249567,3127.9740639249567
3107.902550314327,3107.902550314327
2920.2452943238236,2920.2452943238236
3010.9746093954564,3010.9746093954564
3000.0942770164747,3000.0942770164747
3079.685405594917,3079.685405594917
3128.5235309839377,3128.5235309839377
3238.9757095512905,3238.9757095512905
2910.7277701501525,2910.7277701501525
3039.014557685822,3039.014557685822
3029.5304439212196,3029.5304439212196
2941.443822065716,2941.443822065716
3089.62743503006,3089.62743503006
2849.3658137538123,2849.3658137538123
3100.420201976081,3100.420201976081
21274.278062753616,21274.278062753616
Average Episodic Reward,Average Episodic N-Reward
2970.483486048474,2970.483486048474
3288.471226642792,3288.471226642792
2851.033215822143,2851.033215822143
2969.6179831021727,2969.6179831021727
3157.8077091116447,3157.8077091116447
3040.8778231849633,3040.8778231849633
3187.7391585712985,3187.7391585712985
3088.094561854389,3088.094561854389
3068.9178048316335,3068.9178048316335
2999.608429309494,2999.608429309494
3127.9740639249567,3127.9740639249567
3107.902550314327,3107.902550314327
2920.2452943238236,2920.2452943238236
3010.9746093954564,3010.9746093954564
3000.0942770164747,3000.0942770164747
3079.685405594917,3079.685405594917
3128.5235309839377,3128.5235309839377
3238.9757095512905,3238.9757095512905
2910.7277701501525,2910.7277701501525
3039.014557685822,3039.014557685822
3029.5304439212196,3029.5304439212196
2941.443822065716,2941.443822065716
3089.62743503006,3089.62743503006
2849.3658137538123,2849.3658137538123
3100.420201976081,3100.420201976081
21274.278062753616,21274.278062753616
Average Episodic Reward,Average Episodic N-Reward
2970.483486048474,2970.483486048474
3288.471226642792,3288.471226642792
2851.033215822143,2851.033215822143
2969.6179831021727,2969.6179831021727
3157.8077091116447,3157.8077091116447
3040.8778231849633,3040.8778231849633
3187.7391585712985,3187.7391585712985
3088.094561854389,3088.094561854389
3068.9178048316335,3068.9178048316335
2999.608429309494,2999.608429309494
3127.9740639249567,3127.9740639249567
3107.902550314327,3107.902550314327
2920.2452943238236,2920.2452943238236
3010.9746093954564,3010.9746093954564
3000.0942770164747,3000.0942770164747
3079.685405594917,3079.685405594917
3128.5235309839377,3128.5235309839377
3238.9757095512905,3238.9757095512905
2910.7277701501525,2910.7277701501525
3039.014557685822,3039.014557685822
3029.5304439212196,3029.5304439212196
2941.443822065716,2941.443822065716
3089.62743503006,3089.62743503006
2849.3658137538123,2849.3658137538123
3100.420201976081,3100.420201976081
15873.150120769662,15873.150120769662
16210.430397894652,16210.430397894652
15664.013800295334,15664.013800295334
Average Episodic Reward,Average Episodic N-Reward
2970.483486048474,2970.483486048474
3288.471226642792,3288.471226642792
2851.033215822143,2851.033215822143
2969.6179831021727,2969.6179831021727
3157.8077091116447,3157.8077091116447
Average Episodic Reward,Average Episodic N-Reward
2970.483486048474,2970.483486048474
3288.471226642792,3288.471226642792
2851.033215822143,2851.033215822143
2969.6179831021727,2969.6179831021727
3157.8077091116447,3157.8077091116447
3040.8778231849633,3040.8778231849633
3187.7391585712985,3187.7391585712985
3088.094561854389,3088.094561854389
3068.9178048316335,3068.9178048316335
2999.608429309494,2999.608429309494
3127.9740639249567,3127.9740639249567
3107.902550314327,3107.902550314327
2920.2452943238236,2920.2452943238236
3010.9746093954564,3010.9746093954564
3000.0942770164747,3000.0942770164747
3079.685405594917,3079.685405594917
3128.5235309839377,3128.5235309839377
3238.9757095512905,3238.9757095512905
2910.7277701501525,2910.7277701501525
3039.014557685822,3039.014557685822
3029.5304439212196,3029.5304439212196
2941.443822065716,2941.443822065716
3089.62743503006,3089.62743503006
2849.3658137538123,2849.3658137538123
3100.420201976081,3100.420201976081
15873.150120769662,15873.150120769662
16210.430397894652,16210.430397894652
15574.039225020577,15574.039225020577
16233.076889289485,16233.076889289485
16758.832173100054,16758.832173100054
16822.51401760056,16822.51401760056
16895.80490572029,16895.80490572029
17202.929350096878,17202.929350096878
16440.7926555456,16440.7926555456
16807.15946091429,16807.15946091429
Average Episodic Reward,Average Episodic N-Reward
2970.483486048474,2970.483486048474
3288.471226642792,3288.471226642792
2851.033215822143,2851.033215822143
2969.6179831021727,2969.6179831021727
3157.8077091116447,3157.8077091116447
3040.8778231849633,3040.8778231849633
3187.7391585712985,3187.7391585712985
3088.094561854389,3088.094561854389
3068.9178048316335,3068.9178048316335
2999.608429309494,2999.608429309494
3127.9740639249567,3127.9740639249567
3107.902550314327,3107.902550314327
2920.2452943238236,2920.2452943238236
3010.9746093954564,3010.9746093954564
3000.0942770164747,3000.0942770164747
3079.685405594917,3079.685405594917
3128.5235309839377,3128.5235309839377
3238.9757095512905,3238.9757095512905
2910.7277701501525,2910.7277701501525
3039.014557685822,3039.014557685822
3029.5304439212196,3029.5304439212196
2941.443822065716,2941.443822065716
3089.62743503006,3089.62743503006
2849.3658137538123,2849.3658137538123
3100.420201976081,3100.420201976081
15873.150120769662,15873.150120769662
16210.430397894652,16210.430397894652
15574.039225020577,15574.039225020577
16233.076889289485,16233.076889289485
16758.832173100054,16758.832173100054
16822.51401760056,16822.51401760056
16895.80490572029,16895.80490572029
17202.929350096878,17202.929350096878
16440.7926555456,16440.7926555456
16807.15946091429,16807.15946091429
16710.111913934372,16710.111913934372
16865.554243562,16865.554243562
16519.03442802567,16519.03442802567
16449.678230719743,16449.678230719743
16903.378133530005,16903.378133530005
16420.88574471199,16420.88574471199
16588.802200312144,16588.802200312144
16606.361489622683,16606.361489622683
16587.93474171644,16587.93474171644
16211.340013666188,16211.340013666188
16030.220361118052,16030.220361118052
16002.64486898387,16002.64486898387
16743.808984971685,16743.808984971685
16776.94072985143,16776.94072985143
16459.344548466983,16459.344548466983
16570.40130594248,16570.40130594248
16410.044633900812,16410.044633900812
16818.60511582815,16818.60511582815
16519.550517654865,16519.550517654865
16769.568941987178,16769.568941987178
16212.778048836419,16212.778048836419
16686.921745290645,16686.921745290645
16162.217586925217,16162.217586925217
16758.54611550703,16758.54611550703
16680.038539275738,16680.038539275738
16806.63390570092,16806.63390570092
16451.822062311057,16451.822062311057
16705.62785744284,16705.62785744284
16647.18697487119,16647.18697487119
17214.9430308545,17214.9430308545
16541.55961518665,16541.55961518665
16518.16264107736,16518.16264107736
16639.079323452726,16639.079323452726
16776.930926640114,16776.930926640114
15974.125168855511,15974.125168855511
16588.951063925415,16588.951063925415
16291.656070309877,16291.656070309877
16759.382426908818,16759.382426908818
16548.134696179073,16548.134696179073
16797.60723756951,16797.60723756951
16169.553124134958,16169.553124134958
16767.118733638268,16767.118733638268
16241.437315546114,16241.437315546114
16579.72008740061,16579.72008740061
16847.09165232022,16847.09165232022
16530.00297927436,16530.00297927436
16757.021854033082,16757.021854033082
16766.898148110766,16766.898148110766
16847.619764293326,16847.619764293326
16906.986918374234,16906.986918374234
16580.905091361456,16580.905091361456
16866.690401299056,16866.690401299056
16577.621086857693,16577.621086857693
16598.83527540833,16598.83527540833
16625.566012964544,16625.566012964544
16597.914294128404,16597.914294128404
16488.790113909825,16488.790113909825
16509.052949457673,16509.052949457673
16180.956990182123,16180.956990182123
16281.488378604234,16281.488378604234
16809.04989766591,16809.04989766591
16688.82092583457,16688.82092583457
16439.059275779688,16439.059275779688
16363.601209115794,16363.601209115794
16608.47926878266,16608.47926878266
16479.280627729448,16479.280627729448
16419.777341924222,16419.777341924222
17005.748653179642,17005.748653179642
16408.68443466404,16408.68443466404
16866.566972902474,16866.566972902474
17444.76093931296,17444.76093931296
16637.9243416855,16637.9243416855
16423.15847543298,16423.15847543298
16389.364594455838,16389.364594455838
17033.4836941741,17033.4836941741
16600.075345166926,16600.075345166926
17033.952086890506,17033.952086890506
16816.67174344748,16816.67174344748
16499.369660602653,16499.369660602653
16360.271028640824,16360.271028640824
16776.74249677507,16776.74249677507
16290.477789014862,16290.477789014862
16488.36267992521,16488.36267992521
16787.853910380098,16787.853910380098
16627.423195824533,16627.423195824533
16810.80892886867,16810.80892886867
16825.41635327773,16825.41635327773
16956.194091522015,16956.194091522015
16446.622078931257,16446.622078931257
16390.727915407817,16390.727915407817
16934.995030104135,16934.995030104135
16798.305802078274,16798.305802078274
16481.333688396964,16481.333688396964
16658.180815156,16658.180815156
16491.17466378602,16491.17466378602
16598.09107511385,16598.09107511385
16540.110959000434,16540.110959000434
16936.185909632823,16936.185909632823
16589.565962080706,16589.565962080706
16588.968671711238,16588.968671711238
16867.343136392323,16867.343136392323
17084.36148581011,17084.36148581011
16253.908814683806,16253.908814683806
16292.169720262482,16292.169720262482
16828.751249092362,16828.751249092362
16431.82741680627,16431.82741680627
16400.15918217054,16400.15918217054
16657.458546794987,16657.458546794987
16122.714940083668,16122.714940083668
16699.344926473947,16699.344926473947
16905.39736735734,16905.39736735734
16835.871028347796,16835.871028347796
16267.8159103062,16267.8159103062
16908.711643184935,16908.711643184935
16907.0747381,16907.0747381
16864.25735234689,16864.25735234689
16410.242453273946,16410.242453273946
16320.09254850716,16320.09254850716
16794.954612961585,16794.954612961585
16559.648784021578,16559.648784021578
16202.27428333953,16202.27428333953
16309.411821319738,16309.411821319738
16329.21617041982,16329.21617041982
16815.91891734046,16815.91891734046
17132.84822888969,17132.84822888969
16649.033063570732,16649.033063570732
16488.138209261328,16488.138209261328
17034.500676277574,17034.500676277574
16587.3200473872,16587.3200473872
16400.492955988426,16400.492955988426
16650.696096812353,16650.696096812353
16717.32552317172,16717.32552317172
15965.03575000693,15965.03575000693
16799.18731511012,16799.18731511012
16779.380351029555,16779.380351029555
