epoch,avg_reward,min_reward,max_reward,std_reward,total_episodes,timestamp
0,41872.62383744404,41872.62383744404,41872.62383744404,0.0,1,2025-08-04T21:58:47.060268
1,49695.802084385476,49695.802084385476,49695.802084385476,0.0,1,2025-08-04T21:58:48.313821
2,45708.14731376006,45708.14731376006,45708.14731376006,0.0,1,2025-08-04T21:58:49.575446
3,46704.21572907438,46704.21572907438,46704.21572907438,0.0,1,2025-08-04T21:58:50.827031
4,44714.77237235689,44714.77237235689,44714.77237235689,0.0,1,2025-08-04T21:58:52.079738
5,46703.73199054944,46703.73199054944,46703.73199054944,0.0,1,2025-08-04T21:58:53.345148
6,48700.568413054716,48700.568413054716,48700.568413054716,0.0,1,2025-08-04T21:58:54.608983
7,42724.56782591911,42724.56782591911,42724.56782591911,0.0,1,2025-08-04T21:58:55.869937
8,48698.16771276121,48698.16771276121,48698.16771276121,0.0,1,2025-08-04T21:58:57.133456
9,45710.036021081556,45710.036021081556,45710.036021081556,0.0,1,2025-08-04T21:58:58.268499
10,40729.299082670615,40729.299082670615,40729.299082670615,0.0,1,2025-08-04T21:58:59.525581
11,46707.12842233989,46707.12842233989,46707.12842233989,0.0,1,2025-08-04T21:59:00.284719
12,48697.6257423953,48697.6257423953,48697.6257423953,0.0,1,2025-08-04T21:59:01.045344
13,51688.15813436847,51688.15813436847,51688.15813436847,0.0,1,2025-08-04T21:59:01.903953
14,46705.29966980621,46705.29966980621,46705.29966980621,0.0,1,2025-08-04T21:59:03.160733
15,45711.38275803712,45711.38275803712,45711.38275803712,0.0,1,2025-08-04T21:59:04.414936
16,46706.616429367874,46706.616429367874,46706.616429367874,0.0,1,2025-08-04T21:59:05.678856
17,45713.2414879647,45713.2414879647,45713.2414879647,0.0,1,2025-08-04T21:59:07.116664
18,48690.028112224754,48690.028112224754,48690.028112224754,0.0,1,2025-08-04T21:59:08.757201
19,49694.718143653634,49694.718143653634,49694.718143653634,0.0,1,2025-08-04T21:59:10.391259
20,48700.05642008271,48700.05642008271,48700.05642008271,0.0,1,2025-08-04T21:59:12.331700
21,50690.52376274421,50690.52376274421,50690.52376274421,0.0,1,2025-08-04T21:59:13.975023
22,48696.088040532435,48696.088040532435,48696.088040532435,0.0,1,2025-08-04T21:59:15.605793
23,44711.40591796034,44711.40591796034,44711.40591796034,0.0,1,2025-08-04T21:59:17.239244
24,47701.3963395676,47701.3963395676,47701.3963395676,0.0,1,2025-08-04T21:59:18.881089
